TargetID	ProbeID	ACCESSION	GID	SYMBOL	SYNONYM	DEFINITION
ILMN_22810	6280113	NM_006016.3	34222157	CD164	MGC-24; MUC-24; endolyn	Homo sapiens CD164 antigen, sialomucin (CD164), mRNA.
ILMN_19983	580041	NM_001252.2	24119161	TNFSF7	CD70; CD27L; CD27LG	Homo sapiens tumor necrosis factor (ligand) superfamily, member 7 (TNFSF7), mRNA.
ILMN_11789	2030576	NM_001797.2	16306531	CDH11	OB; CAD11; CDHOB; OSF-4	Homo sapiens cadherin 11, type 2, OB-cadherin (osteoblast) (CDH11), mRNA.
ILMN_10755	7150221	NM_001823.3	34335231	CKB	B-CK; CKBB	Homo sapiens creatine kinase, brain (CKB), mRNA.
ILMN_13176	1190193	NM_019058.2	56676369	DDIT4	Dig2; REDD1; REDD-1; RTP801; FLJ20500; RP11-442H21.1	Homo sapiens DNA-damage-inducible transcript 4 (DDIT4), mRNA.
ILMN_20014	430037	NM_001931.2	31711991	DLAT	DLTA; PDCE2; PDC-E2	Homo sapiens dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) (DLAT), mRNA.
ILMN_22164	4610546	NM_001412.3	77404356	EIF1AX	EIF1A; EIF4C; eIF-1A; eIF-4C	Homo sapiens eukaryotic translation initiation factor 1A, X-linked (EIF1AX), mRNA.
ILMN_29770	60411	NM_016946.3	21464105	F11R	JAM; KAT; JAM1; JAMA; JCAM; CD321; JAM-1; JAM-A; PAM-1	Homo sapiens F11 receptor (F11R), transcript variant 1, mRNA.
ILMN_24382	5050047	NM_014367.3	49355720	C3orf28	E2IG5; HGTD-P	Homo sapiens chromsome 3 open reading frame 28 (C3orf28), mRNA.
ILMN_4727	6400241	NM_018351.2	55742696	FGD6	ZFYVE24	Homo sapiens FYVE, RhoGEF and PH domain containing 6 (FGD6), mRNA.
ILMN_21371	870524	NM_001457.1	4503746	FLNB	AOI; FH1; SCT; TAP; TABP; FLN1L; ABP-278; filamin B; DKFZp686A1668	Homo sapiens filamin B, beta (actin binding protein 278) (FLNB), mRNA.
ILMN_11546	3190010	NM_002032.2	56682958	FTH1	FTH; PLIF; FTHL6; PIG15; MGC104426	Homo sapiens ferritin, heavy polypeptide 1 (FTH1), mRNA.
ILMN_22194	1820114	NM_005328.1	4885390	HAS2		Homo sapiens hyaluronan synthase 2 (HAS2), mRNA.
ILMN_28002	6270292	NM_181353.1	31317296	ID1	ID	Homo sapiens inhibitor of DNA binding 1, dominant negative helix-loop-helix protein (ID1), transcript variant 2, mRNA.
ILMN_14206	7330377	NM_002266.2	62388891	KPNA2	QIP2; RCH1; IPOA1; SRP1alpha	Homo sapiens karyopherin alpha 2 (RAG cohort 1, importin alpha 1) (KPNA2), mRNA.
ILMN_10126	4230538	NM_000527.2	8051613	LDLR	FH; FHC	Homo sapiens low density lipoprotein receptor (familial hypercholesterolemia) (LDLR), mRNA.
ILMN_6062	2570482	NM_004539.2	7262387	NARS	ASNRS	Homo sapiens asparaginyl-tRNA synthetase (NARS), mRNA.
ILMN_22054	4830551	NM_006158.1	5453761	NEFL	NFL; NF-L; NF68; CMT1F; CMT2E	Homo sapiens neurofilament, light polypeptide 68kDa (NEFL), mRNA.
ILMN_4512	650167	NM_022121.2	31377721	PERP	THW; KCP1; PIGPC1; KRTCAP1; dJ496H19.1; RP3-496H19.1	Homo sapiens PERP, TP53 apoptosis effector (PERP), mRNA.
