Ratio (C3/C5)	Gene ID	Accession Number	Expression
10.32	mRNA for ribosomal protein L26.	X69392	up
9.69	mRNA for ribosomal protein L6.	X69391	up
8.83	mRNA for ribosomal protein S12.	X53505	up
8.36	mRNA for ribosomal protein L31.	X15940	up
8.35	Ribosomal protein S13 (RPS13).	L01124	up
7.99	mRNA for ribosomal protein L35a.	X52966	up
7.97	Ribosomal protein L7a (surf 3) large subunit.	M36072	up
7.56	Ribosomal protein S17.	M13932	up
7.51	Translation initiation factor eIF3 p40 subunit.	U54559	up
7.48	Ribosomal protein L5.	U14966	up
7.2	Translation initiation factor eIF3 p66 subunit.	U54558	up
6.91	mRNA for translationally controlled tumor protein.	X16064	up
6.78	Gene for ribosomal protein L38.	Z26876	up
6.62	Ribosomal protein S24 mRNA.	M31520	up
6.53	mRNA for ribosomal protein.	D23660	up
6.47	Ribosomal protein L41.	AF026844	up
6.35	S3 ribosomal protein.	S42658	up
6.29	Elongation factor 1-alpha 1 (PTI-1).	L41490	up
5.99	Ribosomal protein S20 (RPS20).	L06498	up
5.98	Ribosomal protein.	M15661	up
5.97	mRNA for ribosomal protein L39.	D79205	up
5.92	Ribosomal protein L10.	L25899	up
5.8	Ribosomal protein L28.	U14969	up
5.72	mRNA for 26S proteasome subunit p97.	D78151	up
5.7	Translation initiation factor 3 47 kDa subunit.	U94855	up
5.53	Ribosomal protein S6.	M20020	up
5.27	Ribosomal protein L27a.	U14968	up
5.27	Ribosomal protein L29 (humrpl29).	U10248	up
5.21	mRNA for eukaryotic initiation factor 4AI.	D13748	up
5.2	mRNA for polyA binding protein.	Y00345	up
5.08	Ribosomal protein S9.	U14971	up
5.06	Ribosomal protein S5.	U14970	up
4.87	mRNA for elongation factor-1-gamma.	Z11531	up
4.82	mRNA for HL23 ribosomal protein homologue.	X55954	up
4.4	mRNA for ribosomal protein S11.	X06617	up
4.34	Acidic ribosomal phosphoprotein P0.	M17885	up
3.94	mRNA for ribosomal protein L8.	Z28407	up
3.92	Ribosomal protein L3-like.	U65581	up
3.72	Acidic ribosomal phosphoprotein P1.	M17886	up
3.44	mRNA for ribosomal protein (similar to yeast S24).	X62691	up
3.1	mRNA for ribosomal protein L7.	X52967	up
0.29	Ribosomal protein L34 (RPL34).	L38941	down
0.28	mRNA for ribosomal protein L32.	X03342	down
0.17	mRNA for ribosomal protein L19.	X63527	down
0.16	Translation initiation factor 5 (eIF5).	U49436	down
0.16	mRNA for eIF-2B alpha subunit.	X95648	down
