Accession no	Gene	Gene Symbol	log ratios (catnb)	log ratios (Ha-ras)	Category
NM_007423; AV124668	alpha fetoprotein	Afp	8.20; 7.42; 3.93	10.85; 9.62; 8.46	same direction
NM_007585	annexin A2	Anxa2	2.74	3.57	same direction
AF068182	B-cell linker	Blnk	3.02	2.63	same direction
NM_009770	B-cell translocation gene 3	Btg3	2.1	2.35	same direction
NM_019999	brain protein 17	Brp17	-2.29	-2.61	same direction
AY061807	calmodulin-like 4	Calml4	6.7	5.9	same direction
NM_023160	camello-like 1	Cml1	-2.65	-3.38	same direction
BC010197	carboxypeptidase E	Cpe	5.96	5.89	same direction
NM_010740	complement component 1q receptor 1	C1qr1	2.91	3.67	same direction
AV025472	core promoter element binding protein	Copeb	2.48	2.32	same direction
NM_007833	decorin	Dcn	-3.6	-3.92	same direction
NM_026268	dual specificity phosphatase 6	Dusp6	2	2.16	same direction
AK013765	endothelial cell growth factor 1 (platelet-derived)	Ecgf1	-2.35	-2.18	same direction
BC020038	endothelial cell-specific molecule 1	Esm1	3.89	5.96	same direction
NM_024406	fatty acid binding protein 4, adipocyte	Fabp4	2.55	4.14	same direction
AV224521	gelsolin	Gsn	-2.13	-2.15	same direction
NM_010742	lymphocyte antigen 6 complex, locus D	Ly6d	7.52	9.77	same direction
NM_025658	membrane-spanning 4-domains A4D	Ms4a4d	-2.8	-2.55	same direction
AK018789	neurotrophic tyrosine kinase, receptor 2	Ntrk2	-2.82	-2.51	same direction
AK006371	nicotinamide N-methyltransferase	Nnmt	-6.01	-4.73	same direction
AV303002	nucleoporin like 1	Nupl1	2.08	3.09	same direction
BC010403	presenilin 2	Psen2	-2.06	-2.01	same direction
NM_008935	prominin 1	Prom1	3.4	3.84	same direction
NM_009052	reduced expression 3	Rex3	4.59	8.86	same direction
BC021951	RIKEN cDNA 2010003K11 gene	2010003K11Rik	2.12	2.25	same direction
NM_025703	RIKEN cDNA 3930402F23 gene	3930402F23Rik	2.31	3.66	same direction
BG963358	RIKEN cDNA 5730445F03 gene	5730445F03Rik	2.96	2.5	same direction
BC021842	RIKEN cDNA E430021N18 gene	E430021N18Rik	-2.63	-2.76	same direction
BC021916	S100 calcium binding protein A11 (calizzarin)	S100a11	2.11	3.66	same direction
BC003475	tubulin, beta 2	Tubb2	2.57	3.3	same direction
BC020001	aldehyde dehydrogenase 1B1	Aldh1b1	-4.35	2.2	opposite direction
NM_016847	arginine vasopressin receptor 1A	Avpr1a	3.55; 2.21	-2.97	opposite direction
BC018263	cis-retinol/3alpha hydroxysterol short-chain dehydrogenase-like	CRAD-L	-5.2	2.82	opposite direction
NM_007792	cysteine and glycine-rich protein 2	Csrp2	3.2	-2.3	opposite direction
U09114	glutamate-ammonia ligase (glutamine synthase)	Glul	2.13	-4.41	opposite direction
NM_008184	glutathione S-transferase, mu 6	Gstm6	2.23	-2.13	opposite direction
AW111083	Mus musculus transcribed	-	-6.38	3.34	opposite direction
AK009207	RIKEN cDNA 2310007H09 gene	2310007H09Rik	4.26	-2.36	opposite direction
