Curated Gene Symbol	Genes	Accession no.	Symbol	Regulation profile and fold change NC vs. PC	MME + TG vs. PC	CFA + TG vs. PC	MH + TG vs. PC	SN + TG vs. PC	Function
NDP	Norrie disease (pseudoglioma)	NM_000266.1	NDP	0	3.5	3.6	3.5	3.5	Cell proliferation-related genes
UBE2C	Ubiquitin-conjugating enzyme E2C, transcript variant 6	NM_181803.1	UBE2C	0.1	7.2	7	7.3	7	Cell proliferation-related genes
TTK	TTK protein kinase	NM_003318.3	TTK	0.2	1.5	1.5	1.5	1.5	Cell proliferation-related genes
KIF2C	Kinesin family member 2C	NM_006845.2	KIF2C	0.2	1.4	1.5	1.4	1.5	Cell proliferation-related genes
KIF15	Kinesin family member 15	NM_020242.1	KIF15	0.2	1.6	1.6	1.6	1.5	Cell proliferation-related genes
PLK1	Polo-like kinase 1 (drosophila)	NM_005030.3	PLK1	0.3	1.5	1.5	1.5	1.4	Cell proliferation-related genes
CLEC11A	C-type lectin domain family 11, member A	NM_002975.2	CLEC11A	0.3	1.9	1.9	1.9	1.9	Cell proliferation-related genes
HDGF	Hepatoma-derived growth factor (high-mobility group protein 1-like)	NM_004494.1	HDGF	0.4	1.8	1.7	1.9	2	Cell proliferation-related genes
ERF	Ets2 repressor factor	NM_006494.1	ERF	0.5	1.9	2	2	2	Cell proliferation-related genes
CDC20	Cell division cycle 20 homolog (S. cerevisiae)	NM_001255.1	CDC20	0.1	1.8	2	1.8	1.9	Cell cycle-related genes
KIF20B	M-phase phosphoprotein 1	NM_016195.2	MPHOSPH1	0.1	2.6	2.8	2.6	2.7	Cell cycle-related genes
CENPF	Centromere protein F, 350/400 ka (mitosin)	NM_016343.3	CENPF	0.1	1.8	1.7	1.8	1.7	Cell cycle-related genes
PLK4	Polo-like kinase 4 (drosophila)	NM_014264.2	PLK4	0.2	3	3.3	3.4	3.2	Cell cycle-related genes
CDK2	Cyclin-dependent kinase 2, transcript variant 1	NM_001798.2	CDK2	0.2	2.4	2.4	2.3	2.4	Cell cycle-related genes
MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae), transcript variant 2	NM_182776.1	MCM7	0.3	1.8	1.8	1.9	1.7	Cell cycle-related genes
MACF1	Microtubule-actin crosslinking factor 1, transcript variant 1	NM_012090.3	MACF1	0.3	1.5	1.4	1.5	1.5	Cell cycle-related genes
H2AFX	H2A histone family, member X	NM_002105.2	H2AFX	0.4	1.7	1.7	1.7	1.7	Cell cycle-related genes
SERPINB2	Serpin peptidase inhibitor, clade B (ovalbumin), member 2	NM_002575.1	SERPINB2	0.4	1.4	1.5	1.4	1.4	Anti-apoptosis-related genes
CHAF1A	Chromatin assembly factor 1, subunit A (p150)	NM_005483.2	CHAF1A	0.3	1.5	1.5	1.4	1.4	Protein folding-related genes
HSPE1	Heat shock 10 kDa protein 1 (chaperonin 10)	NM_002157.1	HSPE1	0.4	3.7	3.8	3.6	3.5	Protein folding-related genes
KCNN4	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	NM_002250.2	KCNN4	0.1	1.6	1.7	1.8	1.7	Other
SCARA3	Scavenger receptor class A, member 3, transcript variant 2	NM_182826.1	SCARA3	0.3	1.5	1.4	1.4	1.5	Other
KCTD12	Potassium channel tetramerisation domain containing 12	NM_138444.2	KCTD12	0.3	1.7	1.7	1.6	1.8	Other
	S100 calcium binding protein A13, transcript variant 3	NM_001024211.1	S100A13 AHNAK	0.4	1.7	1.9	1.8	1.9	Other
CRYZ	AHNAK nucleoprotein (desmoyokin), transcript variant 2	NM_024060.2	CRYZ	0.4	1.5	1.5	1.6	1.4	Other
SCN2A	Crystallin, zeta (quinone reductase)	NM_001889.2	SCN2A2	0.4	2.1	2.1	2	2	Other
CACNA1A	Sodium channel, voltage-gated, type II, alpha 2	NM_021007.1	CACNA1A	0.4	1.6	1.7	1.6	1.6	Other
	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, transcript variant 2	NM_023035.1		0.4	1.7	1.8	1.9	1.6	Other
DPYSL4	Dihydropyrimidinase-like 4	NM_006426.1	DPYSL4	0.5	2.3	2.2	2.2	2.3	Other
