Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
200762_at	dihydropyrimidinase-like 2	DPYSL2	8p22-p21	1808
200965_s_at	actin binding LIM protein 1	ABLIM1	10q25	3983
201037_at	phosphofructokinase, platelet	PFKP	10p15.3-p15.2	5214
201416_at	SRY (sex determining region Y)-box 4	SOX4	6p22.3	6659
201417_at	SRY (sex determining region Y)-box 4	SOX4	6p22.3	6659
201650_at	keratin 19	KRT19	17q21.2	3880
201952_at	activated leukocyte cell adhesion molecule	ALCAM	3q13.1	214
201959_s_at	MYC binding protein 2	MYCBP2	13q22	23077
201960_s_at	MYC binding protein 2	MYCBP2	13q22	23077
202037_s_at	secreted frizzled-related protein 1	SFRP1	8p12-p11.1	6422
202154_x_at	tubulin, beta 3	TUBB3	16q24.3	10381
202207_at	ADP-ribosylation factor-like 4C	ARL4C	2q37.1	10123
202332_at	casein kinase 1, epsilon	CSNK1E	22q13.1	1454
202363_at	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1	SPOCK1	5q31	6695
202391_at	brain abundant, membrane attached signal protein 1	BASP1	5p15.1-p14	10409
202508_s_at	synaptosomal-associated protein, 25kDa	SNAP25	20p12-p11.2	6616
202517_at	collapsin response mediator protein 1	CRMP1	4p16.1-p15	1400
202741_at	protein kinase, cAMP-dependent, catalytic, beta	PRKACB	1p36.1	5567
202920_at	ankyrin 2, neuronal	ANK2	4q25-q27	287
203000_at	stathmin-like 2	STMN2	8q21.13	11075
203001_s_at	stathmin-like 2	STMN2	8q21.13	11075
203038_at	protein tyrosine phosphatase, receptor type, K	PTPRK	6q22.2-23.1	5796
203129_s_at	kinesin family member 5C	KIF5C	2q23.1	3800
203130_s_at	kinesin family member 5C	KIF5C	2q23.1	3800
203408_s_at	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	SATB1	3p23	6304
203413_at	NEL-like 2 (chicken) /// NEL-like 2 (chicken)	NELL2	12q13.11-q13.12	4753
203485_at	reticulon 1	RTN1	14q23.1	6252
203509_at	sortilin-related receptor, L(DLR class) A repeats-containing	SORL1	11q23.2-q24.2	6653
203630_s_at	component of oligomeric golgi complex 5	COG5	7q22-q31	10466
203661_s_at	tropomodulin 1	TMOD1	9q22.3	7111
203662_s_at	tropomodulin 1	TMOD1	9q22.3	7111
203685_at	B-cell CLL/lymphoma 2	BCL2	18q21.33|18q21.3	596
203724_s_at	RUN and FYVE domain containing 3	RUFY3	4q13.3	22902
203889_at	secretogranin V (7B2 protein)	SCG5	15q13-q14	6447
203929_s_at	microtubule-associated protein tau	MAPT	17q21.1	4137
203999_at
204035_at	secretogranin II (chromogranin C)	SCG2	2q35-q36	7857
204066_s_at	centaurin, gamma 2	CENTG2	2p24.3-p24.1	116987
204082_at	pre-B-cell leukemia transcription factor 3	PBX3	9q33-q34	5090
204131_s_at	forkhead box O3A	FOXO3A	6q21	2309
204141_at	tubulin, beta 2A	TUBB2A	6p25	7280
204151_x_at	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	AKR1C1	10p15-p14	1645
204224_s_at	GTP cyclohydrolase 1 (dopa-responsive dystonia)	GCH1	14q22.1-q22.2	2643
204260_at	chromogranin B (secretogranin 1)	CHGB	20pter-p12	1114
204334_at	Kruppel-like factor 7 (ubiquitous)	KLF7	2q32	8609
204337_at	regulator of G-protein signalling 4	RGS4	1q23.3	5999
204364_s_at	receptor accessory protein 1	REEP1	2p11.2	65055
204365_s_at	receptor accessory protein 1	REEP1	2p11.2	65055
204465_s_at	internexin neuronal intermediate filament protein, alpha	INA	10q24.33	9118
204471_at	growth associated protein 43	GAP43	3q13.1-q13.2	2596
204538_x_at	nuclear pore complex interacting protein	NPIP	16p13-p11	9284
204584_at	L1 cell adhesion molecule	L1CAM	Xq28	3897
204722_at	sodium channel, voltage-gated, type III, beta	SCN3B	11q23.3	55800
204723_at	sodium channel, voltage-gated, type III, beta	SCN3B	11q23.3	55800
204730_at	regulating synaptic membrane exocytosis 3	RIMS3	1pter-p22.2	9783
204850_s_at	doublecortex; lissencephaly, X-linked (doublecortin)	DCX	Xq22.3-q23	1641
204851_s_at	doublecortex; lissencephaly, X-linked (doublecortin)	DCX	Xq22.3-q23	1641
204913_s_at	SRY (sex determining region Y)-box 11	SOX11	2p25	6664
204914_s_at	SRY (sex determining region Y)-box 11	SOX11	2p25	6664
204915_s_at	SRY (sex determining region Y)-box 11	SOX11	2p25	6664
204953_at	synaptosomal-associated protein, 91kDa homolog (mouse)	SNAP91	6q14.2	9892
205003_at	dedicator of cytokinesis 4	DOCK4	7q31.1	9732
205110_s_at	fibroblast growth factor 13	FGF13	Xq26.3	2258
205311_at	dopa decarboxylase (aromatic L-amino acid decarboxylase)	DDC	7p11	1644
205347_s_at	thymosin-like 8	TMSL8	Xq21.33-q22.3	11013
205358_at	glutamate receptor, ionotropic, AMPA 2	GRIA2	4q32-q33	2891
205399_at	doublecortin and CaM kinase-like 1	DCAMKL1	13q13	9201
205493_s_at	dihydropyrimidinase-like 4	DPYSL4	10q26	10570
205638_at	brain-specific angiogenesis inhibitor 3	BAI3	6q12	577
205691_at	synaptogyrin 3	SYNGR3	16p13	9143
