Genbank ID	Gene Title	Gene Symbol	Ratio	Fold Change	Chromosomal Location	Function	Regulation
NM_006290	Tumor necrosis factor, alpha-induced protein 3	TNFAIP3	3.08	1.6	chr6q23	Proto-oncogenes and tumor suppression	Up
NM_001731	B-cell translocation gene 1, Anti-proliferative	BTG1	2.049	1.1	chr12q22	Cell cycle genes	Up
NM_005627	Serum/glucocorticoid regulated kinase	SGK	3.59	1.8	chr6q23	Unclassified genes	Up
NM_002982	Chemokine (C-C motif) ligand 2	CCL2	6.16	3	chr17q11.2-q21.1	Unclassified genes	Up
NM_014733	Zinc finger, FYVE domain containing 16	ZFYVE16	3.66	2	chr5q14	Unclassified genes	Up
XM_375086	Zinc finger and BTB domain containing 1	ZBTB1	3.56	1.9	chr5p15.2-q14.3	Unclassified genes	Up
BC000747	Exosome component 2	EXOSC2	0.315	-1.7	chr9q34	Cell cycle genes	Down
NM_005433	V-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	YES1	0.48	-1.05	chr18p11.31-p11.21	Proto-oncogenes and tumor suppression	Down
NM_001470	Gamma-aminobutyric acid (GABA) B receptor, 1	GABBR1	0.22	-2.1	chr6p21.31	Cell signals and	Down
NM_000020	Activin A receptor type II-like 1	ACVRL1	0.1	-4.9	chr12q11-q14	Unclassified genes	Down
NM_006472	Thioredoxin interacting protein	TXNIP	0.21	-2.5	chr1q21.1	Unclassified genes	Down
