Functional classification	GenBank ID	Name of the genes	Gene Code	Chromosomal localization	Signal log ratio
Apoptosis and tumor associated genes	NM_004396	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	DDX5	chr17q21	2.1
	NM_021960	Myeloid non-white blood cell leukemia sequence 1	MCL1	chr1q21	2
	NM_000596	Insulin-like growth factor binding protein-1	IGFBP1	chr7p13-p12	4.2
	NM_007315	Signal transduction and transcription activator factor 1	STAT1	chr2q32.2	3.1
	NM_000700	Annexin A1	ANXA1	chr9q12-q21.2|9q12-q21.2	3.1
	NM_014739	BCL2 associated transcription factor 1	BCLAF 1	chr6q22-q23	2
	BC002646	Bird v-jun sarcoma virus 17 oncogene homologue	JUN	chr1p32-p31	2.2
	NM_003292	Metathetic promoter region of activated MET Carcinogenic gene	TPR	chr1q25	3.9
	NM_000245	MET Carcinogenic gene	MET	chr7q31	1.3
	BC004490	v-fos FBJ Tumorigenic gene analog of rat osteosacroma virus	FOS	chr14q24.3	4.2
	AF164794	Tumor differentially expressing factor 2	TDE2	chr6q22.31	2.2
	NM_004180	TRAF family members associated NFKB activator	TANK	chr2q24-q31	2.2
	NM_005381	Nucleolin	NCL	chr2q12-qter	2.2
	NM_002128	High mobility group box 1	HMGB1	chr13q12	1.7
	NM_002156	Heat shock protein 1 (partner)	HSPD1	chr2q33.1	2
	NM_002634	Inhibitory protein	PHB	chr17q21	-1.1
	NM_004343	Calreticulin	CALR	chr19p13.3-p13.2	-1.2
	NM_021991	Junction plakoglobin	JUP	chr17q21	-1
	NM_002997	Multiple ligand 1	SDC1	chr2p24.1	-1.8
	NM_000358	Transforming growth factor Beta	TGFBI	chr5q31	-1.5
	NM_000270	Nucleoside phosphorylase	NP	chr14q13.1	-1.9
	X07868	Insulin-like growth factor II	IGFII	chr11p15.5	-4.2
	BE675800	Retinoid X receptor Alpha	RXRA	chr9q34.3	-2.3
	NM_007860	RAS oncogene memberlike 4	RABL4	chr22q13.1	-3
