Gene Symbol	Refseq	P-value
SPON2	NM_012445	2.46E-10
RGS16	NM_002928	8.02E-10
LY6E	NM_002346	3.16E-09
SFRP4	NM_003014	8.27E-09
MFAP2	NM_017459	9.57E-09
AURKA	NM_003600	1.28E-08
LOC283658	AL833463	2.11E-08
TIE1	NM_005424	2.27E-08
CTHRC1	NM_138455	6.03E-08
BMP7	AK094784	6.46E-08
C20ORF20	NM_018270	9.72E-08
–	AL548449	1.56E-07
ISG15	NM_005101	1.56E-07
SLC27A5	NM_012254	1.56E-07
SSSCA1	NM_006396	1.56E-07
TROAP	NM_005480	1.66E-07
CCL21	NM_002989	1.78E-07
TCFL5	NM_006602	1.78E-07
CENPH	NM_022909	1.90E-07
PLSCR3	NM_020360	2.03E-07
FAM55D	NM_152315	1.48E-09
PRKACB	NM_002731	1.87E-09
CLIC3	NM_004669	2.17E-09
ENTPD5	NM_001249	2.72E-09
ATOH8	NM_032827	3.67E-09
SLITRK6	NM_032229	4.59E-09
PTGER4	NM_000958	4.59E-09
CACNA2D2	NM_006030	5.32E-09
TBX3	NM_016569	6.17E-09
RETNLB	NM_032579	6.64E-09
GLYATL1	NM_080661	6.64E-09
–	AW975332	8.90E-09
ID4	NM_001546	1.19E-08
–	AK095147	1.28E-08
UGT1A6	NM_001072	1.28E-08
LOC645904	BM545871	1.70E-08
VSIG2	NM_014312	2.27E-08
–	BC039491	2.43E-08
KLHL18	BC015962	2.61E-08
–	AK026378	2.80E-08
