Gene symbol	Gene ID	Gene description
ABI3	51225	ABI gene family, member 3
ADAM8	101	ADAM metallopeptidase domain 8
ADARB2	105	Adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)
ADCY7	113	Adenylate cyclase 7
APBB1IP	54518	Amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein
ARHGAP9	64333	rhoGTPase activating protein 9
ARHGDIB	397	rhoGDP dissociation inhibitor (GDI) beta
ATP10D	57205	ATPase, class V, type 10D
ATP8B4	79895	ATPase, class I, type 8B, member 4
BCL2	596	B-cell CLL/lymphoma 2
BEST1	7439	Bestrophin 1
BIN1	274	Bridging integrator 1
BIN2	51411	Bridging integrator 2
BLNK	29760	B-cell linker
C10orf54	64115	Chromosome 10 ORF 54
C1orf38	9473	Chromosome 1 ORF 38
C20orf197	284756	Chromosome 20 ORF 197
C9orf164	349236	Chromosome 9 ORF 164
CAP2	10486	CAP, adenylate cyclase-associated protein, 2 (yeast)
CCDC13	152206	Coiled-coil domain containing 13
CCR5	1234	Chemokine (C-C motif) receptor 5
CD28	940	CD28 molecule
CD48	962	CD48 molecule
CD52	1043	CD52 molecule
CD53	963	CD53 molecule
CD74	972	CD74 molecule, major histocompatibility complex, class II invariant chain
CDC42EP2	10435	CDC42 effector protein (Rho GTPase binding) 2
CLEC7A	64581	C-type lectin domain family 7, member A
cpm	1368	Carboxypeptidase M
CSF1R	1436	Colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog
CXCR6	10663	Chemokine (C-X-C motif) receptor 6
CXorf21	80231	Chromosome X ORF 21
DDX43	55510	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43
DENND1C	79958	DENN/MADD domain containing 1C
DENND3	22898	DENN/MADD domain containing 3
DHRS9	10170	Dehydrogenase/reductase (SDR family) member 9
DOCK2	1794	Dedicator of cytokinesis 2
DOCK8	81704	Dedicator of cytokinesis 8
DOK3	79930	Docking protein 3
ECHDC3	79746	Enoyl CoA hydratase domain containing 3
ELA3A	10136	Elastase 3A, pancreatic
ELA3B	23436	Elastase 3B, pancreatic
EVI2B	2124	Ecotropic viral integration site 2B
FAM105A	54491	Family with sequence similarity 105, member A
FAM123A	219287	Family with sequence similarity 123A
FAM53B	9679	Family with sequence similarity 53, member B
FTH1	2495	Ferritin, heavy polypeptide 1
FYB	2533	FYN binding protein (FYB-120/130)
GPR34	2857	G protein-coupled receptor 34
GZMA	3001	Granzyme A (granzyme 1, cytotoxic T lymphocyte-associated serine esterase 3)
HBA1	3039	Hemoglobin, alpha  1
HBA2	3040	Hemoglobin, alpha  2
HBB	3043	Hemoglobin, beta
