Agilent Probe ID	Accession Number	Gene Symbol	Correlation to Stationary Signature Proband ( R )	# of Down Regulated Cell lines	% of Down regulated Cell lines	CellLine Log2(Rim/Core) G112MS	CellLine Log2(Rim/Core) G120	CellLine Log2(Rim/Core) GH3	CellLine Log2(Rim/Core) GH4	CellLine Log2(Rim/Core) GH6	CellLine Log2(Rim/Core) SF763	CellLine Log2(Rim/Core) SF767	CellLine Log2(Rim/Core) T98G	CellLine Log2(Rim/Core) U87EGFR	CellLine Log2(Rim/Core) U87
A_24_P393372	AK098354	AK098354	1	8	80%	-0.795	-0.565	-1.121	0.064	-0.772	-0.178	-0.321	-0.562	-0.884	0.098
A_32_P140475	AB037798	AB037798	0.872	9	90%	-0.593	-0.289	-0.465	-0.258	-0.024	0.119	-0.346	-0.615	-0.076	-0.406
A_24_P110558	BC017422	BC017422	0.867	8	80%	-0.789	-0.344	-1.144	0.214	-0.518	-0.067	-0.503	-0.284	0.24	-0.334
A_32_P62371	A_32_BS62371	A_32_BS62371	0.867	5	50%	0.397	-0.518	-0.551	0.043	-0.34	0.46	-0.127	-0.098	0.107	0.08
A_24_P181295	BC013707	BC013707	0.866	4	40%	-0.19	0.02	-0.402	-0.107	0.096	0.105	0.187	0.046	-0.179	0.055
A_23_P145541	NM_014845	KIAA0274	0.859	6	60%	-0.691	-0.323	-0.953	0.446	0.321	-0.687	0.725	-0.55	-0.101	0.305
A_24_P370670	NM_007167	ZNF258	0.858	7	70%	-0.089	-0.065	-0.896	0.141	0.123	-0.147	-0.274	-0.365	0.073	-0.261
A_32_P178635	BC033590	BC033590	0.857	8	80%	-0.104	-0.45	-0.732	-0.061	-0.75	-0.157	0.078	-0.692	-0.378	0.34
A_23_P209904	NM_002081	GPC1	0.856	10	100%	-0.459	-0.039	-0.378	-0.372	-0.269	-0.023	-0.471	-0.853	-0.187	-0.138
A_32_P159651	AL832173	AL832173	0.855	10	100%	-0.811	-0.215	-0.5	-0.455	-0.319	-0.237	-0.168	-0.419	-0.278	-0.451
A_23_P349083	AL832928	AL832928	0.842	7	70%	-0.122	0.09	-0.38	0.142	-0.25	0.024	-0.266	-0.127	-0.284	-0.094
A_23_P212870	NM_005900	MADH1	0.842	10	100%	-0.34	-0.352	-0.906	-0.251	-0.176	-0.202	-0.363	-0.421	-0.047	-0.304
A_23_P373054	NM_173826	NM_173826	0.84	7	70%	-0.585	0.129	-0.863	-0.045	0.089	0.068	-0.212	-0.076	-0.112	-0.125
A_23_P51202	NM_030634	ZNF436	0.839	7	70%	-1.636	-0.761	-1.616	0.21	0.151	-0.172	-0.705	-1.057	0.09	-0.285
A_23_P126623	NM_002631	PGD	0.838	7	70%	0.016	-0.093	-0.753	0.25	-0.07	-0.012	-1.903	-0.782	0.357	-0.575
A_24_P381604	NM_021999	ITM2B	0.838	10	100%	-1.453	-0.686	-1.418	-0.609	-0.341	-0.408	-0.51	-0.7	-0.316	-0.168
A_24_P98524	NM_021132	PPP3CB	0.836	5	50%	-0.201	0.045	-0.364	-0.005	-0.098	0.025	-0.322	0.088	0.088	0.211
A_23_P59798	NM_013446	MKRN1	0.835	8	80%	0.012	-0.277	-0.465	-0.291	-0.304	-0.223	-0.467	-0.265	-0.18	0.102
A_24_P328646	NM_005778	RBM5	0.835	5	50%	0.273	-0.235	-0.704	0.293	-0.259	0.268	0.024	-0.496	0.23	-0.376
A_24_P324787	AK002094	AK002094	0.831	8	80%	-0.091	-0.178	-0.269	0.089	-0.129	-0.071	0.368	-0.088	-0.067	-0.223
A_24_P355967	NM_000621	HTR2A	0.831	6	60%	0.113	0.306	-0.506	0.008	-0.367	-0.128	0.018	-0.263	-0.221	-0.036
A_23_P128447	AL834529	AL834529	0.83	8	80%	-0.434	-0.314	-0.692	-0.079	-0.087	-0.017	-0.148	0.249	-0.562	0.132
A_23_P209689	NM_004850	ROCK2	0.83	6	60%	0.412	-0.113	-0.505	0.272	-0.577	-0.633	0.306	-0.31	-0.241	0.209
A_23_P169117	NM_006570	RRAGA	0.83	8	80%	-0.405	-0.451	-0.304	0.073	-0.078	0.07	-0.365	-0.341	-0.172	-0.099
A_24_P37519	NM_020347	LZTFL1	0.829	9	90%	-0.884	-0.151	-1.073	0.244	-0.007	-0.165	-0.328	-0.064	-0.048	-0.061
A_24_P940426	AB067799	AB067799	0.828	6	60%	-0.104	-0.658	-0.511	0.301	-0.043	-0.23	0.338	-0.248	0.004	0.413
A_23_P347070	NM_018440	NM_018440	0.828	5	50%	0.443	0.065	-0.437	0.266	-0.014	0.576	-0.527	-0.179	-0.322	0.095
A_23_P254944	NM_000853	GSTT1	0.828	5	50%	-0.101	-0.386	-0.091	0.227	0.07	0.183	-0.655	-0.352	0.147	0.051
A_23_P314120	NM_005198	CHKL	0.827	7	70%	-0.11	-0.322	-1.87	0.508	0.213	-0.349	0.518	-0.643	-0.437	-0.048
A_23_P360769	NM_002372	MAN2A1	0.827	6	60%	-1.161	0.221	-0.446	0.293	0.316	-0.013	-1.144	-0.222	0.136	-0.012
