Probe ILMN_	Gene symbol	Entrez Gene name	Brain expression	H2r P-value	H2r	Covariate	Relation to disease
1657857	TMEM14C	Transmembrane protein 14C		7.32E-22	0.71	B	
1764813	B3GALTL	"Beta 1,3-galactosyltransferase-like"	CV?	6.98E-14	0.78	SAB	Peters-plus syndrome (MIM#261540)
1669878	GUSB	"Glucuronidase, beta"		1.01E-13	0.64	B	Mucopolysaccharidosis VII (MIM #253220)
1719316	TMED3	Transmembrane emp24 protein transport domain containing 3		2.35E-13	0.64	SB	
1686626	BAT1	HLA-B associated transcript 1	CV?	4.11E-13	0.6	AB	"Asthma, myocardial infarctione"
1812325	TMEM111	Transmembrane protein 111	CV?	9.48E-13	0.75	B	
1800261	TUBA1B	"Tubulin, alpha 1b"		8.23E-11	0.65	SAB	
1718831	TMEM57	Transmembrane protein 57	CV?	1.19E-10	0.58	SAB	
1768031	DEDD2	Death effector domain containing 2	CV?OP?	7.92E-09	0.56	SAB	
1784602	CDKN1A	Cyclin-dependent kinase inhibitor 1A		1.01E-08	0.47	B	Cancere
1692026	SUV420H1	Suppressor of variegation 4-20 homolog 1	CV?	8.71E-08	0.43	None	
1708516	PRTFDC1	Phosphoribosyl transferase domain containing 1		1.02E-07	0.44	SAB	
1806937	C19orf62	Chromosome 19 open reading frame 62		1.92E-07	0.51	SAB	
1679949	SLC25A23	"Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23"	Ch?	4.31E-07	0.43	SA	
1686099	ZFYVE1	"Zinc finger, FYVE domain containing 1"		6.54E-07	0.43	B	
1718706	ERAL1	Era G-protein-like 1		6.93E-07	0.47	B	
1726456	SLC3A2	"Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2"	CV?	9.37E-07	0.46	AB	
1766657	STOM	Stomatin	CV?	9.41E-07	0.45	B	
1761176	GRIPAP1	GRIP1 associated protein 1		5.65E-06	0.34	B	
1775380	SMOX	Spermine oxidase		2.97E-05	0.41	SB	
1785060	TSPAN14	Tetraspanin 14		7.95E-05	0.41	SA	
1764826	TFE3	Transcription factor binding to IGHM enhancer 3		1.81E-04	0.28	AB	Renal carcinoma (MIM#605074)
1808875	RAB5A	"RAB5A, member RAS oncogene family"	CV? Ch?	2.29E-04	0.35	B	
1712312	RAB11A	"RAB11A, member RAS oncogene family"	H?	2.52E-04	0.34	AB	
1779735	LOC389541	Chromosome 7 open reading frame 59		6.56E-04	0.31	SB	
1739641	MTMR3	Myotubularin related protein 3	CV?	3.17E-03	0.28	B	
1737074	LOC440589	Hypothetical LOC440589	CV? Ch?	1.24E-02	0.22	B	
1662905	NME1-NME2	NME1–NME2 read-through transcript	CV? Ch?	2.28E-02	0.2	B	Cancere
1716260	HSPA8	Heat shock 70 kDa protein 8		3.86E-02	0.16	SB	Kidney failuree
1803846	EIF1	Eukaryotic translation initiation factor 1		7.51E-02	0.17	SB	
1682299	NDUFA11	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11"		9.05E-02	0.14	SAB	
1695420	CLTA	"Clathrin, light chain (Lca)"	Ch?	3.68E-01	0.03	B	
