ID	Symbol	EntrezGeneName	Location
214033_at	ABCC6	ATP-bindingcassette,sub-familyC(CFTR/MRP),member6	PlasmaMembrane
208636_at	ACTN1	actinin,alpha1	Cytoplasm
204497_at	ADCY9	adenylatecyclase9	PlasmaMembrane
211986_at	AHNAK	AHNAKnucleoprotein	Nucleus
203180_at	ALDH1A3	aldehydedehydrogenase1family,memberA3	Cytoplasm
203002_at	AMOTL2	angiomotinlike2	PlasmaMembrane
203910_at	ARHGAP29	RhoGTPaseactivatingprotein29	Cytoplasm
206414_s_at	ASAP2	ArfGAPwithSH3domain,ankyrinrepeatandPHdomain2	Nucleus
209394_at	ASMTL(includesEG:8623)	acetylserotoninO-methyltransferase-like	unknown
205047_s_at	ASNS	asparaginesynthetase	unknown
208898_at	ATP6V1D	ATPase,H+transporting,lysosomal34kDa,V1subunitD	Cytoplasm
213429_at	BICC1	Bicaudal C homolog 1	unknown
203773_x_at	BLVRA	biliverdinreductaseA	Cytoplasm
212923_s_at	C6ORF145	chromosome6openreadingframe145	unknown
205899_at	CCNA1	cyclinA1	Nucleus
208712_at	CCND1	cyclinD1	Nucleus
208711_s_at	CCND1	cyclinD1	Nucleus
209583_s_at	CD200	CD200molecule	PlasmaMembrane
200663_at	CD63	CD63molecule	PlasmaMembrane
203377_s_at	CDC40	celldivisioncycle40homolog(S.cerevisiae)	Nucleus
209834_at	CHST3	carbohydrate(chondroitin6)sulfotransferase3	Cytoplasm
202110_at	COX7B	cytochromecoxidasesubunitVIIb	Cytoplasm
206256_at	CPN1	carboxypeptidaseN,polypeptide1	ExtracellularSpace
202329_at	CSK	c-srctyrosinekinase	Cytoplasm
204459_at	CSTF2(includesEG:1478)	cleavagestimulationfactor,3pre-RNA,subunit2,64kDa	Nucleus
202295_s_at	CTSH	cathepsinH	Cytoplasm
201289_at	CYR61	cysteine-rich,angiogenicinducer,61	ExtracellularSpace
210811_s_at	DDX49	DEAD(Asp-Glu-Ala-Asp)boxpolypeptide49	Nucleus
209250_at	DEGS1	degenerativespermatocytehomolog1,lipiddesaturase(Drosophila)	PlasmaMembrane
203695_s_at	DFNA5	deafness,autosomaldominant5	unknown
207556_s_at	DGKZ	diacylglycerolkinase,zeta104kDa	Cytoplasm
212504_at	DIP2C	DIP2disco-interactingprotein2homologC(Drosophila)	unknown
201479_at	DKC1	dyskeratosiscongenita1,dyskerin	Nucleus
203367_at	DUSP14	dualspecificityphosphatase14	unknown
204794_at	DUSP2	dualspecificityphosphatase2	Nucleus
214036_at	EFNA5	ephrin-A5	PlasmaMembrane
201983_s_at	EGFR	epidermalgrowthfactorreceptor(erythroblasticleukemiaviral(v-erb-b)oncogenehomolog,avian)	PlasmaMembrane
201984_s_at	EGFR	epidermalgrowthfactorreceptor(erythroblasticleukemiaviral(v-erb-b)oncogenehomolog,avian)	PlasmaMembrane
204643_s_at	ENOX2	ecto-NOXdisulfide-thiolexchanger2	PlasmaMembrane
208092_s_at	FAM49A	familywithsequencesimilarity49,memberA	unknown
214436_at	FBXL2	F-boxandleucine-richrepeatprotein2	Cytoplasm
204767_s_at	FEN1	flapstructure-specificendonuclease1	Nucleus
206857_s_at	FKBP1B	FK506bindingprotein1B,12.6kDa	Cytoplasm
203091_at	FUBP1	farupstreamelement(FUSE)bindingprotein1	Nucleus
205527_s_at	GEMIN4	gem(nuclearorganelle)associatedprotein4	Nucleus
205696_s_at	GFRA1	GDNFfamilyreceptoralpha1	PlasmaMembrane
204115_at	GNG11	guaninenucleotidebindingprotein(Gprotein),gamma11	PlasmaMembrane
204137_at	GPR137B	Gprotein-coupledreceptor137B	PlasmaMembrane
202554_s_at	GSTM3(includesEG:2947)	glutathioneS-transferasemu3(brain)	Cytoplasm
205439_at	GSTT2	glutathioneS-transferasetheta2	Cytoplasm
210892_s_at	GTF2I	generaltranscriptionfactorIIi	Nucleus
204805_s_at	H1FX	H1histonefamily,memberX	Nucleus
208668_x_at	HMGN2	high-mobilitygroupnucleosomalbindingdomain2	Nucleus
205453_at	HOXB2	homeoboxB2	Nucleus
201162_at	IGFBP7	insulin-likegrowthfactorbindingprotein7	ExtracellularSpace
201474_s_at	ITGA3	integrin,alpha3(antigenCD49C,alpha3subunitofVLA-3receptor)	PlasmaMembrane
202351_at	ITGAV	integrin,alphaV(vitronectinreceptor,alphapolypeptide,antigenCD51)	PlasmaMembrane
204627_s_at	ITGB3	integrin,beta3(plateletglycoproteinIIIa,antigenCD61)	PlasmaMembrane
201505_at	LAMB1	laminin,beta1	ExtracellularSpace
202378_s_at	LEPROT	leptinreceptoroverlappingtranscript	PlasmaMembrane
203276_at	LMNB1	laminB1	Nucleus
210178_x_at	LOC100505793	Serine/arginine-rich splicing factor 10	Nucleus
202822_at	LPP	LIMdomaincontainingpreferredtranslocationpartnerinlipoma	Nucleus
203362_s_at	MAD2L1	MAD2mitoticarrestdeficient-like1(yeast)	Nucleus
213627_at	MAGED2	melanomaantigenfamilyD,2	PlasmaMembrane
213256_at	40971	membrane-associatedringfinger(C3HC4)3	Cytoplasm
201555_at	MCM3	minichromosomemaintenancecomplexcomponent3	Nucleus
214077_x_at	MEIS4	Meishomeobox3pseudogene1	unknown
210605_s_at	MFGE8	milkfatglobule-EGFfactor8protein	ExtracellularSpace
212715_s_at	MICAL3(includesEG:57553)	microtubuleassociatedmonoxygenase,calponinandLIMdomaincontaining3	Cytoplasm
209708_at	MOXD1	monooxygenase,DBH-like1	Cytoplasm
201761_at	MTHFD2	methylenetetrahydrofolatedehydrogenase(NADP+dependent)2,methenyltetrahydrofolatecyclohydrolase	Cytoplasm
212509_s_at	MXRA7	matrix-remodellingassociated7	unknown
204798_at	MYB(includesEG:4602)	v-mybmyeloblastosisviraloncogenehomolog(avian)	Nucleus
202431_s_at	MYC	v-mycmyelocytomatosisviraloncogenehomolog(avian)	Nucleus
210395_x_at	MYL4	myosin,lightchain4,alkali;atrial,embryonic	Cytoplasm
202555_s_at	MYLK	myosinlightchainkinase	Cytoplasm
201970_s_at	NASP	nuclearautoantigenicspermprotein(histone-binding)	Nucleus
202607_at	NDST1	N-deacetylase/N-sulfotransferase(heparanglucosaminyl)1	Cytoplasm
208714_at	NDUFV1	NADHdehydrogenase(ubiquinone)flavoprotein1,51kDa	Cytoplasm
202115_s_at	NOC2L	nucleolarcomplexassociated2homolog(S.cerevisiae)	Nucleus
209120_at	NR2F2	nuclearreceptorsubfamily2,groupF,member2	Nucleus
212691_at	NUP188	nucleoporin188kDa	Nucleus
210415_s_at	ODF2	outerdensefiberofspermtails2	Cytoplasm
202733_at	P4HA2	prolyl4-hydroxylase,alphapolypeptideII	Cytoplasm
213675_at	PARVA	Parvin, alpha	Cytoplasm
209493_at	PDZD2	PDZdomaincontaining2	PlasmaMembrane
212094_at	PEG10	paternallyexpressed10	Nucleus
201080_at	PIP4K2B	phosphatidylinositol-5-phosphate4-kinase,typeII,beta	Cytoplasm
