# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_009606|NM_009606	mgi_symbol|Acta1|Acta1
refseq_dna|NM_007392|NM_007392	mgi_symbol|Acta2|Acta2
refseq_dna|NM_009609|NM_009609	mgi_symbol|Actg1|Actg1
refseq_dna|NM_009610|NM_009610	mgi_symbol|Actg2|Actg2
refseq_dna|NM_134156|NM_134156	mgi_symbol|Actn1|Actn1
refseq_dna|NM_133754|NM_133754	mgi_symbol|Fblim1|Fblim1
refseq_dna|NM_008398|NM_008398	mgi_symbol|Itga7|Itga7
refseq_dna|NM_008402|NM_008402	mgi_symbol|Itgav|Itgav
refseq_dna|NM_010578|NM_010578	mgi_symbol|Itgb1|Itgb1
refseq_dna|NM_008404|NM_008404	mgi_symbol|Itgb2|Itgb2
refseq_dna|NM_010580|NM_010580	mgi_symbol|Itgb5|Itgb5
refseq_dna|NM_010688|NM_010688	mgi_symbol|Lasp1|Lasp1
refseq_dna|NM_010879|NM_010879	mgi_symbol|Nck2|Nck2
refseq_dna|NM_020606|NM_020606	mgi_symbol|Parva|Parva
refseq_dna|NM_133915|NM_133915	mgi_symbol|Pxn|Pxn
refseq_dna|NM_009365|NM_009365	mgi_symbol|Tgfb1i1|Tgfb1i1
refseq_dna|NM_027884|NM_027884	mgi_symbol|Tns1|Tns1
refseq_dna|NM_009502|NM_009502	mgi_symbol|Vcl|Vcl
refseq_dna|NM_011777|NM_011777	mgi_symbol|Zyx|Zyx
