Affymetrix ID	Gene symbol	Gene name	Function
212942_s_at	KIAA1199	KIAA1199	Sensory perception of sound
227475_at	FOXQ1	Forkhead box Q1	Transcription, regulation of transcription
207504_at	CA7	Carbonic anhydrase VII	One-carbon compound metabolic process
204719_at	ABCA8	ATP-binding cassette, subfamily A (ABC1), member 8	Transport
1552296_at	BEST4	Bestrophin 4	Ion transport
240157_at	—	—	—
205861_at	SPIB	Spi-B transcription factor	Transcription, regulation of transcription
207080_s_at	PYY	Peptide YY	Cell motility, cytoskeleton organisation and biogenesis, cell proliferation
237530_at	—	—	—
230204_at	HAPLN1	Hyaluronan and proteoglycan link protein 1	Cell adhesion
240389_at	TRPM6	Transient receptor potential cation channel, subfamily M, member 6	Protein amino acid phosphorylation, calcium ion transport
1558324_a_at	TMEM72	Transmembrane protein 72	—
214598_at	CLDN8	Claudin 8	Calcium-independent cell – cell adhesion
203256_at	CDH3	Cadherin 3, type 1, P-cadherin	Transcription, regulation of transcription
205523_at	HAPLN1	Hyaluronan and proteoglycan link protein 1	Cell adhesion
206422_at	GCG	Glucagon	Signal transduction, feeding behavior, cell proliferation
213921_at	SST	Somatostatin	Cell surface receptor linked signal transduction
224412_s_at	TRPM6	Transient receptor potential cation channel, subfamily M, member 6	Protein amino acid phosphorylation, calcium ion transport
203000_at	STMN2	Stathmin-like 2	Intracellular signalling cascade, neuron differentiation
202504_at	TRIM29	Tripartite motif-containing 29	Transcription from RNA polymerase II promoter
202112_at	VWF	von Willebrand factor	Cell adhesion, blood coagulation, hemostasis
202859_x_at	IL8	Interleukin 8	Angiogenesis, cell motility, chemotaxis
209395_at	CHI3L1	Chitinase 3-like 1	Carbohydrate metabolic process, chitin catabolic process, transport
202917_s_at	S100A8	S100 calcium binding protein A8	Inflammatory response
218468_s_at	GREM1	Gremlin 1, cysteine knot superfamily, homolog	Multicellular organismal development, nervous system development
212531_at	LCN2	Lipocalin 2	Transport
204470_at	CXCL1	Chemokine (C-X-C motif) ligand 1	Chemotaxis, inflammatory response, cell proliferation
211981_at	COL4A1	Collagen, type IV, a1	Phosphate transport
213338_at	TMEM158	Transmembrane protein 158	—
211980_at	COL4A1	Collagen, type IV, a1	Phosphate transport
209752_at	REG1A	Regenerating islet-derived 1a	Positive regulation of cell proliferation
211959_at	IGFBP5	Insulin-like growth factor binding protein 5	Regulation of cell growth, signal transduction
225681_at	CTHRC1	Collagen triple helix repeat containing 1	Phosphate transport
218469_at	GREM1	Gremlin 1, cysteine knot superfamily, homolog	Multicellular organismal development, nervous system development
209087_x_at	MCAM	Melanoma cell adhesion molecule	Cell adhesion, anatomical structure morphogenesis
207504_at	CA7	Carbonic anhydrase VII	One-carbon compound metabolic process
205067_at	IL1B	Interleukin 1, b	Angiogenesis, fever, apoptosis, inflammatory response
212657_s_at	IL1RN	Interleukin 1 receptor antagonist	Inflammatory response, immune response
225664_at	COL12A1	Collagen, type XII, a1	Skeletal development, phosphate transport, cell adhesion
202311_s_at	COL1A1	Collagen, type I, a1	Skeletal development, ossification, phosphate transport
209774_x_at	CXCL2	Chemokine (C-X-C motif) ligand 2	Chemotaxis, inflammatory response
225842_at	PHLDA1	Pleckstrin homology-like domain, family A, member 1	Apoptosis, FasL biosynthetic process
219727_at	DUOX2	Dual oxidase 2	Electron transport, response to oxidative stress
211506_s_at	IL8	Interleukin 8	Angiogenesis, cell motility, chemotaxis, inflammatory response
209875_s_at	SPP1	Secreted phosphoprotein 1 (osteopontin)	Ossification, cell adhesion, negative regulation of bone mineralisation
205828_at	MMP3	Matrix metallopeptidase 3	Proteolysis, metabolic process
211340_s_at	MCAM	Melanoma cell adhesion molecule	Cell adhesion, anatomical structure morphogenesis
1552296_at	BEST4	Bestrophin 4	Ion transport
204677_at	CDH5	Cadherin 5, type 2, VE-cadherin	Cell adhesion
202404_s_at	COL1A2	Collagen, type I, a2	Skeletal development, phosphate transport
240157_at	—	—	—
39402_at	IL1B	Interleukin 1, b	Angiogenesis, fever, apoptosis, inflammatory response
206121_at	AMPD1	Adenosine monophosphate deaminase 1	Nucleotide metabolic process
201438_at	COL6A3	Collagen, type VI, a3	Phosphate transport, cell adhesion, muscle development
201195_s_at	SLC7A5	Solute carrier family 7, member 5	Amino acid metabolic process, transport
1558324_a_at	TMEM72	Transmembrane protein 72	—
210869_s_at	MCAM	Melanoma cell adhesion molecule	Cell adhesion, anatomical structure morphogenesis
220724_at	FLJ21511	Hypothetical protein FLJ21511	—
