Gene	Gene bank ID	Definition	Fold change
HIGD1B	NM_016438.2	HIG1 domain family, member 1B	91.7
S100A9	NM_002965.2	S100 calcium binding protein A9 (calgranulin B)	23.6
EST	BX105747	BX105747 Barstead colon HPLRB7 Homo sapiens cDNA clone IMAGp998G155786, mRNA sequence	15.6
LOC646043	XM_929003.1	PREDICTED: Homo sapiens similar to CG32346-PB, isoform B (LOC646043), mRNA	13.5
ANGPT2	NM_001147.1	Angiopoietin 2	11.7
HPGD	NM_000860.3	Hydroxyprostaglandin dehydrogenase 15-(NAD)	?143.4
VSTM1	NM_198481.3	V-set and transmembrane domain containing 1	?75.1
TSHB	NM_000549.3	Thyroid stimulating hormone, beta	?59.0
GJB7	NM_198568.1	Gap junction protein, beta 7, 25 kDa	?57.0
UGT2B7	XM_943434.1	PREDICTED: Homo sapiens UDP glucuronosyltransferase 2 family, polypeptide B7 (UGT2B7), mRNA	?55.7
