Gene name	GeneID	Symbol	Change
RIKEN cDNA 2310065F04 gene	74184	2310065F04Rik	-6.2
Spermine oxidase	228608	Smox	-4.84
Immunoglobulin heavy chain 6 (heavy chain of IgM)	16019	Igh-6	-4.53
D-Aspartate oxidase	70503	Ddo	-4.29
Exocyst complex component 3-like 2	74463	Exoc3l2	-4.04
RIKEN cDNA 9330159F19 gene	212448	9330159F19Rik	-4.03
Glutamic pyruvate transaminase (alanine aminotransferase) 2	108682	Gpt2	-3.82
Mitogen-activated protein kinase kinase 6	26399	Map2k6	-3.81
RIKEN cDNA 2310010M20 gene	69576	2310010M20Rik	-3.73
Calcium- and integrin-binding family member 2	56506	Cib2	-3.69
Aquaporin 4	11829	Aqp4	-3.66
Prostaglandin E receptor 3 (subtype EP3)	19218	Ptger3	-3.59
RIKEN cDNA 6430571L13 gene	235599	6430571L13Rik	-3.4
Solute carrier family 37 (glycerol 6-phosphate transporter), member 4	14385	Slc37a4	-3.36
Tubulin, alpha8	53857	Tuba8	-3.35
Calcium/calmodulin-dependent protein kinase II alpha	12322	Camk2a	-3.34
Expressed sequence AU040377	268780	Egflam	-3.27
cDNA sequence BC018222	235135	Tmem45b	-3.26
JTV1 gene	231872	Jtv1	-3.18
RIKEN cDNA 2010110I21 gene	70260	2010110I21Rik	-3.18
Ganglioside-induced differentiation-associated-protein 1	14545	Gdap1	-3.05
HRAS-like suppressor	27281	Hrasls	-3
Protein kinase, AMP-activated, beta2 noncatalytic subunit	108097	Prkab2	-2.92
Nuclear receptor subfamily 4, group A, member 1	15370	Nr4a1	-2.89
ADP-ribosylation factor-like 6-interacting protein 2	56298	Arl6ip2	-2.79
Leucine-rich repeat containing 38	242735	Lrrc38	-2.76
Laminin,alpha 2	16773	Lama2	-2.65
ATP-binding cassette, subfamily D (ALD), member 2	26874	Abcd2	-2.61
Phosphatidic acid phosphatase type 2 domain containing 3	227721	Ppapdc3	-2.6
Solute carrier family 41, member 3	71699	Slc41a3	-2.6
Mitochondrial tumor suppressor 1	102103	Mtus1	-2.6
Kyphoscoliosis	16716	Ky	-2.56
Glycerol phosphate dehydrogenase 2, mitochondrial	14571	Gpd2	-2.55
DIS3 mitotic control homolog (S. cerevisiae)-like 2	208718	Dis3l2	-2.54
Coiled-coil domain-containing 58	381045	Ccdc58	-2.49
Small nuclear ribonucleoprotein N	20646	Snrpn	-2.47
Solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19	67283	Slc25a19	-2.44
RIKEN cDNA 1110006G14 gene	68469	1110006G14Rik	-2.44
RIKEN cDNA 9630033F20 gene	319801	9630033F20Rik	-2.44
Phosphorylase kinase gamma1	18682	Phkg1	-2.43
