# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|BG793658|11674	mgi_symbol|Aldo1|Aldo1
entrezgene|AW547988|110078	mgi_symbol|Pygb|Pygb
entrezgene|BC027438|74246	mgi_symbol|Gale|Gale
entrezgene|BB777344|26384	mgi_symbol|Gnpi|Gnpi
entrezgene|BC012247|67880	mgi_symbol|Dcxr|Dcxr
refseq_dna|NM_009286|NM_009286	mgi_symbol|Sth2|Sth2
refseq_dna|NM_009128|NM_009128	mgi_symbol|Scd2|Scd2
refseq_dna|NM_134066|NM_134066	mgi_symbol|Akr1c18|Akr1c18
entrezgene|BC002008|16592	mgi_symbol|Fabp5|Fabp5
refseq_dna|NM_011994|NM_011994	mgi_symbol|d2|d2
refseq_dna|NM_021486|NM_021486	mgi_symbol|Bcdo1|Bcdo1
refseq_dna|NM_007809|NM_007809	mgi_symbol|Cyp17a1|Cyp17a1
refseq_dna|NM_024406|NM_024406	mgi_symbol|Fabp4|Fabp4
refseq_dna|NM_013490|NM_013490	mgi_symbol|Chk|Chk
entrezgene|BC018263|216454	mgi_symbol|CRAD-L|CRAD-L
entrezgene|AK014742|16987	mgi_symbol|Lss|Lss
entrezgene|BG066773|56386	mgi_symbol|B4galt6|B4galt6
refseq_dna|NM_007702|NM_007702	mgi_symbol|Cidea|Cidea
entrezgene|BC014865|67103	mgi_symbol|Ltb4dh|Ltb4dh
entrezgene|BC010332|50784	mgi_symbol|Ppap2c|Ppap2c
entrezgene|BB430611|56473	mgi_symbol|Fads2|Fads2
refseq_dna|NM_023523|NM_023523	mgi_symbol|Pecr|Pecr
refseq_dna|NM_054094|NM_054094	mgi_symbol|Bucs1|Bucs1
refseq_dna|NM_024264|NM_024264	mgi_symbol|Cyp27a1|Cyp27a1
entrezgene|BC026757|15493	mgi_symbol|Hsd3b2|Hsd3b2
entrezgene|BC016251|212862	mgi_symbol|Chpt1|Chpt1
refseq_dna|NM_008280|NM_008280	mgi_symbol|Lipc|Lipc
refseq_dna|NM_007825|NM_007825	mgi_symbol|Cyp7b1|Cyp7b1
refseq_dna|NM_007824|NM_007824	mgi_symbol|Cyp7a1|Cyp7a1
entrezgene|BC010973|13124	mgi_symbol|Cyp8b1|Cyp8b1
entrezgene|BC004827|107272	mgi_symbol|Psat1|Psat1
refseq_dna|NM_133900|NM_133900	mgi_symbol|Psph|Psph
entrezgene|AA561726|236539	mgi_symbol|Phgdh|Phgdh
refseq_dna|NM_133768|NM_133768	mgi_symbol|Asl|Asl
entrezgene|BC008119|18242	mgi_symbol|Oat|Oat
entrezgene|BC012637|23923	mgi_symbol|Kat2|Kat2
entrezgene|U09114|14645	mgi_symbol|Glul|Glul
refseq_dna|NM_011172|NM_011172	mgi_symbol|Prodh|Prodh
embl|AK013765|AK013765	mgi_symbol|Ecgf1|Ecgf1
entrezgene|AW490997|64705	mgi_symbol|Dpys|Dpys
entrezgene|BB819674|18671	mgi_symbol|Abcb1a|Abcb1a
entrezgene|BC010593|13105	mgi_symbol|Cyp2d9|Cyp2d9
refseq_dna|NM_008184|NM_008184	mgi_symbol|Gstm6|Gstm6
refseq_dna|NM_019878|NM_019878	mgi_symbol|Sult1b1|Sult1b1
entrezgene|BF783609|13109	mgi_symbol|Cyp2j5|Cyp2j5
refseq_dna|NM_009993|NM_009993	mgi_symbol|Cyp1a2|Cyp1a2
refseq_dna|NM_010001|NM_010001	mgi_symbol|Cyp2c37|Cyp2c37
entrezgene|AI256046|404195
entrezgene|AK006371|18113	mgi_symbol|Nnmt|Nnmt
refseq_dna|NM_009258|NM_009258	mgi_symbol|Spink3|Spink3
refseq_dna|NM_011414|NM_011414	mgi_symbol|Slpi|Slpi
entrezgene|BC010197|12876	mgi_symbol|Cpe|Cpe
refseq_dna|NM_007585|NM_007585	mgi_symbol|Anxa2|Anxa2
refseq_dna|NM_024169|NM_024169	mgi_symbol|Fkbp11|Fkbp11
refseq_dna|NM_022433|NM_022433	mgi_symbol|Sirt3|Sirt3
refseq_dna|NM_023341|NM_023341	mgi_symbol|Cabc1|Cabc1
embl|AV303002|AV303002	mgi_symbol|Nupl1|Nupl1
entrezgene|AF316014|21673	mgi_symbol|Dntt|Dntt
entrezgene|U43884|15901	mgi_symbol|Idb1|Idb1
entrezgene|AF090696|14007	mgi_symbol|Cugbp2|Cugbp2
embl|BM899344|BM899344	mgi_symbol|Sycp3|Sycp3
entrezgene|BC005569|58809	mgi_symbol|Rnase4|Rnase4
refseq_dna|NM_007447|NM_007447	mgi_symbol|Ang|Ang
entrezgene|BC004831|228608	mgi_symbol|Smox-pending|Smox-pending
entrezgene|BC020001|72535	mgi_symbol|Aldh1b1|Aldh1b1
entrezgene|AK017155|75986	mgi_symbol|Agmat|Agmat
entrezgene|BC026584|76187	mgi_symbol|Adh8-pending|Adh8-pending
