Gene	Gene Description	Mean-fold change	NCBI access	Locus
CBFA2T2	Core-binding factor, runt domain, alpha subunit 2; translocated to, 2 transcript, variant 2	1,327	NM_005093	20q11
AGA	Aspartylglucosaminidase	427	NM_000027	4q32–q33
ZNF585B	Zinc finger protein 585B	307	NM_152279	19q13.12
USP4	Ubiquitin specific protease 4 (proto-oncogene), transcript variant 1	288	NM_003363	3p21.3
C9orf55	Chromosome 9 open reading frame 55	254	nm017925	9p22.1
PIPOX	Pipecolic acid oxidase	228	NM_016518	17q11.2
KIF2C	Kinesin family member 2C	152	NM_006845	1p34.1
TAF11	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28 kDa	140	NM_005643	6p21.31
BCAR1	Breast cancer anti-estrogen resistance 1	129	NM_014567	16q22–q33
PRC1	Protein regulator of cytokinesis 1, transcript variant 3	118	NM_199414	15q26.1
CDH6	Cadherin 6, type 2, K-cadherin (fetal kidney)	87	NM_004932	5p15.1
CCNB2	Cyclin B2	68	NM_004701	15q22.2
FLI1	Friend leukemia virus integration 1	66	NM_002017	11q24.1–q24.3
ANAPC4	Anaphase promoting complex subunit 4	63	NM_013367	4p15.2
GBP2	Guanylate binding protein 2, interferon-inducible	59	NM_004120	1p22.2
TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	59	NM_003254	Xp11.3
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	58	NM_004364	19p13.3
PLAT	Plasminogen activator, tissue, transcript variant 1	55	NM_000930	8p21
GNB2L1	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	53	NM_006098	5p35.3
LRP5	Low density lipoprotein receptor-related protein 5	51	NM_002335	11q13.4
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	49	NM_002046	12p13
ANXA1	Annexin A1	48	NM_000700	9q12–q21.2
NUP107	Nucleoporin 107 kDa	48	NM_020401	12q15
A2M	Alpha-2-macroglobulin	47	NM_000014	12p13.3
HES1	Hairy and enhancer of split 1, (Drosophila)	45	NM_005524	3q28–q29
IGFBP2	Insulin-like growth factor binding protein 2 (36 kD)	44	NM_000597	2q33–34
RNF5	Ring finger protein 5	44	NM_006913	6p21.3
AURKB	Aurora kinase B	44	NM_004217	17p13.1
SQRDL	Sulfide quinone reductase-like (yeast)	43	NM_021199	15q15
ASPM	Asp (abnormal spindle)-like, microcephaly associated (Drosophila)	43	NM_018136	1q31
APOBEC3F	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	41	NM_145298	22q13.1
MSN	Moesin	41	NM_002444	Xq11.2–q12
NOL8	Nucleolar protein 8	40	NM_017948	9q22.31
PTN	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	40	NM_002825	7q33–q34
MBTPS1	Membrane-bound transcription factor protease, site 1, transcript variant 1	40	NM_003791	16q24
PTPRZ1	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1	40	NM_002851	7q31.3
C21orf119	Chromosome 21 open reading frame 119, mRNA	38	NM_032910	21q22.11
ZNF253	Zinc finger protein 253	38	NM_021047	19p13.11
ZFYVE9	Zinc finger, FYVE domain containing 9, transcript variant 1	37	MN007324	1p32.3
PSTPIP1	Proline–serine–threonine phosphatase interacting protein 1	36	NM_003978	15q24–q25.1
GRB14	Growth factor receptor-bound protein 14	35	NM_004490	2q22–q24
EGLN1	Egl nine homolog 1 (C elegans)	34	NM_022051	1q42.1
LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	33	NM_006726	4q31.3
COL4A2	Collagen, type IV, alpha 2	32	NM_001846	13q34
MVP	Major vault protein, transcript variant 1	32	NM_017458	16p11.2–p13.1
CXCL10	Chemokine (C-X-C motif) ligand 10	32	NM_001565	4q21
PLOD	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase	31	NM_000302	1p36.2–p36.3
UBE2C	Ubiquitin-conjugating enzyme E2C, transcript variant 6	31	NM_181803	20q13.12
DNALI1	Dynein, axonemal, light intermediate polypeptide 1	30	NM_003462	1p35.1
PR48	Protein phosphatase 2A 48 kDa regulatory subunit, transcript variant 2	30	NM_199326	Xp22.33
C10orf88	Chromosome 10 open reading frame 88	30	NM_024942	10q26.13
