Category(Gene name)	GeneID	Day 4PO	Day 6PO
Matrix metalloproteinase 9	J05070	2.1a,	3.7
STAT3	L29277	2.7	3.9
Kinasedomainreceptor	NM_002253	2.9	11.0†
Tastin	U04810	4.1	5.6
Ribosomal protein S9	U14971	4.1	60.5†
JunB	M29039	4.0	62.5†
Leptinreceptor	U43168	15.5†	27.5†
TGFB1	X02812	74.5†	94.2‡
Ribosomal protein S7	BC061901	76.6‡	342.0§
wif	AY358344	2.6	–
Follistatin-like1	M19481	2.8	–
Tissue factor (thromboplastin)	NM_001993	2.9	–
Bystin	L36720	3.2	–
3bhydroxysteroid dehydrogenase	M27137	4.7	–
Integrin a-6	X53586	4.8	–
STAT-PIASg	AF077952	6.3	–
Keratan sulphotransferase1	AF219990	16.4†	–
a-1anti-trypsin	K01396	32.6†	–
Matrixmetalloproteinase3	X05232	42.9‡	–
Prolactinreceptor	S78505	-4.4	–
ErbB3	NM_00198	-7.0	–
Cyclooxygenase (COX) 1	HSU63846	–	2.1
Elongation factor 1-a	AF458103	–	2.2
IL6	X04602	–	2.2
JAK1	M35203	–	2.7
Distal less homeobox 4	NM_138281	–	2.9
Tissue necrosis factor-a	X02910	–	3.9
JUN	NM_002228	–	4.0
PGFreceptor	L24470	–	4.8
Macrophageinhibitoryfactor	NM_002415	–	6.9
CD44	M59040	–	7.0
Thioredoxin	J04026	–	7.2†
Matrix metalloproteinase 10	X07820	–	92.3‡
17, 20 desmolase	U14953	–	-2.0
Mucin1	NM_182741	–	-2.1
CSF1	NM_000757	-2.3a,	3.6
RASA1	BC007353	-2.0a,	6.5
Uteroferrin	M30284	-2.6	7.0
Uteroglobin	X59875	-7.0	33.9‡
Enigma	BC067806	2.4	-2.4
