Curated Gene Symbol	Rank	GenBank	Name	Symbol	Rank	HepG2	Hep3B
MAP3K3	1	BC010464	Mitogen-activated protein kinase kinase kinase 3	MAP3K3	5.17	2.09	0.4
BAI2	2	NM_001703	Brain-specific angiogenesis inhibitor 2	BAI2	4.35	1.61	0.37
GLS	3	NM_014905	Glutaminase	GLS	3.6	1.34	0.37
NAA15	4	AK023115	Transcriptional coactivator tubedown-100	TBDN100	3.51	1.52	0.43
GNG12	5	NM_018841	Guanine nucleotide binding protein Á 12	GNG12	3.32	1.23	0.37
NR1D1	6	NM_021724	Nuclear receptor subfamily 1, group D, member 1	NR1D1	3.28	1.24	0.38
CRIP2	7	NM_001311	Cysteine-rich protein 2	CRIP2	3.21	1.17	0.36
CXCL3	8	NM_002090	Chemokine (C-X-C motif) ligand 3	CXCL3	3.2	1.35	0.42
PGC	9	NM_002630	Progastricsin (pepsinogen C)	PGC	3.17	1.13	0.35
ADARB1	10	NM_015833	Adenosine deaminase, RNA-specific, B1	ADARB1	3.1	1.17	0.38
MED13	11	NM_005121	Thyroid hormone receptor-associated protein	TRAP240	3.08	1.34	0.44
MGP	12	NM_000900	Matrix Gla protein	MGP	3.05	1.11	0.37
GPR110	13	BF115152	G protein-coupled receptor 110	GPR110	3.03	0.65	0.22
P2RY14	14	NM_014879	G protein-coupled receptor 105	GPR105	3.02	0.65	0.21
COMMD3	15	NM_005180	COMM domain containing 3	COMMD3	0.33	0.48	1.46
TRNT1	16	NM_016000	tRNA nucleotidyl transferase, CCA-adding, 1	TRNT1	0.33	0.5	1.52
GOLGA5	17	NM_005113	Golgi autoantigen, golgin subfamily a, 5	GOLGA5	0.33	0.54	1.63
HNRNPR	18	NM_005826	Heterogeneous nuclear ribonucleoprotein R	HNRPR	0.33	0.43	1.3
ABCE1	19	NM_002940	ATP-binding cassette, sub-family E1	ABCE1	0.33	0.48	1.46
DNAJA2	20	NM_005880	DnaJ (Hsp40) homolog, subfamily A, member 2	DNAJA2	0.33	0.49	1.51
ZNF473	21	AB032967	Zinc finger protein 473	ZNF473	0.33	0.45	1.38
RAB18	22	AK001555	RAB18, member RAS oncogene family	RAB18	0.33	0.51	1.57
TAF1B	23	L39061	TATA box binding protein (TBP)-associated factor	TAF1B	0.32	0.26	0.82
AP3B1	24	NM_003664	Adaptor-related protein complex 3, ß 1	AP3B1	0.32	0.43	1.33
TCEA1	25	NM_006756	Transcription elongation factor A (SII), 1	TCEA1	0.32	0.41	1.29
LRPPRC	26	BI094140	Leucine-rich PPR-motif containing	LRPPRC	0.32	0.54	1.71
SMARCD1	27	NM_003076	SMARCD1	SMARCD1	0.31	0.44	1.39
TUBA1C	28	NM_032704	Tubulin · 6	TUBA6	0.31	0.33	1.08
ELMO2	29	BC000143	Engulfment and cell motility 2	ELMO2	0.31	0.5	1.61
MRPL10	30	AL545781	Mitochondrial ribosomal protein L10	MRPL10	0.3	0.31	1.02
CSE1L	31	NM_001316	CSE1 chromosome segregation 1-like	CSE1L	0.3	0.41	1.34
CCNG1	32	NM_004060	Cyclin G1	CCNG1	0.3	0.54	1.8
USO1	33	NM_003715	Vesicle docking protein p115	VDP	0.29	0.38	1.32
NARS	34	NM_004539	Asparaginyl-tRNA synthetase	NARS	0.29	0.34	1.17
CUL4A	35	NM_003589	Cullin 4A	CUL4A	0.29	0.44	1.54
SP3	36	X68560	Sp3 transcription factor	SP3	0.27	0.46	1.72
TTK	37	NM_003318	TTK protein kinase	TTK	0.27	0.51	1.9
HSP90B1	38	NM_003299	Tumor rejection antigen (gp96) 1	TRA1	0.26	0.37	1.39
DLGAP5	39	NM_014750	Discs, large homolog 7 (Drosophila)	DLG7	0.26	0.41	1.56
HMMR	40	NM_012484	Hyaluronan-mediated motility receptor	HMMR	0.26	0.4	1.52
MYO5B	41	AB032945	Myosin VB	MYO5B	0.26	0.49	1.87
PLK1	42	NM_005030	Polo-like kinase 1 (Drosophila)	PLK1	0.25	0.38	1.5
AKAP10	43	NM_007202	A kinase (PRKA) anchor protein 10	AKAP10	0.25	0.47	1.85
KIF20A	44	NM_005733	Kinesin family member 20A	KIF20A	0.25	0.53	2.14
SNX6	45	NM_021249	Sorting nexin 6	SNX6	0.24	0.35	1.45
	46	NM_031217	Kinesin family member 18A		0.24	0.48	2.02
NOP56	47	NM_006392	Nucleolar protein 5A	NOL5A	0.23	0.21	0.91
SRP54	48	NM_003136	Signal recognition particle, 54 kDa	SRP54	0.23	0.42	1.84
NAE1	49	NM_003905	Amyloid ß precursor protein binding protein 1	APPBP1	0.23	0.5	2.22
PBK	50	NM_018492	T-LAK cell-originated protein kinase	TOPK	0.22	0.41	1.82
COPB2	51	NM_004766	Coatomer protein complex 2	COPB2	0.22	0.44	2
WNT5A	52	NM_003392	Wingless-type MMTV integration site family 5A	WNT5A	0.22	0.19	0.88
HSP90AB1	53	NM_007355	Heat shock 90 kDa protein 1, ß	HSPCB	0.19	0.22	1.12
CENPF	54	NM_016343	Centromere protein F, 350/400ka (mitosin)	CENPF	0.19	0.43	2.3
SNUPN	55	NM_005701	RNA, U transporter 1	RNUT1	0.18	0.28	1.56
TOP2A	56	NM_001067	Topoisomerase (DNA) II ·, 170 kDa	TOP2A	0.13	0.34	2.63
