Gene Symbol	Gene Title	Row_Column	log2 Par4	log2 emptyvector_control	log2 (Par4/vector)	abs fold-change	10%FDR	5%FDR	1%FDR	Alignments	RefSeq Protein ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
AGPAT3 /// LOC653101	1-acylglycerol-3-phosphate O-acyltransferase 3 /// similar to 1-acylglycerol-3-phosphate O-acyltransferase 3	125_69	0.833225712	0.151746126	0.681479586	1.603783706	yes	yes	yes	chr21:44229061-44231449 (+) // 94.21 // q22.3	NP_001032642.1 /// NP_064517.1 /// XP_931088.1 /// XP_946823.1	NM_001037553 /// NM_020132 /// XM_925995 /// XM_941730	8152 // metabolism // inferred from electronic annotation /// 8654 // phospholipid biosynthesis // non-traceable author statement /// 8654 // phospholipid biosynthesis // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	3841 // 1-acylglycerol-3-phosphate O-acyltransferase activity // non-traceable author statement /// 8415 // acyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 3841 // 1-acylglycerol-3-phosphate O-acyltransferase activity // inferred from electronic annotation	Glycerolipid metabolism // KEGG /// Glycerophospholipid metabolism // KEGG /// Ether lipid metabolism // KEGG
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	275_90	0.740453163	1.427222229	-0.686769067	1.609674593	yes	yes	yes	chr8:6553621-6604592 (+) // 99.01 // p23.1	NP_060831.2	NM_018361	8152 // metabolism // inferred from electronic annotation /// 8654 // phospholipid biosynthesis // non-traceable author statement /// 8654 // phospholipid biosynthesis // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	3841 // 1-acylglycerol-3-phosphate O-acyltransferase activity // non-traceable author statement /// 8415 // acyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 3841 // 1-acylglycerol-3-phosphate O-acyltransferase activity // inferred from electronic annotation	Glycerolipid metabolism // KEGG /// Glycerophospholipid metabolism // KEGG /// Ether lipid metabolism // KEGG
AGPAT7	1-acylglycerol-3-phosphate O-acyltransferase 7 (lysophosphatidic acid acyltransferase, eta)	104_33	-0.064503373	0.612583151	-0.677086523	1.59890755	yes	yes	yes	chr15:32438109-32444550 (-) // 85.94 // q14	NP_705841.2	NM_153613	8152 // metabolism // inferred from electronic annotation /// 8654 // phospholipid biosynthesis // inferred from electronic annotation	5783 // endoplasmic reticulum // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	3841 // 1-acylglycerol-3-phosphate O-acyltransferase activity // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation /// 8415 // acyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	---
PAPSS1	3-phosphoadenosine 5-phosphosulfate synthase 1	143_24	-0.847969235	-1.435507505	0.58753827	1.502680473	yes	yes	yes	chr4:108754504-108860810 (-) // 99.25 // q25	NP_005434.4	NM_005443	103 // sulfate assimilation // inferred from electronic annotation /// 1501 // skeletal development // inferred from sequence or structural similarity /// 6139 // nucleobase, nucleoside, nucleotide and nucleic acid metabolism // not recorded /// 1501 // skeletal development // traceable author statement	5622 // intracellular // inferred from sequence or structural similarity	166 // nucleotide binding // inferred from electronic annotation /// 4020 // adenylylsulfate kinase activity // inferred from electronic annotation /// 4781 // sulfate adenylyltransferase (ATP) activity // inferred from sequence or structural similarity /// 5524 // ATP binding // inferred from sequence or structural similarity /// 16779 // nucleotidyltransferase activity // inferred from sequence or structural similarity /// 16740 // transferase activity // inferred from sequence or structural similarity /// 3824 // catalytic activity // inferred from electronic annotation /// 4781 // sulfate adenylyltransferase (ATP) activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 16772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation /// 16779 // nucleotidyltransferase activity // inferred from electronic annotation	Purine metabolism // KEGG /// Selenoamino acid metabolism // KEGG /// Sulfur metabolism // KEGG
NT5DC2	5-nucleotidase domain containing 2	144_56	0.174705657	-0.391884402	0.566590059	1.481018908	yes	yes	yes	chr3:52543023-52545308 (+) // 79.52 // p21.1	NP_075059.1	NM_022908	---	---	---	---
AKAP12	A kinase (PRKA) anchor protein (gravin) 12	1_58	0.419593321	2.1055804	-1.685987079	3.217604665	yes	yes	yes	chr6:151720557-151721364 (+) // 83.78 // q25.1	NP_005091.2 /// NP_653080.1	NM_005100 /// NM_144497	6605 // protein targeting // inferred from electronic annotation /// 7165 // signal transduction // inferred from electronic annotation /// 7186 // G-protein coupled receptor protein signaling pathway // traceable author statement	5737 // cytoplasm // traceable author statement	5515 // protein binding // inferred from electronic annotation /// 51018 // protein kinase A binding // traceable author statement	G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP /// G_Protein_Signaling // GenMAPP
ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	16_82	0.835517577	0.144519529	0.690998048	1.614399965	yes	yes	yes	chr6:160103098-160120072 (+) // 98.07 // q25.3	NP_005882.1	NM_005891	6629 // lipid metabolism // traceable author statement	5737 // cytoplasm // traceable author statement	3985 // acetyl-CoA C-acetyltransferase activity // inferred from electronic annotation /// 8415 // acyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	Fatty acid metabolism // KEGG /// Synthesis and degradation of ketone bodies // KEGG /// Valine, leucine and isoleucine degradation // KEGG /// Lysine degradation // KEGG /// Tryptophan metabolism // KEGG /// Pyruvate metabolism // KEGG /// Benzoate degradation via CoA ligation // KEGG /// Propanoate metabolism // KEGG /// Butanoate metabolism // KEGG /// Two-component system - General // KEGG
ACTG2	actin, gamma 2, smooth muscle, enteric	182_2	0.404426469	1.190116863	-0.785690394	1.723917094	yes	yes	yes	chr2:73973642-74000287 (+) // 100.0 // p13.1	NP_001606.1	NM_001615	---	5856 // cytoskeleton // inferred from electronic annotation /// 5884 // actin filament // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 5200 // structural constituent of cytoskeleton // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation	---
ACTL7A	actin-like 7A	90_78	0.531664762	1.078544892	-0.54688013	1.460922989	yes	yes	yes	chr9:110664423-110665856 (+) // 99.93 // q31.3	NP_006678.1	NM_006687	---	5856 // cytoskeleton // traceable author statement /// 5856 // cytoskeleton // inferred from electronic annotation	5200 // structural constituent of cytoskeleton // traceable author statement /// 5515 // protein binding // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation	---
ATF6	activating transcription factor 6	161_53	-0.219361316	0.638248801	-0.857610118	1.812034116	yes	yes	yes	chr1:160002733-160195475 (+) // 98.46 // q23.3	NP_031374.2	NM_007348	6350 // transcription // inferred from electronic annotation /// 6357 // regulation of transcription from RNA polymerase II promoter // traceable author statement /// 6457 // protein folding // traceable author statement /// 6986 // response to unfolded protein // inferred from electronic annotation /// 6990 // unfolded protein response, positive regulation of target gene transcription // traceable author statement /// 7165 // signal transduction // traceable author statement /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6950 // response to stress // traceable author statement	5634 // nucleus // traceable author statement /// 5635 // nuclear envelope // traceable author statement /// 5654 // nucleoplasm // traceable author statement /// 5783 // endoplasmic reticulum // inferred from electronic annotation /// 5789 // endoplasmic	3700 // transcription factor activity // traceable author statement /// 3702 // RNA polymerase II transcription factor activity // traceable author statement /// 3713 // transcription coactivator activity // traceable author statement /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 46983 // protein dimerization activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation	---
