Cytoband	Gene symbol	Mean difference (log2)	Ratio of means	t-Statistic	P-value
(5q32)	CD74	2.79663	6.94815	23.492	<0.0001
(6p21.3)	HLA-DRB5	2.85072	7.21358	22.644	<0.0001
(8p21)	NEFL	1.17896	2.26413	20.054	<0.0001
(15q13-q14)	SGNE1	1.27149	2.41411	19.233	<0.0001
(6p21.2)	DAAM2	0.72751	1.65578	18.995	<0.0001
(8p21)	NEFL	1.13968	2.20333	17.16	<0.0001
(6p21.3)	HLA-DRB1	3.52285	11.4943	16.573	<0.0001
(7p12-p14)	STK17A	0.9058	1.87358	16.047	<0.0001
(6p21.3)	HLA-DRB1	3.01361	8.07584	15.383	<0.0001
(Xq28)	L1CAM	1.01344	2.01872	15.162	<0.0001
(6p21.3)	IER3	2.28077	4.85938	13.452	<0.0001
(6p21.3)	HLA-DQB1	0.9112	1.88061	13.054	<0.0001
(1q24)	PRRX1	1.81618	3.52147	12.681	<0.0001
(6p21.3)	HLA-DPB1	1.20809	2.31031	12.658	<0.0001
(3p21-p14)	WNT5A	0.73596	1.66551	12.586	<0.0001
(6p21.3)	HLA-DRB4	1.98187	3.95004	12.402	<0.0001
(6p21.3)	HLA-DRA	3.08406	8.47999	12.29	<0.0001
(6p21.3)	HLA-DRA	3.54244	11.6515	12.252	<0.0001
(2p14)	C2orf32	0.5908	1.50609	11.768	<0.0001
(18p11.2)	PTPRM	0.68664	1.60953	11.666	<0.0001
(7q32-q35)	FLNC	0.69961	1.62407	11.445	<0.0001
(6p23)	RNF182	0.45141	1.36737	11.306	<0.0001
(13q12.3)	LOC283537	0.3805	1.30179	11.24	<0.0001
(6p21.3)	HLA-DPA1	1.9834	3.95425	11.131	<0.0001
(5q34)	DUSP1	0.8521	1.80512	11.122	<0.0001
(6p21.3)	HLA-DQB1	1.013	2.0181	10.946	<0.0001
(5q32)	CD74	0.55819	1.47242	10.876	<0.0001
(7q21-q31)	SEMA3C	0.59447	1.50992	10.85	<0.0001
(Xp22.1)	SAT	2.11197	4.3228	10.75	<0.0001
(1q24)	PRRX1	0.68108	1.60334	10.732	<0.0001
(19q12)	ZNF537	0.45421	1.37003	10.653	<0.0001
(2p22-p21)	LTBP1	0.58538	1.50044	10.433	<0.0001
–	NA	0.95214	1.93474	10.408	<0.0001
(6p21.3)	HLA-DQB1	0.70381	1.6288	10.23	<0.0001
–	NA	0.9038	1.87099	10.136	<0.0001
(16q11.2)	DNAJA2	0.37493	1.29678	10.07	<0.0001
(6p21.3)	HLA-DPA1	3.05706	8.32275	10.028	<0.0001
(7p12-p14)	STK17A	1.04624	2.06514	9.91	<0.0001
(6p21.3)	HLA-DQB1	0.32749	1.25482	9.839	<0.0001
(6p21.3)	HLA-DQB1	0.61589	1.5325	9.794	<0.0001
(17q25.3)	SYNGR2	0.46094	1.37643	9.712	<0.0001
(11q13)	FOSL1	0.36663	1.28933	9.697	<0.0001
(2q37.2)	SH3BP4	1.84982	3.60454	9.564	<0.0001
(Xp22.1)	SAT	1.39986	2.63876	9.539	<0.0001
(4p16)	CTBP1	0.46968	1.38481	9.536	<0.0001
(14q31)	NRXN3	0.81206	1.75572	9.394	<0.0001
–	ALS2CR4	0.33487	1.26127	9.351	<0.0001
(10q26)	MGMT	0.46494	1.38026	9.238	<0.0001
(2p12)	POLE4	0.50419	1.41833	9.213	<0.0001
(2p13)	TGFA	0.80093	1.74222	9.193	<0.0001
