Nr.	Gene symbol	Gene ID NCBI	Gene name	Location	Function	Relative fold modification L.p.	Relative fold modification E.c.	Relative fold modification Mix
1	GPR34	2857	G protein-coupled receptor 34	Integral to plasma membrane	G-protein coupled receptor activity	2.43	3.03	-0.53
2	GTPBP4	23560	GTP binding protein 4	Nucleus	Ribosome biogenesis - small GTPase mediated signal transduction	2	2.91	-0.3
3	TFPI2	7980	Tissue factor pathway inhibitor 2	Extracellular matrix	Serine-type endopeptidase inhibitor activity	2.1	2.93	-0.27
4	CYP26A1	1592	Cytochrome P450, family 26, subfamily A, polypeptide 1	Membrane	Metal ion binding	2.31	2.39	-0.88
5	ZNF35	7584	Zinc finger protein 35 (clone HF.10)	Nucleus	Transcription factor activity	2.18	2.19	-0.66
6	RTTN	25914	Rotatin		required for left-right specification in mouse embryos	2.21	2.13	-0.58
7	FXYD3	5349	FXYD domain containing ion transport regulator 3	Membrane	Chloride channel activity	2.44	2.03	-0.15
8	CYYR1	116159	Cysteine/tyrosine-rich 1	Integral to membrane	Molecular function unknown	-2.3	-2.2	1.05
9	BFAR	512836	Bifunctional apoptosis regulator		Apoptosis regulator	-2.4	-2.17	1.06
10	C19orf4	25789	Chromosome 19 open reading frame 4	Integral to membrane	Molecular function unknown	-2.51	-2.28	0.19
11	KIAA1305	57523	KIAA1305 protein		Hypothetical protein	-2.19	-2.29	0.55
12	PCDH9	5101	Protocadherin 9	Integral to membrane	Cell adhesion	-2.18	-2.3	0.5
13	IKIP	121457	IKK interacting protein			-2.23	-2.33	0.83
14	FLJ21963	79611	FLJ21963 protein		Hypothetical protein	-2.12	-2.37	1.88
15	SCRG1	11341	Scrapie responsive protein 1	Extracellular space	Nervous system development	-2.14	-2.54	0.74
16	ULK2	9706	Unc-51-like kinase 2 (C. elegans)		Similar to a serine/threonine kinase in C. elegans	-2.46	-2.72	0.26
17	LIFR	3977	Leukemia inhibitory factor receptor	Integral to plasma membrane	Receptor activity	-2.26	-2.96	0.29
18	BMF	90427	Bcl-2 modifying factor	Sequestrated by myosin	Apoptotic activator - protein binding	1	2.95	2.4
19	CD248	57124	CD248 antigen, endosialin		Marker of stromal fibroblasts	0.74	2.31	2.1
20	PPM1E	22843	Protein phosphatase 1E (PP2C domain containing)		Phosphatase	0.76	2.33	2.06
21	CARD8	22900	Caspase recruitment domain family, member 8		Involved in NFkB pathway	-0.59	-3.26	4.07
