Gene Symbol	Gene Title	Entrez Gene ID	Chromosomal Location	Ratio PRI-BR	Ttest PRI-BR	Ratio PRI-MET	Ttest PRI-MET
ATF2	activating transcription factor 2	1386	2q32	1.17	0.61381	1.01	0.97355
CDYL	chromodomain protein, Y-like	9425	6p25.1	0.91	0.219	1.08	0.42176
CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	1387	16p13.3	1.02	0.87468	1.62	0.00032
EP300	E1A binding protein p300	2033	22q13.2	1.76	0.07646	2.51	0.0011
GCN5L2	GCN5 general control of amino-acid synthesis 5-like 2 (yeast)	2648	17q21	1.07	0.43625	1.31	0.0043
GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	9329	9q34.13	2.13	0.00284	1.07	0.78846
HAT1	histone acetyltransferase 1	8520	2q31.2-q33.1	0.96	0.59434	1.11	0.20464
HTATIP	HIV-1 Tat interacting protein, 60kDa	10524	11q13	1.34	0.24062	0.55	0.11262
MYST1	MYST histone acetyltransferase 1	84148	16p11.2	1.14	0.2609	0.94	0.58624
MYST2	MYST histone acetyltransferase 2	11143	17q21.32	1.88	0.00267	0.98	0.93729
MYST3	MYST histone acetyltransferase (monocytic leukemia) 3	7994	8p11	1	0.99121	0.75	0.12879
MYST4	MYST histone acetyltransferase (monocytic leukemia) 4	23522	10q22.2	0.84	0.33613	0.91	0.61383
NCOA1	nuclear receptor coactivator 1	8648	2p23	0.6	0.00439	1.16	0.50725
NCOA2	nuclear receptor coactivator 2	10499	8q13.3	1.08	0.79644	1.71	0.0535
PCAF	p300/CBP-associated factor	8850	3p24	1.17	0.67798	0.48	0.14472
SRCAP	Snf2-related CREBBP activator protein	10847	16p11.2	1.75	0.00851	0.54	0.04392
TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	6872	Xq13.1	0.72	0.0689	1.42	0.07899
