Gene symbol	Fold-increase I/T	Fold-increase I	Fold-increase T	Description	GenBank
AMMECR1	0.01	0.36	0.02	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1	NM_015365
ARHGEF9	0.02	0.81	0.09	Cdc42 guanine nucleotide exchange factor (GEF) 9	NM_015185
PHF17	0.02	0.3	0.01	PHD finger protein 17	NM_199320
NR4A1	0.02	0.19	0.22	Nuclear receptor subfamily 4, group A, member 1	NM_002135
CDON	0.02	0.23	0.29	Cdon homolog (mouse)	NM_016952
CNIH3	0.02	0.82	0.03	Cornichon homolog 3 (Drosophila)	NM_152495
REXO1	0.02	0.11	0.03	REX1, RNA exonuclease 1 homolog (S. cerevisiae)	NM_020695
TMEM16A	0.02	0.19	0.19	Transmembrane protein 16A	NM_018043
DLG5	0.02	0.63	0.06	Discs, large homolog 5 (Drosophila)	NM_004747
NFATc2	0.02	0.62	0.03	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	AK025758
HPS1	0.02	0.06	0.1	Hermansky.Pudlak syndrome 1	NM_000195
GOLGA1	0.03	0.19	0.21	Golgi autoantigen, golgin subfamily a, 1	AK021820
F2RL2	0.03	0.16	0.04	Coagulation factor II (thrombin) receptor-like 2	NM_004101
RAB7B	0.03	1.3	0.89	RAB7B, member RAS oncogene family	NM_177403
MAP4K5	0.03	0.07	0.85	Mitogen-activated protein kinase kinase kinase kinase 5	NM_198794
DBP	0.03	0.1	2.17	D site of albumin promoter (albumin D-box) binding protein	NM_001352
COG3	0.03	0.25	0.64	Component of oligomeric golgi complex 3	NM_031431
TTC12	0.03	0.12	0.11	Tetratricopeptide repeat domain 12	NM_017868
APPL2	0.03	2.71	0.63	Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	NM_018171
MAN1A1	0.03	0.02	1.06	Mannosidase, alpha, class 1A, member 1	NM_005907
TIA1	0.03	0.05	0.06	TIA1 cytotoxic granule-associated RNA binding protein	NM_022037
IMPACT	0.03	0.52	0.53	Impact homolog (mouse)	NM_018439
PPP2R5A	0.03	0.21	0.3	Protein phosphatase 2, regulatory subunit BÅå, alpha isoform	NM_006243
PLAC8	0.03	0.07	1.15	Placenta-specific8	NM_016619
DPP4	0.03	0.23	0.05	Dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	NM_001935
NAP1L3	0.03	0.08	0.03	Nucleosome assembly protein 1-like 3	NM_004538
DHRS9	0.03	0.81	0.18	Dehydrogenase/reductase (SDR family) member 9	NM_005771
FKBP5	0.03	0.38	0.28	FK506 binding protein 5	NM_004117
C20orf28	0.04	0.06	0.04	Chromosome 20 open reading frame 28	NM_015417
RARG	0.04	0.03	0.04	Retinoic acid receptor, gamma	NM_000966
