Column #	Probeset ID	Gene Symbol	Gene Title	RefSeq Transcript ID	p-value(MDS vs. Non-leukemia and healthy bone marrow)	stepup(p-value(MDS vs. Non-leukemia and healthy bone marrow))	Fold-Change(MDS vs. Non-leukemia and healthy bone marrow)	MDS - Mean	MDS - Median	MDS - Std	Non-leukemia and healthy bone marrow - Mean	Non-leukemia and healthy bone marrow - Median	Non-leukemia and healthy bone marrow - Std
8262	1566363_at	DNTT	deoxynucleotidyltransferase, terminal	NM_001017520 /// NM_004088	8.87E-14	2.85E-10	-3.4202	5.46016	4.9735	1.61954	7.23424	7.51079	1.79297
31259	221969_at	PAX5	paired box 5	NM_016734	2.63E-17	2.88E-13	-2.85407	5.99194	5.79393	1.16232	7.50497	7.69911	1.41634
28963	219669_at	CD177	CD177 molecule	NM_020406	8.87E-11	1.11E-07	-2.83365	7.60252	7.6356	1.6913	9.10518	9.41255	1.50272
22142	212827_at	IGHM	immunoglobulin heavy constant mu		3.81E-14	1.39E-10	-2.75104	6.62128	6.63065	1.36495	8.08125	8.2262	1.30538
17605	208168_s_at	CHIT1	chitinase 1 (chitotriosidase)	NM_003465	7.08E-13	1.38E-09	-2.73403	7.46459	7.48517	1.51037	8.91562	9.02417	1.13607
37856	228592_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	NM_021950 /// NM_152866	1.37E-08	6.13E-06	-2.59308	6.24295	6.01057	1.71975	7.61761	7.67745	1.77126
30105	220811_at	PRG3	proteoglycan 3	NM_006093	5.02E-07	9.43E-05	-2.57192	7.60104	7.67974	2.03992	8.96388	9.1205	1.68868
19892	210487_at	DNTT	deoxynucleotidyltransferase, terminal	NM_001017520 /// NM_004088	3.78E-13	8.98E-10	-2.52169	4.61643	4.1413	1.26671	5.95082	6.09438	1.3552
19411	209995_s_at	TCL1A	T-cell leukemia/lymphoma 1A	NM_001098725 /// NM_021966	1.83E-14	8.32E-11	-2.51584	5.9782	5.71668	1.06103	7.30924	6.85	1.56414
30851	221558_s_at	LEF1	lymphoid enhancer-binding factor 1	NM_001130713 /// NM_001130714 /// NM_001166119 /// NM_016269	4.06E-12	7.16E-09	-2.46204	6.58782	6.55468	1.30918	7.88767	7.89103	1.35866
15793	206337_at	CCR7	chemokine (C-C motif) receptor 7	NM_001838	3.54E-13	8.79E-10	-2.4291	6.10923	5.96359	1.18727	7.38965	7.58485	1.36588
54338	39318_at	TCL1A	T-cell leukemia/lymphoma 1A	NM_001098725 /// NM_021966	3.49E-14	1.39E-10	-2.41725	5.44217	5.1165	0.992275	6.71553	6.05016	1.57921
40247	230983_at	FAM129C	family with sequence similarity 129, member C	NM_001098524 /// NM_173544	6.91E-19	1.26E-14	-2.31062	4.91767	4.78924	0.855283	6.12595	6.14773	1.12342
22083	212768_s_at	OLFM4	olfactomedin 4	NM_006418	1.24E-06	0.000191096	-2.29501	9.02313	9.43912	1.85516	10.2216	10.6542	1.56537
29362	220068_at	VPREB3	pre-B lymphocyte 3	NM_013378	7.10E-18	9.71E-14	-2.27115	5.28618	5.07621	0.86753	6.4696	6.37382	1.1378
46055	236796_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	NM_001170794 /// NM_021813	4.68E-11	6.56E-08	-2.22074	4.53893	4.22248	1.06557	5.68997	5.06173	1.63157
14498	205041_s_at	ORM1 /// ORM2	orosomucoid 1 /// orosomucoid 2	NM_000607 /// NM_000608	1.24E-06	0.000191096	-2.21318	8.51491	8.93747	1.83863	9.66104	9.94531	1.25917
19764	210356_x_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	NM_021950 /// NM_152866	4.13E-09	2.34E-06	-2.20992	5.18334	4.88376	1.33418	6.32733	6.09975	1.53652
30527	221234_s_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	NM_001170794 /// NM_021813	1.11E-16	1.01E-12	-2.19516	3.65694	3.41306	0.859105	4.79127	4.70212	1.15759
26713	217418_x_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	NM_021950 /// NM_152866	3.26E-09	1.92E-06	-2.14803	5.26968	4.95622	1.26846	6.3727	6.06482	1.49254
53039	243780_at				7.64E-13	1.44E-09	-2.14658	5.35936	5.25141	1.08625	6.4614	6.591	1.06782
