Probe Set ID	p-value	Gene Symbol
AFFX-HUMGAPDH/M33197_M_at	0.006312632	GAPDH
200006_at	0.006513372	PARK7
200020_at	0.000883849	TARDBP
200031_s_at	0.004873197	RPS11
200048_s_at	0.00017425	JTB
200052_s_at	0.008533414	ILF2
200054_at	0.00283445	ZNF259
200067_x_at	0.005719127	SNX3
200071_at	0.001459856	SMNDC1
266_s_at	0.004507811	CD24
34689_at	0.002476556	ATRIP /// TREX1
34868_at	0.001327695	SMG5
35148_at	0.008466505	TJP3
35436_at	0.009622476	GOLGA2
36129_at	0.003910111	SGSM2
41386_i_at	0.001626599	JMJD3
41387_r_at	0.004909215	JMJD3
44617_at	0.009434599	OGFOD2
48117_at	0.002053272	CCDC101
52159_at	0.004655231	HEMK1
52169_at	0.000283405	LYK5
55616_at	0.009700215	PERLD1
49049_at	0.006326139	DTX3
62987_r_at	0.008869476	CACNG4
65635_at	0.001612934	FLJ21865
200593_s_at	0.004433901	HNRNPU
200594_x_at	0.00449991	HNRNPU
200595_s_at	0.001123526	EIF3A
200596_s_at	0.002857116	EIF3A
200599_s_at	0.007450511	HSP90B1
200608_s_at	0.002492515	RAD21
200636_s_at	0.00889891	PTPRF
200638_s_at	0.001793991	YWHAZ
200639_s_at	0.001963398	YWHAZ
200640_at	0.003761567	YWHAZ
200680_x_at	0.008474386	HMGB1
200681_at	0.005705864	GLO1
200703_at	0.009187182	DYNLL1
200709_at	0.001963313	FKBP1A
200717_x_at	0.0089126	RPL7
200726_at	0.00606402	PPP1CC
200728_at	0.000330518	ACTR2
200729_s_at	0.003756802	ACTR2
200746_s_at	0.002409128	GNB1
200757_s_at	0.005643314	CALU
200775_s_at	0.009601286	HNRNPK
200822_x_at	0.009622456	TPI1
200840_at	0.005967618	KARS
200846_s_at	0.005495322	PPP1CA
200863_s_at	0.006170472	RAB11A
200870_at	0.000301925	STRAP
200873_s_at	0.007056777	CCT8
200886_s_at	0.009549147	PGAM1
200889_s_at	0.000568197	SSR1
200890_s_at	0.003054796	SSR1
200892_s_at	0.005370682	SFRS10
200901_s_at	0.005346759	M6PR
200902_at	0.008748153	40071
200929_at	0.004243738	TMED10
200934_at	0.001170595	DEK
200940_s_at	0.008673784	RERE
200943_at	0.001396594	HMGN1
200944_s_at	0.001822345	HMGN1
200948_at	0.002089573	MLF2
200961_at	0.005246986	SEPHS2
200970_s_at	0.006066088	SERP1
200996_at	0.001465585	ACTR3
201027_s_at	0.006938616	EIF5B
201039_s_at	0.007933837	RAD23A
201047_x_at	0.001660744	RAB6A
201049_s_at	0.003243885	LOC100130553 /// RPS18
201064_s_at	0.005518486	PABPC4
201073_s_at	0.000824132	SMARCC1
201074_at	0.00370352	SMARCC1
201098_at	0.009502733	COPB2
201111_at	0.001775221	CSE1L
201112_s_at	0.003514853	CSE1L
201114_x_at	0.00226484	PSMA7
201125_s_at	0.006116125	ITGB5
201135_at	0.005054472	ECHS1
201176_s_at	0.005198235	ARCN1
201177_s_at	0.002214298	UBA2
201180_s_at	0.002418123	GNAI3
201202_at	0.000414567	PCNA
201218_at	0.00128374	CTBP2
201263_at	0.006157875	TARS
201273_s_at	0.008079539	hCG_1781062 /// SRP9
201290_at	0.005130887	SEC11A
201317_s_at	0.009177438	PSMA2
201327_s_at	0.000205194	CCT6A
201433_s_at	0.004176389	PTDSS1
201453_x_at	0.000967665	RHEB
201486_at	0.007913586	RCN2
201516_at	0.007365954	SRM
201517_at	0.006889619	NCBP2
201555_at	0.007205493	MCM3
201557_at	0.00342693	VAMP2
201573_s_at	0.009785356	ETF1
201595_s_at	0.003044253	ZC3H15
201599_at	0.001734621	OAT
201600_at	0.006677744	PHB2
201611_s_at	0.000716135	ICMT
201619_at	0.001394073	PRDX3
201652_at	0.007566317	COPS5
201662_s_at	0.00146238	ACSL3
201688_s_at	0.002356826	TPD52
201689_s_at	0.00475067	TPD52
201690_s_at	0.000328932	TPD52
201697_s_at	0.009466988	DNMT1
201717_at	0.009364852	MRPL49
201724_s_at	0.00310924	GALNT1
201746_at	0.005320327	TP53
201748_s_at	0.002141135	SAFB
201761_at	0.006354387	MTHFD2
201772_at	0.001022809	AZIN1
201773_at	0.008515419	ADNP
201817_at	0.008450119	UBE3C
201849_at	0.00778437	BNIP3
201870_at	0.006826844	TOMM34
201894_s_at	0.001045501	SSR1
201897_s_at	0.003982438	CKS1B
201912_s_at	0.001427754	GSPT1
201947_s_at	0.006779386	CCT2
201955_at	0.002112314	CCNC
201973_s_at	0.003785767	C7orf28A /// C7orf28B /// LOC100133775
202002_at	0.007331584	ACAA2
202003_s_at	0.00135866	ACAA2
202016_at	0.003691282	MEST
202026_at	0.009536553	SDHD
202066_at	0.000849054	PPFIA1
202077_at	0.003164156	NDUFAB1
202088_at	0.004141763	SLC39A6
202089_s_at	0.006554137	SLC39A6
202107_s_at	0.004665377	MCM2
202108_at	0.006878042	PEPD
202119_s_at	0.009083048	CPNE3
202169_s_at	0.001844514	AASDHPPT
202200_s_at	0.002591746	SRPK1
202228_s_at	0.002751742	NPTN
202243_s_at	0.005412281	PSMB4
202244_at	0.004127316	PSMB4
202246_s_at	0.0064692	CDK4
202248_at	0.00687384	E2F4
202252_at	0.003137691	RAB13
202266_at	0.001496977	TTRAP
202268_s_at	0.009118527	NAE1
202284_s_at	0.008485448	CDKN1A
202340_x_at	0.001851424	NR4A1
202413_s_at	0.000706437	USP1
202420_s_at	0.003971234	DHX9
202469_s_at	0.001277361	CPSF6
202475_at	0.001085235	TMEM147
202482_x_at	0.00476708	LOC389842 /// RANBP1
202487_s_at	0.006875356	H2AFV
202500_at	0.001802315	DNAJB2
202509_s_at	0.007831452	TNFAIP2
202520_s_at	0.007500885	MLH1
202522_at	0.00210638	PITPNB
202525_at	0.007524726	PRSS8
202570_s_at	0.008531227	DLGAP4
202579_x_at	4.46533E-05	HMGN4
202582_s_at	0.007830142	RANBP9
202632_at	0.006702756	DPH1 /// OVCA2
202635_s_at	0.002197068	POLR2K
202647_s_at	0.003775517	NRAS
202667_s_at	0.00650155	SLC39A7
202670_at	0.003352176	MAP2K1
202673_at	0.006060733	DPM1
202689_at	0.008084131	RBM15B
202696_at	0.001905527	OXSR1
202697_at	0.008166202	NUDT21
202700_s_at	0.002264962	TMEM63A
202722_s_at	0.009243967	GFPT1
202737_s_at	0.009247184	LSM4
202745_at	0.009785133	USP8
202811_at	0.002984663	STAMBP
202824_s_at	0.002037779	TCEB1
202842_s_at	0.003226311	DNAJB9
202938_x_at	0.001680647	CTA-126B4.3 /// dJ222E13.2
202939_at	0.003467061	ZMPSTE24
202963_at	0.009158953	RFX5
202971_s_at	0.003517808	DYRK2
203007_x_at	0.000160667	LYPLA1
203045_at	0.004126259	NINJ1
203075_at	0.009497965	SMAD2
203076_s_at	0.008549701	SMAD2
203105_s_at	0.005581285	DNM1L
203110_at	0.006200407	PTK2B
203151_at	0.004987887	MAP1A
203211_s_at	0.002658148	MTMR2
203237_s_at	0.005025076	NOTCH3
203267_s_at	0.008867008	DRG2
203268_s_at	0.001110814	DRG2
203319_s_at	0.009521433	ZNF148
203327_at	0.006956414	IDE
203403_s_at	0.002995754	RNF6
203409_at	0.002085304	DDB2
203492_x_at	0.004552313	CEP57
203494_s_at	0.00066278	CEP57
203516_at	0.008917161	SNTA1
203519_s_at	0.0092422	UPF2
203583_at	0.008526146	UNC50
203584_at	0.006842252	TTC35
203591_s_at	0.000260051	CSF3R
203594_at	0.007942516	RTCD1
203632_s_at	0.009060792	GPRC5B
203638_s_at	0.003818942	FGFR2
203652_at	0.004246454	MAP3K11
203750_s_at	0.001538174	RARA
203815_at	0.005742631	GSTT1
203842_s_at	0.0062691	MAPRE3
203853_s_at	0.003205333	GAB2
203905_at	0.001395442	PARN
203910_at	0.001152096	ARHGAP29
203917_at	0.001800963	CXADR
203979_at	0.001900708	CYP27A1
203983_at	0.004049747	TSNAX
203987_at	0.006048764	FZD6
203996_s_at	0.005653598	C21orf2
204009_s_at	0.00192872	KRAS
204018_x_at	0.005751125	HBA1 /// HBA2
204031_s_at	0.003176251	PCBP2
204033_at	0.001703586	TRIP13
204127_at	0.001130954	RFC3
204142_at	0.001676119	ENOSF1
204206_at	0.005200664	MNT
204213_at	0.004420764	PIGR
204403_x_at	0.005808833	FAM115A
204483_at	0.00484981	ENO3
204650_s_at	0.001495437	APBB3
204675_at	0.004143489	SRD5A1
204716_at	0.00611703	CCDC6
204746_s_at	0.004837989	PICK1
204832_s_at	0.004291608	BMPR1A
204842_x_at	0.006370779	PRKAR2A
204892_x_at	0.004314598	EEF1A1
