gene_assignment	Gene Symbol	RefSeq	p-value(dose)	p-value(Scan Date)	alt-splicing(dose)	step-up(altsplice-dose)	Mean(0)	LSMean(0)	Mean(10)	LSMean(10)	p-value(0 vs. 10)	Ratio(0 vs. 10)	Fold-Change(0 vs. 10)	Fold-Change(0 vs. 10) (Description)
NM_001813 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST0	CENPE	NM_001813	4.32E-05	0.0711943	5.86E-23	1.01E-18	6.66118	6.7235	4.92047	4.94809	4.81E-05	3.42335	3.42335	0 up vs 10
NM_001032290 // PSRC1 // proline/serine-rich coiled-coil 1 // 1p13.3 // 84722 //	PSRC1	NM_001032290	0.00198409	0.590834	1.77E-20	1.53E-16	6.76072	6.77454	6.01091	6.00521	0.00211597	1.70448	1.70448	0 up vs 10
NM_152718 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 22000	VWCE	NM_152718	0.000502034	0.0802145	3.35E-18	1.93E-14	7.39568	7.3976	8.74568	8.71177	0.000712517	0.402155	-2.4866	0 down vs 10
NM_031459 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// ENST00000253063 // SESN2	SESN2	NM_031459	0.00071203	0.307362	7.23E-17	3.12E-13	8.30215	8.29502	9.45074	9.43548	0.000906217	0.453614	-2.20452	0 down vs 10
NM_031966 // CCNB1 // cyclin B1 // 5q12 // 891 /// ENST00000256442 // CCNB1 // c	CCNB1	NM_031966	1.04E-06	0.173699	8.71E-14	3.00E-10	11.1691	11.152	9.59967	9.55657	1.18E-06	3.02188	3.02188	0 up vs 10
NM_014454 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000302071 // SESN1 //	SESN1	NM_014454	0.00160781	0.843543	2.54E-13	7.30E-10	6.73484	6.75547	8.23651	8.26312	0.00191609	0.351684	-2.84346	0 down vs 10
NM_005030 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// ENST	PLK1	NM_005030	3.98E-06	0.0837116	2.97E-13	7.32E-10	10.3268	10.3115	8.12204	8.08627	4.73E-06	4.67578	4.67578	0 up vs 10
BC035696 // FAM72A // family with sequence similarity 72, member A // 1q32.1 //	FAM72A	BC035696	9.93E-06	0.0184978	3.90E-13	8.41E-10	8.73602	8.73047	7.1774	7.16863	1.23E-05	2.9523	2.9523	0 up vs 10
NM_001809 // CENPA // centromere protein A // 2p24-p21 // 1058 /// NM_001042426	CENPA	NM_001809	0.000044687	0.0920091	2.62E-11	5.02E-08	9.6761	9.65408	8.37326	8.37974	6.32E-05	2.41888	2.41888	0 up vs 10
NM_002298 // LCP1 // lymphocyte cytosolic protein 1 (L-plastin) // 13q14.3 // 39	LCP1	NM_002298	0.315322	0.970438	3.23E-10	5.57E-07	12.3652	12.3597	12.4365	12.4338	0.315296	0.949948	-1.05269	0 down vs 10
NM_152562 // CDCA2 // cell division cycle associated 2 // 8p21.2 // 157313 /// E	CDCA2	NM_152562	0.000164165	0.203092	6.78E-10	1.06E-06	8.22747	8.24303	7.19056	7.19095	0.000187596	2.07353	2.07353	0 up vs 10
NM_019099 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924	C1orf183	NM_019099	4.37E-05	0.0417612	1.13E-09	1.62E-06	6.18035	6.14758	7.38491	7.36063	5.23E-05	0.431356	-2.31827	0 down vs 10
NM_172217 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26	IL16	NM_172217	0.021724	0.0206106	1.53E-09	2.03E-06	7.81049	7.84611	7.60719	7.6328	0.0209135	1.15935	1.15935	0 up vs 10
NM_016426 // GTSE1 // G-2 and S-phase expressed 1 // 22q13.2-q13.3 // 51512 ///	GTSE1	NM_016426	0.000108447	0.369507	3.72E-09	4.58E-06	8.75815	8.74535	7.90361	7.89308	0.000136649	1.80534	1.80534	0 up vs 10
NM_006335 // TIMM17A // translocase of inner mitochondrial membrane 17 homolog A	TIMM17A	NM_006335	0.132128	0.00378444	1.10E-08	1.26E-05	10.6581	10.6356	10.5294	10.5209	0.185367	1.0828	1.0828	0 up vs 10
NM_004628 // XPC // xeroderma pigmentosum, complementation group C // 3p25 // 75	XPC	NM_004628	9.24E-06	0.0326307	5.00E-08	5.39E-05	7.7879	7.78788	8.82808	8.8438	0.000010599	0.480992	-2.07904	0 down vs 10
NM_170600 // SH2D3C // SH2 domain containing 3C // 9q34.11 // 10044 /// NM_00548	SH2D3C	NM_170600	0.0037764	0.239663	1.94E-07	0.000196819	8.16341	8.16746	7.70562	7.72217	0.00517519	1.36158	1.36158	0 up vs 10
NM_024417 // FDXR // ferredoxin reductase // 17q24-q25 // 2232 /// NM_004110 //	FDXR	NM_024417	0.00261962	0.36193	2.73E-07	0.000247207	9.49083	9.44968	10.3251	10.3205	0.00256229	0.546831	-1.82872	0 down vs 10
NM_138555 // KIF23 // kinesin family member 23 // 15q23 // 9493 /// NM_004856 //	KIF23	NM_138555	0.00038928	0.448715	2.76E-07	0.000247207	9.14172	9.13935	8.01533	7.99767	0.000445836	2.20639	2.20639	0 up vs 10
NM_173462 // PAPLN // papilin, proteoglycan-like sulfated glycoprotein // 14q24.	PAPLN	NM_173462	0.0088705	0.151011	3.01E-07	0.000247207	6.78142	6.74499	7.46747	7.42407	0.0109878	0.624566	-1.60111	0 down vs 10
NM_014875 // KIF14 // kinesin family member 14 // 1q32.1 // 9928 /// ENST0000036	KIF14	NM_014875	0.000300206	0.339081	3.01E-07	0.000247207	7.56138	7.57825	6.13565	6.16245	0.000384888	2.66808	2.66808	0 up vs 10
NM_198433 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// NM_003600 //	AURKA	NM_198433	4.15E-05	0.224664	3.41E-07	0.000267329	8.72306	8.6876	7.05294	7.02423	5.29E-05	3.16755	3.16755	0 up vs 10
NM_181802 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 ///	UBE2C	NM_181802	8.36E-05	0.0584333	3.93E-07	0.000291762	9.17319	9.16919	8.5467	8.54443	0.000105515	1.54196	1.54196	0 up vs 10
NM_006622 // PLK2 // polo-like kinase 2 (Drosophila) // 5q12.1-q13.2 // 10769 //	PLK2	NM_006622	0.0168261	0.560982	4.06E-07	0.000291762	5.65059	5.73154	7.73168	7.86856	0.0176682	0.227349	-4.39852	0 down vs 10
NM_012396 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q	PHLDA3	NM_012396	0.000626117	0.602587	4.23E-07	0.000291819	7.57862	7.54149	9.10915	9.14816	0.000593278	0.328355	-3.04548	0 down vs 10
NM_003105 // SORL1 // sortilin-related receptor, L(DLR class) A repeats-containi	SORL1	NM_003105	0.998912	0.0568489	4.87E-07	0.00032305	10.2606	10.2751	10.2605	10.2687	0.956134	1.00446	1.00446	0 up vs 10
NM_012112 // TPX2 // TPX2, microtubule-associated, homolog (Xenopus laevis) // 2	TPX2	NM_012112	4.15E-05	0.405675	6.45E-07	0.000412012	10.048	10.0586	9.13697	9.14326	5.03E-05	1.88606	1.88606	0 up vs 10
NM_030919 // FAM83D // family with sequence similarity 83, member D // 20q11.22-	FAM83D	NM_030919	0.000848706	0.011536	7.94E-07	0.000489076	8.58858	8.57012	8.05049	8.03679	0.00108833	1.44726	1.44726	0 up vs 10
NM_001127240 // BBC3 // BCL2 binding component 3 // 19q13.3-q13.4 // 27113 /// N	BBC3	NM_001127240	0.00137502	0.323201	1.05E-06	0.00062446	7.56088	7.54037	8.22301	8.20803	0.00160522	0.629524	-1.5885	0 down vs 10
NM_002497 // NEK2 // NIMA (never in mitosis gene a)-related kinase 2 // 1q32.2-q	NEK2	NM_002497	5.61E-07	0.193347	1.12E-06	0.000643888	8.81113	8.80624	7.80183	7.80229	7.28E-07	2.00549	2.00549	0 up vs 10
NM_001040694 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-	INCENP	NM_001040694	8.10E-08	0.0554442	1.22E-06	0.000678753	8.50179	8.50901	8.00683	8.01116	9.84E-08	1.4121	1.4121	0 up vs 10
NM_152524 // SGOL2 // shugoshin-like 2 (S. pombe) // 2q33.1 // 151246 /// ENST00	SGOL2	NM_152524	4.54E-06	0.0789942	1.34E-06	0.000722218	7.42927	7.45418	6.30885	6.32526	5.44E-06	2.18696	2.18696	0 up vs 10
NM_004186 // SEMA3F // sema domain, immunoglobulin domain (Ig), short basic doma	SEMA3F	NM_004186	0.3249	0.134294	1.49E-06	0.00076597	6.54284	6.54697	6.66193	6.64983	0.407245	0.931188	-1.0739	0 down vs 10
NM_015149 // RGL1 // ral guanine nucleotide dissociation stimulator-like 1 // 1q	RGL1	NM_015149	0.552967	0.0895853	1.51E-06	0.00076597	8.85125	8.84955	8.96702	8.94586	0.632907	0.935419	-1.06904	0 down vs 10
NM_198186 // ASTN2 // astrotactin 2 // 9q33.1 // 23245 /// NM_198187 // ASTN2 //	ASTN2	NM_198186	0.00398091	0.395333	1.84E-06	0.000876334	6.21581	6.18811	6.71454	6.71983	0.00351858	0.691732	-1.44565	0 down vs 10
NM_018685 // ANLN // anillin, actin binding protein // 7p15-p14 // 54443 /// ENS	ANLN	NM_018685	0.000900423	0.257167	1.88E-06	0.000876334	8.25153	8.27665	7.03347	7.03953	0.00101574	2.35727	2.35727	0 up vs 10
NM_080549 // PTPN6 // protein tyrosine phosphatase, non-receptor type 6 // 12p13	PTPN6	NM_080549	0.00384747	0.0248134	1.88E-06	0.000876334	10.6185	10.6109	10.3018	10.3093	0.00582284	1.23247	1.23247	0 up vs 10
NM_014450 // SIT1 // signaling threshold regulating transmembrane adaptor 1 // 9	SIT1	NM_014450	0.00155162	0.0046612	1.95E-06	0.000880039	8.27527	8.26689	7.72335	7.75221	0.00267757	1.42868	1.42868	0 up vs 10
NM_001109763 // GSG1L // GSG1-like // 16p11.2 // 146395 /// NM_144675 // GSG1L /	GSG1L	NM_001109763	0.3897	0.243162	1.99E-06	0.000880039	7.12462	7.11604	7.28169	7.24986	0.476068	0.911412	-1.0972	0 down vs 10
NM_022082 // C20orf59 // chromosome 20 open reading frame 59 // 20q13.33 // 6391	C20orf59	NM_022082	0.255401	0.423945	2.54E-06	0.001095184	8.7816	8.7512	8.64742	8.61779	0.274354	1.09688	1.09688	0 up vs 10
NM_014344 // FJX1 // four jointed box 1 (Drosophila) // 11p13 // 24147 /// BC049	FJX1	NM_014344	0.330855	0.453394	3.04E-06	0.001278802	8.5971	8.56257	8.40422	8.37897	0.37	1.13572	1.13572	0 up vs 10
NM_201555 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// NM_00	FHL2	NM_201555	0.000523977	0.016029	3.45E-06	0.001416718	7.83026	7.88204	8.5782	8.60393	0.000777691	0.606299	-1.64935	0 down vs 10
NM_002669 // PLRG1 // pleiotropic regulator 1 (PRL1 homolog, Arabidopsis) // 4q3	PLRG1	NM_002669	0.279881	0.296629	4.15E-06	0.001664536	10.7904	10.7948	10.899	10.8968	0.324232	0.931701	-1.07331	0 down vs 10
NM_022754 // SFXN1 // sideroflexin 1 // --- // 94081 /// ENST00000321442 // SFXN	SFXN1	NM_022754	0.0538879	0.170471	6.30E-06	0.002469457	10.2308	10.2257	10.0585	10.0642	0.0743476	1.11847	1.11847	0 up vs 10
