Curated Gene Symbol	InsermSymbole	Symbole	Nom	RefSeq
MYLPF	HUMMLC2B_______-1A-1a	HUMMLC2B	(clone PWHLC2-24) myosin light chain 2	NM_013292
	LOC51142_______-1A-1a	LOC51142	16.7Kd protein	NM_016139
AGPAT1	AGPAT1_________-1A-1a	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	NM_006411
BPGM	BPGM___________-1A-1a	BPGM	2,3-bisphosphoglycerate mutase	NM_001724
DECR1	DECR1__________-1A-1a	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	NM_001359
OAS3	OAS3___________-1A-1a	OAS3	2-5-oligoadenylate synthetase 3, 100kDa	NM_006187
OASL	OASL___________-1A-1a	OASL	2-5-oligoadenylate synthetase-like	NM_003733
	LOC55831_______-1A-1a	LOC55831	30 kDa protein	NM_018447
HMGCR	HMGCR__________-1A-1a	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	NM_000859
HIBCH	HIBCH__________-1A-1a	HIBCH	3-hydroxyisobutyryl-Coenzyme A hydrolase	NM_014362
PAPSS1	PAPSS1_________-1A-1a	PAPSS1	3-phosphoadenosine 5-phosphosulfate synthase 1	NM_005443
PAPSS2	PAPSS2_________-1A-1a	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2	NM_004670
PDPK1	PDPK1__________-1A-1a	PDPK1	3-phosphoinositide dependent protein kinase-1	NM_002613
ABAT	ABAT___________-1A-1a	ABAT	4-aminobutyrate aminotransferase	NM_000663
HPD	HPD____________-1A-1a	HPD	4-hydroxyphenylpyruvate dioxygenase	NM_002150
HTR1D	HTR1D__________-1A-1a	HTR1D	5-hydroxytryptamine (serotonin) receptor 1D	NM_000864
HTR2A	HTR2A__________-1A-1a	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A	NM_000621
HTR2B	HTR2B__________-1A-1a	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B	NM_000867
HTR4	HTR4___________-1A-1a	HTR4	5-hydroxytryptamine (serotonin) receptor 4	NM_000870
MTR	MTR____________-1A-1a	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	NM_000254
NT5E	NT5E___________-1A-1a	NT5E	5-nucleotidase, ecto (CD73)	NM_002526
PFKFB2	PFKFB2_________-1A-1a	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	NM_006212
PFKFB3	PFKFB3_________-1A-1a	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	NM_004566
PTS	PTS____________-1A-1a	PTS	6-pyruvoyltetrahydropterin synthase	NM_000317
ADAM15	ADAM15_________-1A-1a	ADAM15	a disintegrin and metalloproteinase domain 15 (metargidin)	NM_003815
ADAM17	ADAM17_________-1A-1a	ADAM17	a disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme)	NM_003183
ADAM21	ADAM21_________-1A-1a	ADAM21	a disintegrin and metalloproteinase domain 21	NM_003813
ADAMTS1	ADAMTS1________-1A-1a	ADAMTS1	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	NM_006988
ADAMTS10	ADAMTS10_______-1A-1a	ADAMTS10	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 10	NM_030957
ADAMTS12	ADAMTS12_______-1A-1a	ADAMTS12	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 12	NM_030955
ADAMTS13	ADAMTS13_______-1A-1a	ADAMTS13	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 13	NM_139025
ADAMTS2	ADAMTS2________-1A-1a	ADAMTS2	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2	NM_014244
ADAMTS4	ADAMTS4________-1A-1a	ADAMTS4	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4	NM_005099
ADAMTS5	ADAMTS5________-1A-1a	ADAMTS5	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	NM_007038
ADAMTS6	ADAMTS6________-1A-1a	ADAMTS6	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 6	NM_014273
ADAMTS7	ADAMTS7________-1A-1a	ADAMTS7	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 7	NM_014272
ADAMTS8	ADAMTS8________-1A-1a	ADAMTS8	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 8	NM_007037
ADAMTS9	ADAMTS9________-1A-1a	ADAMTS9	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9	NM_020249
AKAP12	AKAP12_________-1A-1a	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	NM_005100
AKAP1	AKAP1__________-1A-1a	AKAP1	A kinase (PRKA) anchor protein 1	NM_003488
AKAP2	AKAP2__________-1A-1a	AKAP2	A kinase (PRKA) anchor protein 2	NM_007203
AKAP6	AKAP6__________-1A-1a	AKAP6	A kinase (PRKA) anchor protein 6	NM_004274
AKAP8	AKAP8__________-1A-1a	AKAP8	A kinase (PRKA) anchor protein 8	NM_005858
BCAP31	BCAP31_________-1A-1a	BCAP31	accessory protein BAP31	NM_005745
ACAT1	ACAT1__________-1A-1a	ACAT1	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	NM_000019
ACAA1	ACAA1__________-1A-1a	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	NM_001607
ACAA2	ACAA2__________-1A-1a	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	NM_006111
ASCL2	ASCL2__________-1A-1a	ASCL2	achaete-scute complex-like 2 (Drosophila)	NM_005170
SPG21	ACP33__________-1A-1a	ACP33	acid cluster protein 33	NM_016630
ACPT	ACPT___________-1A-1a	ACPT	acid phosphatase, testicular	NM_033068
ANP32A	ANP32A_________-1A-1a	ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	NM_006305
ACO2	ACO2___________-1A-1a	ACO2	aconitase 2, mitochondrial	NM_001098
ARPC1B	ARPC1B_________-1A-1a	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	NM_005720
ARPC3P1	ARPC3B_________-1A-1a	ARPC3B	actin related protein 2/3 complex, subunit 3B, 21kDa	NG_002363
ARPC5	ARPC5__________-1A-1a	ARPC5	actin related protein 2/3 complex, subunit 5, 16kDa	NM_005717
ACTC1	ACTC___________-1A-1a	ACTC	actin, alpha, cardiac muscle	NM_005159
ACTG1	ACTG1__________-1A-1a	ACTG1	actin, gamma 1	NM_001614
ACTN1	ACTN1__________-1A-1a	ACTN1	actinin, alpha 1	NM_001102
ACTN2	ACTN2__________-1A-1a	ACTN2	actinin, alpha 2	NM_001103
ACTN3	ACTN3__________-1A-1a	ACTN3	actinin, alpha 3	NM_001104
ACTL7A	ACTL7A_________-1A-1a	ACTL7A	actin-like 7A	NM_006687
	ARP3BETA_______-1A-1a	ARP3BETA	actin-related protein 3-beta	NM_020445
ALCAM	ALCAM__________-1A-1a	ALCAM	activated leukocyte cell adhesion molecule	NM_001627
ABT1	ABT1___________-1A-1a	ABT1	activator of basal transcription 1	NM_013375
ACVR1	ACVR1__________-1A-1a	ACVR1	activin A receptor, type I	NM_001105
ACVR2A	ACVR2__________-1A-1a	ACVR2	activin A receptor, type II	NM_001616
ACAD8	ACAD8__________-1A-1a	ACAD8	acyl-Coenzyme A dehydrogenase family, member 8	NM_014384
ACADM	ACADM__________-1A-1a	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	NM_000016
ACADL	ACADL__________-1A-1a	ACADL	acyl-Coenzyme A dehydrogenase, long chain	NM_001608
ACADVL	ACADVL_________-1A-1a	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	NM_000018
APPL1	APPL___________-1A-1a	APPL	adaptor protein containing pH domain, PTB domain and leucine zipper motif	NM_012096
AP1S1	AP1S1__________-1A-1a	AP1S1	adaptor-related protein complex 1, sigma 1 subunit	NM_001283
AP2M1	AP2M1__________-1A-1a	AP2M1	adaptor-related protein complex 2, mu 1 subunit	NM_004068
AP4E1	AP4E1__________-1A-1a	AP4E1	adaptor-related protein complex 4, epsilon 1 subunit	NM_007347
APRT	APRT___________-1A-1a	APRT	adenine phosphoribosyltransferase	NM_000485
APC	APC____________-1A-1a	APC	adenomatosis polyposis coli	NM_000038
ADORA1	ADORA1_________-1A-1a	ADORA1	adenosine A1 receptor	NM_000674
ADORA2A	ADORA2A________-1A-1a	ADORA2A	adenosine A2a receptor	NM_000675
ADORA2B	ADORA2B________-1A-1a	ADORA2B	adenosine A2b receptor	NM_000676
ADORA3	ADORA3_________-1A-1a	ADORA3	adenosine A3 receptor	NM_000677
ADAT1	ADAT1__________-1A-1a	ADAT1	adenosine deaminase, tRNA-specific 1	NM_012091
AMPD3	AMPD3__________-1A-1a	AMPD3	adenosine monophosphate deaminase (isoform E)	NM_000480
AMPD1	AMPD1__________-1A-1a	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	NM_000036
ZMYND11	BS69___________-1A-1a	BS69	adenovirus 5 E1A binding protein	NM_006624
ADCY3	ADCY3__________-1A-1a	ADCY3	adenylate cyclase 3	NM_004036
ADCY6	ADCY6__________-1A-1a	ADCY6	adenylate cyclase 6	NM_015270
ADCY7	ADCY7__________-1A-1a	ADCY7	adenylate cyclase 7	NM_001114
ADCY9	ADCY9__________-1A-1a	ADCY9	adenylate cyclase 9	NM_001116
ADCYAP1	ADCYAP1________-1A-1a	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	NM_001117
AK1	AK1____________-1A-1a	AK1	adenylate kinase 1	NM_000476
ADSL	ADSL___________-1A-1a	ADSL	adenylosuccinate lyase	NM_000026
CD226	DNAM-1_________-1A-1a	DNAM-1	adhesion glycoprotein	NM_006566
ADRM1	ADRM1__________-1A-1a	ADRM1	adhesion regulating molecule 1	NM_007002
PLIN2	ADFP___________-1A-1a	ADFP	adipose differentiation-related protein	NM_001122
	APM1___________-1A-1a	APM1	adipose most abundant gene transcript 1	NM_004797
C10orf116	APM2___________-1A-1a	APM2	adipose specific 2	NM_006829
ARL6IP4	ARL6IP4________-1A-1a	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	NM_016638
