# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_133406|NM_133406	mgi_symbol|Agpat4|Agpat4
refseq_dna|XM_217233|XM_217233	mgi_symbol|Xrn1|Xrn1
refseq_dna|NM_001007144|NM_001007144	mgi_symbol|Adfp|Adfp
refseq_dna|XM_225866|XM_225866	mgi_symbol|Afg3l2|Afg3l2
entrezgene|CB545830|688800	mgi_symbol|Aldh3b2|Aldh3b2
refseq_dna|NM_053957|NM_053957	mgi_symbol|Apbb3|Apbb3
refseq_dna|NM_001009676|NM_001009676	mgi_symbol|Anks3|Anks3
refseq_dna|XM_235566|XM_235566	mgi_symbol|Arsa|Arsa
embl|CB545338|CB545338	mgi_symbol|Atp5c1|Atp5c1
refseq_dna|NM_198134|NM_198134	mgi_symbol|Bst2|Bst2
refseq_dna|XM_217367|XM_217367	mgi_symbol|Bai3|Bai3
refseq_dna|XM_215404|XM_215404	mgi_symbol|Bxdc1|Bxdc1
refseq_dna|XM_219377|XM_219377	mgi_symbol|Brwd2|Brwd2
refseq_dna|NM_212495|NM_212495	mgi_symbol|Brd2|Brd2
refseq_dna|XM_347206|XM_347206	mgi_symbol|Btaf1|Btaf1
entrezgene|U53858|29153	mgi_symbol|Capn1|Capn1
refseq_dna|NM_031808|NM_031808	mgi_symbol|Capn6|Capn6
refseq_dna|NM_001011955|NM_001011955	mgi_symbol|Chst1|Chst1
refseq_dna|NM_031562|NM_031562	mgi_symbol|Csn3|Csn3
refseq_dna|NM_183330|NM_183330	mgi_symbol|Ctsz|Ctsz
refseq_dna|NM_053527|NM_053527	mgi_symbol|Cdc5l|Cdc5l
refseq_dna|XM_341524|XM_341524	mgi_symbol|Cdkal1|Cdkal1
refseq_dna|NM_031242|NM_031242	mgi_symbol|Cds1|Cds1
refseq_dna|NM_138899|NM_138899	mgi_symbol|Cdipt|Cdipt
entrezgene|BC088328|361617	mgi_symbol|Centd2|Centd2
refseq_dna|NM_053670|NM_053670	mgi_symbol|Crcp|Crcp
refseq_dna|NM_001017478|NM_001017478	mgi_symbol|Cxcl16|Cxcl16
refseq_dna|NM_031700|NM_031700	mgi_symbol|Cldn3|Cldn3
entrezgene|AW917690|309338	mgi_symbol|Cstf2t|Cstf2t
refseq_dna|NM_001012061|NM_001012061	mgi_symbol|Cnksr3|Cnksr3
refseq_dna|XM_222461|XM_222461	mgi_symbol|Ccdc130|Ccdc130
refseq_dna|XM_240182|XM_240182	mgi_symbol|Cpne6|Cpne6
refseq_dna|NM_001007799|NM_001007799	mgi_symbol|Cir1|Cir1
refseq_dna|XM_233467|XM_233467	mgi_symbol|Ctps|Ctps
refseq_dna|XM_347163|XM_347163	mgi_symbol|Cux1|Cux1
refseq_dna|XM_219128|XM_219128	mgi_symbol|Dchs1|Dchs1
refseq_dna|XM_219270|XM_219270	mgi_symbol|Dennd5a|Dennd5a
refseq_dna|NM_001008292|NM_001008292	mgi_symbol|Diablo|Diablo
refseq_dna|XM_342328|XM_342328	mgi_symbol|Dbt|Dbt
refseq_dna|NM_001013887|NM_001013887	mgi_symbol|Dnajc18|Dnajc18
refseq_dna|NM_019252|NM_019252	mgi_symbol|Dpm2|Dpm2
entrezgene|CB547347|170915	mgi_symbol|Ep300|Ep300
refseq_dna|XM_574892|XM_574892	mgi_symbol|E2f5|E2f5
entrezgene|BF564803|301295	mgi_symbol|Efhc1|Efhc1
refseq_dna|XM_238447|XM_238447	mgi_symbol|Emilin1|Emilin1
refseq_dna|XM_342680|XM_342680	mgi_symbol|Ezh2|Ezh2
refseq_dna|NM_001024791|NM_001024791	mgi_symbol|Epn3|Epn3
refseq_dna|NM_001008305|NM_001008305	mgi_symbol|Eif1ad|Eif1ad
refseq_dna|NM_032058|NM_032058	mgi_symbol|Eif2b2|Eif2b2
refseq_dna|XM_341353|XM_341353	mgi_symbol|Xpo7|Xpo7
refseq_dna|XM_219356|XM_219356	mgi_symbol|Fbxl19|Fbxl19
refseq_dna|XM_232197|XM_232197	mgi_symbol|Fbln2|Fbln2
refseq_dna|NM_031633|NM_031633	mgi_symbol|Foxm1|Foxm1
refseq_dna|NM_001017381|NM_001017381	mgi_symbol|Fli1|Fli1
refseq_dna|NM_001025147|NM_001025147	mgi_symbol|Gpr160|Gpr160
refseq_dna|NM_022216|NM_022216	mgi_symbol|Gpr20|Gpr20
entrezgene|AF219999|246149	mgi_symbol|Gbx1|Gbx1
refseq_dna|NM_001009292|NM_001009292	mgi_symbol|Giyd2|Giyd2
refseq_dna|NM_053765|NM_053765	mgi_symbol|Gne|Gne
refseq_dna|XM_215144|XM_215144	mgi_symbol|Ganab|Ganab
refseq_dna|NM_017015|NM_017015	mgi_symbol|Gusb|Gusb
refseq_dna|NM_017007|NM_017007	mgi_symbol|Gad1|Gad1
refseq_dna|XM_239604|XM_239604	mgi_symbol|Grid2ip|Grid2ip
refseq_dna|NM_133308|NM_133308	mgi_symbol|Grin3b|Grin3b
refseq_dna|XM_223327|XM_223327	mgi_symbol|Grsf1|Grsf1
entrezgene|U77829|81714	mgi_symbol|Gas5|Gas5
entrezgene|BC070881|58935	mgi_symbol|Gas6|Gas6
refseq_dna|XM_576399|XM_576399	mgi_symbol|H2afx|H2afx
refseq_dna|XM_574587|XM_574587	mgi_symbol|Hcca2|Hcca2
refseq_dna|XM_237808|XM_237808	mgi_symbol|Helz|Helz
refseq_dna|NM_017112|NM_017112	mgi_symbol|Hpn|Hpn
refseq_dna|NM_022686|NM_022686	mgi_symbol|Hist1h4b|Hist1h4b
refseq_dna|NM_133300|NM_133300	mgi_symbol|Bat1|Bat1
refseq_dna|NM_001024776|NM_001024776	mgi_symbol|Hipk4|Hipk4
refseq_dna|NM_031707|NM_031707	mgi_symbol|Homer1|Homer1
refseq_dna|NM_001004209|NM_001004209	mgi_symbol|Hsd17b11|Hsd17b11
refseq_dna|NM_212529|NM_212529	mgi_symbol|Hsd17b8|Hsd17b8
refseq_dna|XM_214334|XM_214334	mgi_symbol|Ints10|Ints10
refseq_dna|NM_001004263|NM_001004263	mgi_symbol|Itgb6|Itgb6
entrezgene|BF561729|313152	mgi_symbol|Ifnk|Ifnk
refseq_dna|XM_344194|XM_344194	mgi_symbol|Irf6|Irf6
refseq_dna|NM_199120|NM_199120	mgi_symbol|Ift81|Ift81
refseq_dna|XM_225196|XM_225196	mgi_symbol|Iars|Iars
refseq_dna|XM_343119|XM_343119	mgi_symbol|Jag2|Jag2
refseq_dna|NM_053483|NM_053483	mgi_symbol|Kpna2|Kpna2
refseq_dna|XM_214635|XM_214635	mgi_symbol|Katnb1|Katnb1
refseq_dna|XM_223418|XM_223418	mgi_symbol|Klhl5|Klhl5
refseq_dna|XM_217022|XM_217022	mgi_symbol|Kif21a|Kif21a
refseq_dna|NM_134472|NM_134472	mgi_symbol|Kif2c|Kif2c
refseq_dna|XM_342681|XM_342681	mgi_symbol|Krba1|Krba1
refseq_dna|NM_001008519|NM_001008519	mgi_symbol|Lrpprc|Lrpprc
refseq_dna|XM_214797|XM_214797	mgi_symbol|Leng1|Leng1
refseq_dna|XM_214898|XM_214898	mgi_symbol|Lin37|Lin37
refseq_dna|XM_340769|XM_340769	mgi_symbol|Lmf1|Lmf1
refseq_dna|XM_243524|XM_243524	mgi_symbol|Lrp1|Lrp1
refseq_dna|XM_343507|XM_343507	mgi_symbol|Lyzl4|Lyzl4
entrezgene|BG665267|301388	mgi_symbol|Mfsd6|Mfsd6
refseq_dna|NM_001012026|NM_001012026	mgi_symbol|Mdm4|Mdm4
refseq_dna|XM_220813|XM_220813	mgi_symbol|Med13|Med13
refseq_dna|NM_022673|NM_022673	mgi_symbol|Mecp2|Mecp2
entrezgene|U30938|25595	mgi_symbol|Map2|Map2
refseq_dna|NM_012811|NM_012811	mgi_symbol|Mfge8|Mfge8
entrezgene|AW142434|310653	mgi_symbol|mrpl9|mrpl9
refseq_dna|NM_001007653|NM_001007653	mgi_symbol|Mrps15|Mrps15
refseq_dna|XM_215833|XM_215833	mgi_symbol|Mrps5|Mrps5
refseq_dna|XM_220232|XM_220232	mgi_symbol|Mapk8ip3|Mapk8ip3
refseq_dna|NM_001008375|NM_001008375	mgi_symbol|Map2k1ip1|Map2k1ip1
refseq_dna|NM_001013150|NM_001013150	mgi_symbol|Map3k11|Map3k11
refseq_dna|XM_238166|XM_238166	mgi_symbol|Mphosph10|Mphosph10
refseq_dna|XM_342281|XM_342281	mgi_symbol|Muc1|Muc1
refseq_dna|XM_213684|XM_213684	mgi_symbol|Mcoln1|Mcoln1
entrezgene|CB547242|500152	mgi_symbol|Mmrn1|Mmrn1
refseq_dna|NM_181081|NM_181081	mgi_symbol|Myst2|Myst2
refseq_dna|XM_214202|XM_214202	mgi_symbol|N6amt2|N6amt2
refseq_dna|NM_053524|NM_053524	mgi_symbol|Nox4|Nox4
refseq_dna|XM_237115|XM_237115	mgi_symbol|Nck2|Nck2
refseq_dna|XM_341864|XM_341864	mgi_symbol|Nav2|Nav2
refseq_dna|NM_139259|NM_139259	mgi_symbol|Nradd|Nradd
refseq_dna|XM_216640|XM_216640	mgi_symbol|Nlrc4|Nlrc4
refseq_dna|XM_225588|XM_225588	mgi_symbol|Nsun6|Nsun6
refseq_dna|XM_213228|XM_213228	mgi_symbol|Nthl1|Nthl1
refseq_dna|NM_030867|NM_030867	mgi_symbol|Nfkbib|Nfkbib
refseq_dna|NM_001024784|NM_001024784	mgi_symbol|Nfx1|Nfx1
refseq_dna|XM_574664|XM_574664	mgi_symbol|Noc3l|Noc3l
refseq_dna|NM_053830|NM_053830	mgi_symbol|Nup107|Nup107
refseq_dna|NM_001012028|NM_001012028	mgi_symbol|Nuf2|Nuf2
refseq_dna|NM_138504|NM_138504	mgi_symbol|Osgin1|Osgin1
refseq_dna|NM_022502|NM_022502	mgi_symbol|Ppt1|Ppt1
refseq_dna|XM_226334|XM_226334	mgi_symbol|Papd5|Papd5
refseq_dna|NM_031235|NM_031235	mgi_symbol|Pard3|Pard3
refseq_dna|NM_021753|NM_021753	mgi_symbol|Pga5|Pga5
refseq_dna|NM_172243|NM_172243	mgi_symbol|Ppif|Ppif
refseq_dna|NM_001005883|NM_001005883	mgi_symbol|Pi4k2b|Pi4k2b
refseq_dna|NM_001012743|NM_001012743	mgi_symbol|Pip5k1b|Pip5k1b
refseq_dna|NM_057194|NM_057194	mgi_symbol|Plscr1|Plscr1
refseq_dna|NM_022545|NM_022545	mgi_symbol|Prpsap1|Prpsap1
refseq_dna|NM_022391|NM_022391	mgi_symbol|Pttg1|Pttg1
refseq_dna|NM_031317|NM_031317	mgi_symbol|Pdgfc|Pdgfc
refseq_dna|NM_001007000|NM_001007000	mgi_symbol|Pcgf1|Pcgf1
refseq_dna|NM_001024750|NM_001024750	mgi_symbol|Pold3|Pold3
refseq_dna|NM_001004259|NM_001004259	mgi_symbol|Pnkp|Pnkp
refseq_dna|NM_017303|NM_017303	mgi_symbol|Kcnab1|Kcnab1
refseq_dna|XM_213794|XM_213794	mgi_symbol|Pop5|Pop5
refseq_dna|NM_017284|NM_017284	mgi_symbol|Psmb2|Psmb2
refseq_dna|XM_213700|XM_213700	mgi_symbol|Pomp|Pomp
refseq_dna|XM_218820|XM_218820	mgi_symbol|Prc1|Prc1
refseq_dna|XM_341347|XM_341347	mgi_symbol|R3hcc1|R3hcc1
refseq_dna|XM_227404|XM_227404	mgi_symbol|Rab25|Rab25
refseq_dna|XM_222773|XM_222773	mgi_symbol|Ralgps2|Ralgps2
refseq_dna|XM_214954|XM_214954	mgi_symbol|Reps1|Reps1
refseq_dna|NM_021764|NM_021764	mgi_symbol|Rbck1|Rbck1
entrezgene|BF287849|295602	mgi_symbol|Rif1|Rif1
refseq_dna|XM_218977|XM_218977	mgi_symbol|Rhog|Rhog
refseq_dna|XM_341936|XM_341936	mgi_symbol|Rgs10|Rgs10
refseq_dna|XM_236392|XM_236392	mgi_symbol|Rfx7|Rfx7
refseq_dna|NM_031095|NM_031095	mgi_symbol|Renbp|Renbp
refseq_dna|XM_342481|XM_342481	mgi_symbol|Rcn1|Rcn1
refseq_dna|NM_001014790|NM_001014790	mgi_symbol|Rarres1|Rarres1
refseq_dna|XM_230459|XM_230459	mgi_symbol|Arhgap11a|Arhgap11a
refseq_dna|NM_022699|NM_022699	mgi_symbol|Rpl30|Rpl30
refseq_dna|NM_031111|NM_031111	mgi_symbol|Rps21|Rps21
refseq_dna|XM_222801|XM_222801	mgi_symbol|Rc3h1|Rc3h1
refseq_dna|NM_001012095|NM_001012095	mgi_symbol|Rnf32|Rnf32
entrezgene|CA339010|407784	mgi_symbol|Rnf5|Rnf5
refseq_dna|XM_346355|XM_346355	mgi_symbol|Rbmx2|Rbmx2
refseq_dna|XM_343147|XM_343147	mgi_symbol|Sarnp|Sarnp
refseq_dna|NM_001013043|NM_001013043	mgi_symbol|Sectm1a|Sectm1a
embl|BF546967|BF546967	mgi_symbol|Sel1l|Sel1l
refseq_dna|NM_020074|NM_020074	mgi_symbol|Srgn|Srgn
refseq_dna|NM_012620|NM_012620	mgi_symbol|Serpine1|Serpine1
refseq_dna|XM_343045|XM_343045	mgi_symbol|Sh3yl1|Sh3yl1
refseq_dna|XM_214873|XM_214873	mgi_symbol|Shkbp1|Shkbp1
refseq_dna|XM_234904|XM_234904	mgi_symbol|Shc2|Shc2
refseq_dna|XM_214276|XM_214276	mgi_symbol|Spcs1|Spcs1
refseq_dna|NM_031119|NM_031119	mgi_symbol|Ssb|Ssb
refseq_dna|XM_214453|XM_214453	mgi_symbol|Snrnp48|Snrnp48
refseq_dna|XM_214847|XM_214847	mgi_symbol|Snrpd2l|Snrpd2l
refseq_dna|NM_021693|NM_021693	mgi_symbol|Snf1lk|Snf1lk
refseq_dna|NM_177421|NM_177421	mgi_symbol|Slc22a17|Slc22a17
entrezgene|AW917183|311423	mgi_symbol|Slc4a11|Slc4a11
refseq_dna|XM_214777|XM_214777	mgi_symbol|Smoc2|Smoc2
refseq_dna|XM_343359|XM_343359	mgi_symbol|Spc24|Spc24
refseq_dna|NM_001009624|NM_001009624	mgi_symbol|Ska2|Ska2
