GENE SYMBOL	PROBESET	GENE NAME
INVS	210114_at	Inversin
CACNG1	206612_at	calcium channel, voltage-dependent, gamma subunit 1
ANXA2P1	210876_at	annexin A2 pseudogene 1
NEBL	217585_at	Nebulette
PAGE1	206897_at	P antigen family, member 1 (prostate associated)
MPZL2	203780_at	myelin protein zero-like 2
MAP3K10	206362_x_at	mitogen-activated protein kinase kinase kinase 10
H6PD	206933_s_at	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
ANXA2P3	211241_at	annexin A2 pseudogene 3
CAMP	210244_at	cathelicidin antimicrobial peptide
PLD2	209643_s_at	phospholipase D2
CTSZ	212562_s_at	cathepsin Z
SLC12A4	209401_s_at	solute carrier family 12 (potassium/chloride transporters), member 4
RBP3	210318_at	retinol binding protein 3, interstitial
TPO	210342_s_at	thyroid peroxidase
LBX1	208380_at	ladybird homeobox 1
ASGR1	206743_s_at	asialoglycoprotein receptor 1
DMN	214304_x_at	Desmuslin
KRT31	206677_at	keratin 31
