ENSEMBL ID	GENESYMBOL	CYTOBAND	FOLD-CHANGE	P-VALUE
ENSG00000214899	C17orf84	NA	3.708772224	5.03E-06
ENSG00000213290		NA	2.534014887	6.42E-06
ENSG00000203721	C1orf98	NA	5.896402463	6.54E-06
ENSG00000181511		NA	2.511013874	7.32E-06
ENSG00000212567	SNORA57	NA	3.624528501	1.15E-05
ENSG00000176171	BNIP3	10q26.3	4.691106758	1.18E-05
ENSG00000102144	PGK1	Xq13	4.141050127	1.41E-05
ENSG00000209699		NA	3.307504991	1.52E-05
ENSG00000121904	CSMD2	1p35.1-p34.3	3.046501252	1.54E-05
ENSG00000208439		NA	3.174141991	1.72E-05
ENSG00000211442		NA	8.757829318	1.89E-05
ENSG00000177706	FAM20C	7p22.3	2.428709604	1.97E-05
ENSG00000172137	CALB2	NA	3.113171381	2.96E-05
ENSG00000209039		NA	5.049002296	3.00E-05
ENSG00000135245		7q32.1	11.98678895	3.29E-05
ENSG00000201638		NA	3.714196131	3.31E-05
ENSG00000208252		NA	3.487605035	3.33E-05
ENSG00000099365	STX1B2	16p11.2	2.273190094	3.41E-05
ENSG00000208219		NA	13.10081809	3.67E-05
ENSG00000164694	FNDC1	6q25	11.60082096	3.83E-05
ENSG00000207611		NA	3.184569446	4.22E-05
ENSG00000105792	C7orf63	7q21.13	2.102491547	4.68E-05
ENSG00000208111		NA	3.421273249	5.25E-05
ENSG00000064655	EYA2	20q13.1	3.261494811	5.26E-05
ENSG00000201309		NA	3.091899301	5.40E-05
ENSG00000111674	ENO2	12p13	7.448285291	5.41E-05
ENSG00000206744	U6	NA	5.809624825	5.53E-05
ENSG00000061656	SPAG4	20q11.21	3.166399596	5.62E-05
ENSG00000186918	ZNF395	8p21.1	5.557971102	6.05E-05
ENSG00000207718		NA	6.187993437	6.07E-05
ENSG00000151151	IPMK	10q21.1	2.393803947	7.38E-05
ENSG00000160305	DIP2A	21q22.3	2.250135166	7.40E-05
ENSG00000160145	KALRN	3q21.1-q21.2	2.276267328	7.64E-05
ENSG00000146938	NLGN4X	Xp22.32-p22.31	3.305732531	8.08E-05
ENSG00000157216	SSBP3	1p32.3	2.040371235	8.48E-05
ENSG00000208766		NA	3.06142145	8.57E-05
ENSG00000196985	NA	NA	4.154769191	8.64E-05
ENSG00000128655	PDE11A	2q31.2	2.315341502	8.64E-05
ENSG00000104881	PPP1R13L	19q13.32	2.507749655	8.69E-05
ENSG00000109046	WSB1	17q11.1	4.129326992	8.94E-05
ENSG00000168264	IRF2BP2	1q42.3	2.043234797	9.03E-05
ENSG00000178776	C5orf46	5q33.1	2.817264465	9.86E-05
ENSG00000017483	SLC38A5	Xp11.23	5.870974539	0.000108745
ENSG00000200170		NA	4.221702744	0.000110697
ENSG00000207189		NA	3.024038834	0.000110816
ENSG00000180393	NA	NA	2.967908607	0.000111616
ENSG00000206936	U4	NA	2.971806124	0.000118747
ENSG00000163126	ANKRD23	2q11.2	4.662601074	0.000131527
ENSG00000089775	ZBTB25	14q23-q24	2.751604907	0.00013578
ENSG00000204682	C10orf114	10p12.31	2.193606878	0.000148358
ENSG00000107159	CA9	9p13-p12	6.376825193	0.000151129
ENSG00000183637	NA	NA	4.262328145	0.000151838
ENSG00000214459		NA	2.965752762	0.000157105
ENSG00000088340		NA	4.138826198	0.000158173
ENSG00000208811		NA	3.138303762	0.000161413
ENSG00000127362	TAS2R3	7q31.3-q32	2.289720759	0.000163416
ENSG00000149932	TMEM219	16p11.2	2.052226547	0.000166451
ENSG00000135750	KCNK1	1q42-q43	2.670688411	0.000169357
ENSG00000116883		1p34.3	4.380184582	0.000169881
ENSG00000091428	RAPGEF4	2q31-q32	2.218949242	0.000175509
ENSG00000147454	SLC25A37	8p21.2	2.40121569	0.000176137
ENSG00000206979	SNORD61	NA	2.747577166	0.000182268
ENSG00000162959	MEMO1	2p22-p21	2.108596917	0.000192367
ENSG00000006638	TBXA2R	19p13.3	2.265885562	0.000193512
ENSG00000210108		NA	2.246402843	0.000199643
ENSG00000163083	INHBB	2cen-q13	2.621613487	0.000208048
ENSG00000208243		NA	2.906870229	0.000228102
ENSG00000161681	SHANK1	19q13.3	2.345390803	0.000255528
ENSG00000184184		NA	2.092094955	0.000258611
ENSG00000163251	FZD5	2q33-q34	2.196251594	0.000259654
ENSG00000214193	C1orf113	1p34.3	3.56145888	0.000267438
ENSG00000201376	SNORA70	NA	5.026636391	0.000269227
ENSG00000135111	TBX3	12q24.1	4.538230857	0.000274225
ENSG00000139364	TMEM132B	12q24.31-q24.32	4.634718341	0.000281048
ENSG00000073605	GSDMB	17q12	3.756988413	0.000284093
ENSG00000171388	APLN	NA	5.221725673	0.000286998
ENSG00000180849	NA	NA	2.393668445	0.000292919
ENSG00000208446		NA	3.498229646	0.000299376
ENSG00000141526	SLC16A3	17q25	2.575516293	0.000304157
ENSG00000211881		NA	5.006682606	0.000307139
ENSG00000137070	IL11RA	9p13	2.293053476	0.000307711
ENSG00000184465	WDR27	6q27	2.019936584	0.000310779
ENSG00000140280	LYSMD2	15q21.2	2.004554534	0.000326516
ENSG00000124766	SOX4	6p22.3	2.39122519	0.000328741
ENSG00000117394	SLC2A1	1p35-p31.3	4.886969159	0.000330911
ENSG00000189348		19q13.41	2.929961417	0.000336649
ENSG00000092096	SLC22A17	14q11.2	2.183564277	0.000338343
ENSG00000141664	ZCCHC2	18q21.33	3.641560128	0.00034203
ENSG00000184795	UNC93B5	NA	4.457583017	0.000346489
ENSG00000172938	MRGPRD	11q13.2	2.029001596	0.000363751
ENSG00000161958	FGF11	17p13.1	2.288107762	0.000371363
ENSG00000168681	NA	NA	3.972080881	0.000372369
ENSG00000205130	NA	NA	3.16063258	0.000372528
ENSG00000060718	COL11A1	1p21	5.33868095	0.00037759
ENSG00000130254	SAFB2	19p13.3	2.063363975	0.000379355
ENSG00000108175	ZMIZ1	10q22.3	2.13215157	0.000380239
ENSG00000099725	PRKY	Yp11.2	5.218360693	0.000389243
ENSG00000170525	PFKFB3	10p14-p15	4.182856003	0.000390857
ENSG00000007392	LUC7L	16p13.3	2.059648765	0.000399878
ENSG00000208363		NA	2.545431073	0.000404285
ENSG00000196094		NA	4.465035565	0.000406314
ENSG00000104321	TRPA1	8q13	6.988332892	0.000416806
ENSG00000133135	RNF128	Xq22.3	3.627850487	0.000425072
ENSG00000185554	NXF2	NA	2.819745586	0.000438937
ENSG00000166396	SERPINB7	18q21.33	4.120330319	0.000446754
ENSG00000176222	ZNF404	19q13.31	2.611897594	0.000449646
ENSG00000201227		NA	2.76548337	0.000452543
ENSG00000206908	U1	NA	2.52796239	0.00045922
ENSG00000211400		NA	2.334413287	0.000461233
ENSG00000060656	PTPRU	1p35.3-p35.1	3.02544355	0.000467961
ENSG00000204419	NA	NA	4.18090424	0.000473588
ENSG00000132000	PODNL1	19p13.12	2.577007376	0.000487581
ENSG00000199649	SNORD59	NA	5.294869033	0.000488673
ENSG00000201367	U6	NA	6.59131659	0.000500951
ENSG00000156030	C14orf43	14q24.3	2.110307645	0.000506436
ENSG00000183196	CHST6	16q22	2.162404871	0.000527837
ENSG00000200584	NA	NA	2.730991833	0.000532556
ENSG00000212743		10p15.1	5.788348025	0.000536096
ENSG00000186261		NA	3.436472307	0.000543937
ENSG00000123095	BHLHE41	12p11.23-p12.1	3.65417738	0.000547036
ENSG00000134954	ETS1	11q23.3	3.222532704	0.000548638
ENSG00000208491		NA	7.344274592	0.000550862
ENSG00000118113	MMP8	11q22.3	4.686475476	0.000552975
ENSG00000154102	C16orf74	16q24.1	2.061696065	0.000559248
ENSG00000199979	Y_RNA	NA	2.889977646	0.000577428
ENSG00000207789		NA	2.636788155	0.000580027
ENSG00000203632		NA	3.530020757	0.000602203
ENSG00000155511	GRIA1	5q31.1; 5q33	6.44401566	0.000621246
