Curated Gene Symbol	Order	Parametric p-value	FDR	Geom mean of intensities in class 1 (0 Gy)	Geom mean of intensities in class 2 (0.1 Gy)	Geom mean of intensities in class 3 (0.5 Gy)	Geom mean of intensities in class 4 (2 Gy)	Unique id	Description	GB acc	Gene symbol	Fold change 0.1/0 Gy	Fold change 0.5/0 Gy	Fold change 2/0 Gy
POLH	1	< 1e-07	< 1e-07	120.8793688	166.4198813	278.1147325	449.5307159	A_32_P69492	Homo sapiens cDNA: FLJ21978 fis, clone HEP06046, highly similar to AF158185 Homo sapiens xeroderma pigmentosum variant RAD30 (RAD30) mRNA. [AK025631]	AK025631	POLH	1.376743467	2.300762614	3.718837386
MAMDC4	2	< 1e-07	< 1e-07	195.3712674	237.8139268	353.4600416	508.2967238	A_23_P71790	Homo sapiens MAM domain containing 4 (MAMDC4), mRNA [NM_206920]	NM_206920	MAMDC4	1.217241051	1.809171053	2.601696404
AEN	3	< 1e-07	< 1e-07	103.8646087	285.9493419	581.0320189	852.6496915	A_23_P206077	Homo sapiens interferon stimulated exonuclease gene 20kDa-like 1 (ISG20L1), mRNA [NM_022767]	NM_022767	ISG20L1	2.753096993	5.594128993	8.209241841
PCNA	4	< 1e-07	< 1e-07	730.1566222	1054.695136	1949.61212	3730.479787	A_23_P28886	Homo sapiens proliferating cell nuclear antigen (PCNA), transcript variant 1, mRNA [NM_002592]	NM_002592	PCNA	1.444477944	2.670128656	5.109150111
	5	< 1e-07	< 1e-07	231.912095	341.5054821	611.2403621	960.113464	A_32_P96692	Q9BX12_HUMAN (Q9BX12) GTP binding protein 2 (Fragment), partial (26%) [THC2532504]	THC2532504	THC2532504	1.472564344	2.635655385	4.139988749
TRIAP1	6	< 1e-07	< 1e-07	350.3464837	510.7947592	872.5947236	1266.260343	A_23_P128408	Homo sapiens TP53 regulated inhibitor of apoptosis 1 (TRIAP1), mRNA [NM_016399]	NM_016399	TRIAP1	1.457970275	2.490662142	3.614308696
PHPT1	7	< 1e-07	< 1e-07	1776.177534	2690.40064	4924.620986	7102.225037	A_23_P83192	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	NM_014172	PHPT1	1.51471381	2.772595021	3.998600873
BAX	8	< 1e-07	< 1e-07	3929.648167	6110.239332	9537.773745	12241.12009	A_23_P208706	Homo sapiens BCL2-associated X protein (BAX), transcript variant epsilon, mRNA [NM_138764]	NM_138764	BAX	1.554907481	2.427131728	3.115067703
TNFRSF10B	9	< 1e-07	< 1e-07	3860.051425	5097.952303	7619.810915	9362.739091	A_24_P218265	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	NM_003842	TNFRSF10B	1.320695437	1.974017979	2.425547761
GNG7	10	< 1e-07	< 1e-07	510.5747968	445.2419451	357.9321546	206.23084	A_32_P136295	Homo sapiens guanine nucleotide binding protein (G protein), gamma 7 (GNG7), mRNA [NM_052847]	NM_052847	GNG7	0.872040586	0.701037648	0.403918958
	11	< 1e-07	< 1e-07	131.653919	248.1407293	559.2772551	1015.265702	A_32_P347617	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H (APOBEC3H), mRNA [NM_181773]	NM_181773	RP4-742C19.3	1.884795616	4.248086645	7.711625372
SESN1	12	< 1e-07	< 1e-07	154.7568226	187.5912005	280.7531358	339.8716541	A_24_P346339	Homo sapiens sestrin 1 (SESN1), mRNA [NM_014454]	NM_014454	SESN1	1.212167563	1.81415676	2.196165884
ASCC3	13	< 1e-07	< 1e-07	165.0646583	245.490154	415.4593331	541.9015468	A_23_P382654	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 2, mRNA [NM_022091]	NM_022091	ASCC3	1.487236314	2.516949039	3.282965308
	14	< 1e-07	< 1e-07	199.3354012	409.2424619	888.0763898	1306.65263	A_24_P916853	Unknown	A_24_P916853	A_24_P916853	2.053034531	4.455186507	6.555045528
MDM2	15	< 1e-07	< 1e-07	518.8852699	614.134381	841.2365721	1178.651167	A_23_P139895	Homo sapiens hypothetical protein MGC5370, mRNA (cDNA clone IMAGE:3049213), partial cds. [BC006795]	BC006795	MGC5370	1.183564878	1.621238106	2.271506315
CDKN1A	16	< 1e-07	< 1e-07	66.8540843	95.4816568	198.3768855	309.1838514	A_24_P89457	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 2, mRNA [NM_078467]	NM_078467	CDKN1A	1.428209777	2.967311385	4.624756358
	17	< 1e-07	< 1e-07	131.0015177	181.7106846	280.9092742	335.4483251	A_24_P639629	Homo sapiens cDNA FLJ31683 fis, clone NT2RI2005353. [AK056245]	AK056245	AK056245	1.387088392	2.144320762	2.560644571
	18	< 1e-07	< 1e-07	52.1625253	61.6132611	85.9561798	157.634769	A_23_P78244	Homo sapiens cDNA clone IMAGE:6141118, partial cds. [BC053363]	BC053363	BC053363	1.181178648	1.647853115	3.021992668
TMEM30A	19	< 1e-07	< 1e-07	340.5189863	419.3360745	643.2037469	810.6690985	A_23_P70290	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	NM_018247	TMEM30A	1.231461655	1.888892463	2.380686925
ACTA2	20	< 1e-07	< 1e-07	108.4029498	174.5889352	297.8288583	435.4569853	A_23_P150053	Homo sapiens actin, alpha 2, smooth muscle, aorta (ACTA2), mRNA [NM_001613]	NM_001613	ACTA2	1.610555206	2.747423929	4.017021549
	21	< 1e-07	< 1e-07	293.3824219	371.5785748	567.0241251	907.1129711	A_24_P925664	Unknown	THC2545454	THC2545454	1.26653319	1.932713356	3.09191316
CD70	22	< 1e-07	< 1e-07	381.6445623	737.4406234	1613.153645	3294.988874	A_23_P119202	Homo sapiens CD70 molecule (CD70), mRNA [NM_001252]	NM_001252	CD70	1.932270747	4.226848236	8.633658644
MDM2	23	< 1e-07	< 1e-07	19.404165	23.9015612	34.679303	60.3575399	A_23_P502750	Homo sapiens Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) (MDM2), transcript variant MDM2, mRNA [NM_002392]	NM_002392	MDM2	1.231774786	1.787209241	3.110545592
ZNF79	24	< 1e-07	< 1e-07	119.3896059	149.9186262	215.356858	275.3381486	A_23_P303763	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	NM_007135	ZNF79	1.255709197	1.803815804	2.306215407
ASCC3	25	< 1e-07	< 1e-07	179.0033639	266.0871259	425.91073	597.7079631	A_23_P30972	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 2, mRNA [NM_022091]	NM_022091	ASCC3	1.486492321	2.379344839	3.339087881
CDKN1A	26	< 1e-07	< 1e-07	2107.723074	2919.53001	5746.235373	10407.19626	A_23_P59210	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA [NM_000389]	NM_000389	CDKN1A	1.385158253	2.726276257	4.937648778
LIG1	27	< 1e-07	< 1e-07	2346.518096	2643.824882	3508.655344	5164.801111	A_23_P39116	Homo sapiens ligase I, DNA, ATP-dependent (LIG1), mRNA [NM_000234]	NM_000234	LIG1	1.126701254	1.495260297	2.201048915
	28	< 1e-07	< 1e-07	106.8236242	200.518074	431.8259515	840.6410201	A_24_P592871	UI-CF-FN0-age-k-21-0-UI.s1 UI-CF-FN0 Homo sapiens cDNA clone UI-CF-FN0-age-k-21-0-UI 3, mRNA sequence [CB250445]	CB250445	CB250445	1.877094842	4.042419968	7.869429879
ASCC3	29	< 1e-07	< 1e-07	513.1345011	732.1095389	1180.016107	1693.31412	A_23_P19565	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 1, mRNA [NM_006828]	NM_006828	ASCC3	1.426740041	2.299623402	3.299942055
CCNG1	30	< 1e-07	< 1e-07	431.0182639	585.0782146	858.1927513	1076.991587	A_23_P58606	Homo sapiens cyclin G1 (CCNG1), transcript variant 1, mRNA [NM_004060]	NM_004060	CCNG1	1.357432535	1.991082103	2.498714504
PLK2	31	< 1e-07	< 1e-07	332.538555	401.4499166	620.659853	958.8460784	A_23_P30254	Homo sapiens polo-like kinase 2 (Drosophila) (PLK2), mRNA [NM_006622]	NM_006622	PLK2	1.207228186	1.866429753	2.883413258
ASTN2	32	< 1e-07	< 1e-07	78.0832604	141.9672279	298.5744358	651.9956829	A_23_P357936	Homo sapiens astrotactin 2 (ASTN2), transcript variant 1, mRNA [NM_014010]	NM_014010	ASTN2	1.818151895	3.823795706	8.350005873
	33	< 1e-07	< 1e-07	498.9507932	1371.172264	3109.80534	5289.686692	A_32_P85230	BE646426 7e86f01.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:3292057 3, mRNA sequence [BE646426]	BE646426	BE646426	2.748111201	6.23268944	10.60161997
RPS27L	34	< 1e-07	< 1e-07	4347.489373	6836.954583	12128.79729	16185.91372	A_23_P14734	Homo sapiens ribosomal protein S27-like (RPS27L), mRNA [NM_015920]	NM_015920	RPS27L	1.572621344	2.789839433	3.723048485
ZMAT3	35	< 1e-07	< 1e-07	45.5289221	62.0633694	98.8779949	142.8327698	A_23_P113283	Homo sapiens zinc finger, matrin type 3 (ZMAT3), transcript variant 1, mRNA [NM_022470]	NM_022470	ZMAT3	1.363163601	2.171762263	3.137187599
	36	< 1e-07	< 1e-07	198.2179406	270.8929709	498.1066184	924.2751426	A_24_P127462	PREDICTED: Homo sapiens similar to Proliferating cell nuclear antigen (PCNA) (Cyclin) (LOC392454), mRNA [XR_018314]	XR_018314	LOC392454	1.366642041	2.512923991	4.662923748
	37	< 1e-07	< 1e-07	40.9010111	64.1229526	124.7366436	194.0442661	A_24_P917549	Unknown	A_24_P917549	A_24_P917549	1.567759595	3.049720294	4.744241301
APOBEC3F	38	< 1e-07	< 1e-07	280.0428119	321.6997642	430.4308531	632.8055722	A_23_P357101	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F (APOBEC3F), transcript variant 1, mRNA [NM_145298]	NM_145298	APOBEC3F	1.148752086	1.537018037	2.259674397
TNFSF4	39	< 1e-07	< 1e-07	86.2331606	92.4703826	146.7378136	393.7335608	A_23_P126836	Homo sapiens tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa) (TNFSF4), mRNA [NM_003326]	NM_003326	TNFSF4	1.072329739	1.701640211	4.565918239
SESN1	40	< 1e-07	< 1e-07	553.7564549	666.711068	960.7472061	1306.328841	A_23_P93562	Homo sapiens sestrin 1 (SESN1), mRNA [NM_014454]	NM_014454	SESN1	1.203978865	1.734963444	2.359031357
FBXO22	41	< 1e-07	< 1e-07	13.0096909	18.125421	27.0335643	34.2233497	A_24_P13715	Homo sapiens F-box protein 22 (FBXO22), transcript variant 1, mRNA [NM_147188]	NM_147188	FBXO22	1.393224569	2.077955926	2.630604367
ZNF79	42	< 1e-07	< 1e-07	172.4426452	213.1394062	299.5958924	428.0704022	A_24_P128312	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	NM_007135	ZNF79	1.236001721	1.737365441	2.482392924
