Position	Unigene	GeneBank	Symbol	Description	Gene Name
A1	Hs.446610	NM_001130	AES	Amino-terminal enhancer of split	AES
B1	Hs.75081	NM_000038	APC	Adenomatosis polyposis coli	APC
C1	Hs.512765	NM_003502	AXIN1	Axin 1	AXIN1
D1	Hs.127337	NM_004655	AXIN2	Axin 2 (conductin, axil)	AXIN2
E1	Hs.68879	NM_130851	BMP4	Bone morphogenetic protein 4	BMP4
F1	Hs.226434	NM_033637	BTRC	Beta-transducin repeat containing	BTRC
G1	Hs.371468	NM_053056	CCND1	Cyclin D1 (PRAD1	Cyclin D1
H1	Hs.376071	NM_001759	CCND2	Cyclin D2	Cyclin D2
A2	Hs.83173	NM_001760	CCND3	Cyclin D3	Cyclin D3
B2	Hs.306278	NM_000610	CD44	CD44 antigen (homing function and Indian blood group system)	CD44
C2	Hs.1545	NM_001804	CDX1	Caudal type homeo box transcription factor 1	CDX1
D2	Hs.7327	NM_021101	CLDN1	Claudin 1	CLDN1
E2	Hs.172928	NM_000088	COL1A1	Collagen, type I, alpha 1	COL1A1
F2	Hs.196083	NM_001328	CTBP1	C-terminal binding protein 1	CTBP1
G2	Hs.171391	NM_022802	CTBP2	C-terminal binding protein 2	CTBP2
H2	Hs.410086	NM_001904	CTNNB1	Catenin (cadherin-associated protein), beta 1, 88kDa	b Catenin
A3	Hs.108222	NM_020248	CTNNBIP1	Catenin, beta interacting protein 1	CTNNBIP1
B3	Hs.40499	NM_012242	DKK1	Dickkopf homolog 1 (Xenopus laevis)	Sk
C3	Hs.211869	NM_014421	DKK2	Dickkopf homolog 2 (Xenopus laevis)	DKK2
D3	Hs.159311	NM_014420	DKK4	Dickkopf homolog 4 (Xenopus laevis)	DKK4
E3	Hs.118640	NM_004422	DVL2	Dishevelled, dsh homolog 2 (Drosophila)	DVL2
F3	Hs.144700	NM_004429	EFNB1	Ephrin-B1	EFNB1
G3	Hs.326035	NM_001964	EGR1	Early growth response 1	Krox-24
H3	Hs.23719	NM_006209	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ATX
A4	Hs.271730	NM_001429	EP300	E1A binding protein p300	p300
B4	Hs.1755	NM_002007	FGF4	Fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene)	HST
C4	Hs.283565	NM_005438	FOSL1	FOS-like antigen 1	Fra-1
D4	Hs.126057	NM_005479	FRAT1	Frequently rearranged in advanced T-cell lymphomas	FRAT1
E4	Hs.140720	NM_012083	FRAT2	Frequently rearranged in advanced T-cell lymphomas 2	FRAT2
