Probe ID	Gene Symbol	mu1	mu2	sigma	LMP High	LMP Low	MS & EM High	MS & EM Low	2-tail p-value
1552349_a_at	PRSS33	4.281949	6.751839	0.446213	9	8	28	227	< 0.0001
1555778_a_at	POSTN	4.721111	9.494216	1.170731	0	18	143	123	< 0.0001
1555804_a_at	YSK4	3.645657	6.408965	0.412063	13	2	17	236	< 0.0001
1556003_a_at		3.991739	7.616158	0.488385	13	2	14	242	< 0.0001
1556158_at	FAM154B	3.163813	6.037766	0.384376	11	2	6	248	< 0.0001
1556711_at	C13orf30	3.327376	6.657042	0.420553	13	2	13	245	< 0.0001
1562371_s_at	VWA3B	3.358657	6.186004	0.37414	14	2	13	243	< 0.0001
1568603_at	CADPS	2.982515	5.759964	0.532834	11	4	32	224	< 0.0001
203824_at	TSPAN8	4.426329	8.949004	1.168841	18	0	129	138	< 0.0001
204548_at	STAR	4.370022	7.821988	0.74976	15	1	51	208	< 0.0001
205856_at	SLC14A1	3.481058	6.966754	0.548283	9	7	23	233	< 0.0001
206010_at	HABP2	4.106356	6.664954	0.299633	6	5	7	256	< 0.0001
206228_at	PAX2	4.272558	8.726263	0.848698	10	5	42	211	< 0.0001
206772_at	PTH2R	3.679172	7.732933	0.827128	0	18	162	96	< 0.0001
207802_at	CRISP3	3.273797	7.65822	0.666209	10	6	29	224	< 0.0001
209243_s_at	PEG3 /// ZIM2	3.424888	6.952316	0.821328	14	3	76	185	< 0.0001
209560_s_at	DLK1	4.184421	9.622143	1.071054	18	0	67	186	< 0.0001
213432_at	MUC5B	5.412578	10.39507	0.857401	16	1	15	235	< 0.0001
214079_at	DHRS2	3.521427	7.040461	0.741063	13	5	54	206	< 0.0001
214774_x_at	TOX3	3.157416	7.179264	0.72733	12	4	41	215	< 0.0001
215108_x_at	TOX3	3.159827	7.05657	0.650367	11	4	35	218	< 0.0001
216623_x_at	TOX3	3.435224	7.463223	0.736639	12	4	42	214	< 0.0001
219873_at	COLEC11	5.607611	9.070476	0.863525	18	0	89	177	< 0.0001
220084_at	C14orf105	2.947854	6.074033	0.263127	8	5	3	255	< 0.0001
220269_at	ZBBX	3.758164	7.186234	0.75109	16	1	54	204	< 0.0001
220389_at	CCDC81	4.070553	6.915723	0.333756	7	3	4	253	< 0.0001
220636_at	DNAI2	3.609018	6.944449	0.402888	9	4	4	252	< 0.0001
222943_at	GBA3	3.441509	6.177489	0.445819	10	6	19	233	< 0.0001
223962_at	TTC29	3.142047	5.928707	0.346825	10	2	6	252	< 0.0001
224355_s_at	MS4A8B	5.091003	7.969207	0.441583	13	2	10	244	< 0.0001
229012_at	C9orf24	5.260165	9.479665	0.857331	15	2	35	221	< 0.0001
229331_at	SPATA18	3.955564	7.866512	0.68831	18	0	29	223	< 0.0001
229542_at	C20orf85	3.929343	8.452602	0.837088	17	1	34	217	< 0.0001
229973_at	C1orf173	3.003994	7.514241	0.497579	16	0	10	242	< 0.0001
230193_at	WDR66	3.758481	6.801313	0.558454	17	0	21	235	< 0.0001
231181_at		3.69563	8.030335	1.026418	14	4	71	192	< 0.0001
232056_at	SCEL	3.319458	6.33546	0.672249	13	5	63	196	< 0.0001
233326_at	CCDC39	2.944137	5.632455	0.39419	11	3	9	243	< 0.0001
235650_at	CDHR3	3.926994	7.09743	0.486138	13	2	8	249	< 0.0001
236710_at	C1orf87	3.557948	6.325455	0.36993	10	3	5	249	< 0.0001
237020_at	TMEM146	3.323393	6.112407	0.372049	6	6	7	249	< 0.0001
237206_at	MYOCD	3.961375	7.123501	0.629595	13	4	34	215	< 0.0001
237281_at	AKAP14	3.086851	6.514711	0.51438	15	2	16	235	< 0.0001
237328_at	C14orf105	3.520029	7.375163	0.416076	10	4	3	255	< 0.0001
238720_at	OMG	3.285698	6.132901	0.370676	7	3	8	249	< 0.0001
238878_at	ARX	3.906652	7.718909	0.780136	14	1	44	210	< 0.0001
239150_at	SNTN	3.489807	8.357008	0.66056	15	1	12	240	< 0.0001
239916_at	WDR16	4.031514	7.549594	0.537102	15	1	12	240	< 0.0001
240065_at	FAM81B	3.712056	7.878978	0.861089	16	1	41	214	< 0.0001
240161_s_at	CDC20B	3.462474	7.700252	0.900595	13	2	57	202	< 0.0001
240288_at	KCNRG	3.178379	6.223603	0.38687	8	3	5	253	< 0.0001
240857_at	DNAH9	3.429	5.864248	0.433202	16	1	24	227	< 0.0001
243087_at	WDR63	3.286887	6.270397	0.410283	11	3	9	246	< 0.0001
243802_at	DNAH12	3.765127	7.47274	0.569478	16	1	12	238	< 0.0001
243803_at	LOC643037	3.883422	6.299198	0.328521	12	2	11	247	< 0.0001
1552368_at	CTCFL	4.725663	8.798712	1.027621	0	18	108	159	0.000134
216576_x_at	IGK@ /// IGKC /// LOC652493 /// LOC652694	5.538403	9.790985	1.040633	0	18	96	170	0.000446
237810_at	CLDN6	5.183811	8.67119	0.823839	0	18	95	169	0.00046
229479_at		3.747679	7.589729	0.753401	0	18	94	161	0.000483
218469_at	GREM1	3.719148	7.498245	0.872175	0	18	90	172	0.00103
216207_x_at	IGKV1D-13	7.422743	11.19986	0.888788	0	18	90	173	0.001041
218468_s_at	GREM1	3.550016	7.142304	0.78451	0	18	81	174	0.002233
215704_at	FLG	3.175385	7.861375	0.599426	5	12	13	237	0.002893
1557215_at		3.70385	6.501271	0.57516	0	18	74	181	0.004465
229554_at	LUM	5.147149	8.092782	0.719029	1	17	98	167	0.004689
227566_at	NTM	4.49373	7.915193	0.884795	2	16	121	146	0.005353
206439_at	EPYC	3.599835	8.520303	1.001293	1	17	91	165	0.008234
203980_at	FABP4	4.175586	9.931796	0.984009	0	18	65	185	0.008583
209613_s_at	ADH1B	3.108434	7.894534	0.870825	0	18	66	183	0.00859
209612_s_at	ADH1B	3.832082	8.570103	0.886338	0	18	67	183	0.008625
204913_s_at	SOX11	3.776606	8.295233	0.986171	0	18	68	187	0.008652
229271_x_at	COL11A1	2.999401	6.145997	0.578987	0	18	63	188	0.009083
206504_at	CYP24A1	3.051946	6.8009	0.467926	4	13	11	241	0.009684
228546_at	DPP6	3.624322	6.205014	0.449315	5	9	26	230	0.013659
232523_at	MEGF10	3.428257	6.797772	0.64683	0	18	57	198	0.016898
230865_at	LIX1	3.328577	6.907264	0.804103	1	17	75	181	0.029138
206373_at	ZIC1	4.184075	9.080795	1.042468	2	15	99	160	0.035491
205646_s_at	PAX6	5.148357	7.657006	0.47762	0	18	47	209	0.049863
204915_s_at	SOX11	4.455174	8.27592	0.761265	0	18	47	200	0.049925
220179_at	DPEP3	4.54548	8.806555	0.600507	0	18	45	206	0.050022
210503_at	MAGEA11	3.497633	7.528932	0.531594	0	18	44	203	0.050131
218625_at	NRN1	4.543321	8.01386	0.665784	0	18	45	211	0.0508
241224_x_at	DSCR8	3.701769	7.513776	0.498974	0	18	49	200	0.051415
