Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
1255_g_at	guanylate cyclase activator 1A (retina)	GUCA1A	6p21.1	2978
200033_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	DDX5	17q21	1655
200045_at	ATP-binding cassette, sub-family F (GCN20), member 1 /// ATP-binding cassette, sub-family F (GCN20), member 1	ABCF1	6p21.33	23
200052_s_at	interleukin enhancer binding factor 2, 45kDa /// interleukin enhancer binding factor 2, 45kDa	ILF2	1q21.3	3608
200059_s_at	ras homolog gene family, member A /// ras homolog gene family, member A	RHOA	3p21.3	387
200084_at	small acidic protein /// small acidic protein	SMAP	11p15.1	10944
200624_s_at	matrin 3	MATR3	5q31.2	9782
200640_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	8q23.1	7534
200645_at	GABA(A) receptor-associated protein	GABARAP	17p13.1	11337
200699_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	7p22.1	11014
200777_s_at	basic leucine zipper and W2 domains 1	BZW1	2q33	9689
200795_at	SPARC-like 1 (mast9, hevin)	SPARCL1	4q22.1	8404
200802_at	seryl-tRNA synthetase	SARS	1p13.3-p13.1	6301
200880_at	DnaJ (Hsp40) homolog, subfamily A, member 1	DNAJA1	9p13-p12	3301
200883_at	ubiquinol-cytochrome c reductase core protein II	UQCRC2	16p12	7385
200902_at	15 kDa selenoprotein	Sep-15	1p31	9403
200905_x_at	major histocompatibility complex, class I, E	HLA-E	6p21.3	3133
200974_at	actin, alpha 2, smooth muscle, aorta	ACTA2	10q23.3	59
200975_at	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	PPT1	1p32	5538
201012_at	annexin A1	ANXA1	9q12-q21.2|9q12-q21.2	301
201023_at	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	TAF7	5q31	6879
201032_at	bladder cancer associated protein	BLCAP	20q11.2-q12	10904
201078_at	transmembrane 9 superfamily member 2	TM9SF2	13q32.3	9375
201084_s_at	BCL2-associated transcription factor 1	BCLAF1	6q22-q23	9774
201104_x_at	hypothetical protein DJ328E19.C1.1 /// hypothetical protein FLJ20719 /// hypothetical protein LOC200030 /// hypothetical protein MGC8902 /// AE01 mRNA /// AG1 protein /// hypothetical LOC440675	DJ328E19.C1.1 /// FLJ20719 /// LOC200030 /// MGC8902 /// AE01 /// AG1 /// LOC440675	1q12-1q21.2 /// 1p36.13 /// 1q21.1	200030 /// 25832 /// 284565 /// 440670 /// 440673 /// 440675 /// 55672
201118_at	phosphogluconate dehydrogenase /// phosphogluconate dehydrogenase	PGD	1p36.3-p36.13	5226
201128_s_at	ATP citrate lyase	ACLY	17q12-q21	47
201133_s_at	praja 2, RING-H2 motif containing	PJA2	5q21.3	9867
201137_s_at	major histocompatibility complex, class II, DP beta 1	HLA-DPB1	6p21.3	3115
201145_at	HCLS1 associated protein X-1	HAX1	1q21.3	10456
201163_s_at	insulin-like growth factor binding protein 7	IGFBP7	4q12	3490
201180_s_at	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	GNAI3	1p13	2773
201185_at	HtrA serine peptidase 1	HTRA1	10q26.3	5654
201200_at	cellular repressor of E1A-stimulated genes 1	CREG1	1q24	8804
201202_at	proliferating cell nuclear antigen	PCNA	20pter-p12	5111
201207_at	tumor necrosis factor, alpha-induced protein 1 (endothelial)	TNFAIP1	17q22-q23	7126
201288_at	Rho GDP dissociation inhibitor (GDI) beta	ARHGDIB	12p12.3	397
201289_at	cysteine-rich, angiogenic inducer, 61	CYR61	1p31-p22	3491
201304_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	NDUFA5	7q32	4698
201316_at	proteasome (prosome, macropain) subunit, alpha type, 2	PSMA2	7p14.1	5683
201324_at	epithelial membrane protein 1	EMP1	12p12.3	2012
201327_s_at	chaperonin containing TCP1, subunit 6A (zeta 1)	CCT6A	7p11.2	908
201390_s_at	casein kinase 2, beta polypeptide	CSNK2B	6p21-p12|6p21.3	1460
201405_s_at	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	COPS6	7q22.1	10980
201427_s_at	selenoprotein P, plasma, 1	SEPP1	5q31	6414
201475_x_at	methionine-tRNA synthetase	MARS	12q13.2	4141
201506_at	transforming growth factor, beta-induced, 68kDa	TGFBI	5q31	7045
201570_at	sorting and assembly machinery component 50 homolog (S. cerevisiae)	SAMM50	22q13.31	25813
201577_at	non-metastatic cells 1, protein (NM23A) expressed in	NME1	17q21.3	4830
201581_at	thioredoxin domain containing 13	TXNDC13	20p12	56255
201595_s_at	likely ortholog of mouse immediate early response, erythropoietin 4	LEREPO4	2q32.1	55854
201661_s_at	acyl-CoA synthetase long-chain family member 3	ACSL3	2q34-q35	2181
201669_s_at	myristoylated alanine-rich protein kinase C substrate	MARCKS	6q22.2	4082
201721_s_at	lysosomal associated multispanning membrane protein 5	LAPTM5	1p34	7805
201756_at	replication protein A2, 32kDa	RPA2	1p35	6118
201761_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	MTHFD2	2p13.1	10797
201847_at	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	LIPA	10q23.2-q23.3	3988
201889_at	family with sequence similarity 3, member C	FAM3C	7q22.1-q31.1	10447
201891_s_at	beta-2-microglobulin	B2M	15q21-q22.2	567
201916_s_at	SEC63-like (S. cerevisiae)	SEC63	6q21	11231
201930_at	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	MCM6	2q21	4175
202042_at	histidyl-tRNA synthetase	HARS	5q31.3	3035
202112_at	von Willebrand factor	VWF	12p13.3	7450
202146_at	interferon-related developmental regulator 1	IFRD1	7q22-q31	3475
202168_at	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	TAF9	5q11.2-q13.1	6880
202179_at	bleomycin hydrolase	BLMH	17q11.2	642
202207_at	ADP-ribosylation factor-like 7	ARL7	2q37.1	10123
202224_at	v-crk sarcoma virus CT10 oncogene homolog (avian)	CRK	17p13.3	1398
202237_at	nicotinamide N-methyltransferase	NNMT	11q23.1	4837
202291_s_at	matrix Gla protein	MGP	12p13.1-p12.3	4256
202295_s_at	cathepsin H	CTSH	15q24-q25	1512
202393_s_at	Kruppel-like factor 10	KLF10	8q22.2	7071
202433_at	solute carrier family 35, member B1	SLC35B1	17q21.33	10237
202555_s_at	myosin, light polypeptide kinase /// myosin, light polypeptide kinase	MYLK	3q21	4638
202579_x_at	high mobility group nucleosomal binding domain 4	HMGN4	6p21.3	10473
202672_s_at	activating transcription factor 3	ATF3	1q32.3	467
202780_at	3-oxoacid CoA transferase 1	OXCT1	5p13.1	5019
202810_at	developmentally regulated GTP binding protein 1	DRG1	22q12.2	4733
202838_at	fucosidase, alpha-L- 1, tissue	FUCA1	1p34	2517
202878_s_at	complement component 1, q subcomponent, receptor 1	C1QR1	20p11.21	22918
202900_s_at	nucleoporin 88kDa	NUP88	17p13.2	4927
202930_s_at	succinate-CoA ligase, ADP-forming, beta subunit	SUCLA2	13q12.2-q13.3	8803
202957_at	hematopoietic cell-specific Lyn substrate 1	HCLS1	3q13	3059
203054_s_at	T-cell leukemia translocation altered gene	TCTA	3p21	6988
203138_at	histone acetyltransferase 1	HAT1	2q31.2-q33.1	8520
203157_s_at	glutaminase	GLS	2q32-q34	2744
203224_at	riboflavin kinase	RFK	9q21.13	55312
203243_s_at	PDZ and LIM domain 5	PDLIM5	4q22	10611
203259_s_at	HD domain containing 2	HDDC2	6q13-q24.3	51020
203333_at	kinesin-associated protein 3	KIFAP3	1q24.2	22920
203414_at	monocyte to macrophage differentiation-associated	MMD	17q	23531
203416_at	CD53 antigen	CD53	1p13	963
203420_at	family with sequence similarity 8, member A1	FAM8A1	6p22-p23	51439
203455_s_at	spermidine/spermine N1-acetyltransferase	SAT	Xp22.1	6303
203466_at	MpV17 transgene, murine homolog, glomerulosclerosis	MPV17	2p23-p21	4358
203685_at	B-cell CLL/lymphoma 2	BCL2	18q21.33|18q21.3	596
203738_at	hypothetical protein FLJ11193	FLJ11193	5p13.3	55322
203797_at	visinin-like 1	VSNL1	2p24.3	7447
204135_at	downregulated in ovarian cancer 1	DOC1	3q12.1	11259
204364_s_at	chromosome 2 open reading frame 23	C2orf23	2p11.2	65055
204365_s_at	chromosome 2 open reading frame 23	C2orf23	2p11.2	65055
204572_s_at	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)	PIN4	Xq13	5303
204604_at	PFTAIRE protein kinase 1	PFTK1	7q21-q22	5218
204640_s_at	speckle-type POZ protein	SPOP	17q21.33	8405
204823_at	neuron navigator 3	NAV3		89795
205122_at	transmembrane protein with EGF-like and two follistatin-like domains 1	TMEFF1	9q31	8577
205229_s_at	coagulation factor C homolog, cochlin (Limulus polyphemus)	COCH	14q12-q13	1690
205257_s_at	amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen)	AMPH	7p14-p13	273
205547_s_at	transgelin	TAGLN	11q23.2	6876
205551_at	synaptic vesicle glycoprotein 2B	SV2B	15q26.1	9899
205625_s_at	calbindin 1, 28kDa	CALB1	8q21.3-q22.1	793
205626_s_at	calbindin 1, 28kDa	CALB1	8q21.3-q22.1	793
205771_s_at	A kinase (PRKA) anchor protein 7	AKAP7	6q23	9465
205872_x_at	phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP	1q12	9659
206001_at	neuropeptide Y	NPY	7p15.1	4852
206013_s_at	actin-like 6B	ACTL6B	7q22	51412
206059_at	zinc finger protein 91 (HPF7, HTF10)	ZNF91	19p13.1-p12	7644
206290_s_at	regulator of G-protein signalling 7	RGS7	1q43|1q23.1 according to Sierra (Genomics 79; 177; 2002) [AFS]	6000
206323_x_at	oligophrenin 1	OPHN1	Xq12	4983
207719_x_at	KIAA0470	KIAA0470	1q44	9859
207812_s_at	golgi reassembly stacking protein 2, 55kDa	GORASP2	2q31.1-q31.2	26003
207957_s_at	ATPase, H+ transporting, lysosomal accessory protein 1	ATP6AP1	Xq28	537
208051_s_at	poly(A) binding protein interacting protein 1	PAIP1	5p12	10605
208091_s_at	EGFR-coamplified and overexpressed protein /// EGFR-coamplified and overexpressed protein	ECOP	7p11.2	81552
208642_s_at	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	XRCC5	2q35	7520
208643_s_at	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	XRCC5	2q35	7520
208671_at	serine incorporator 1	SERINC1	6q22.31	57515
208679_s_at	actin related protein 2/3 complex, subunit 2, 34kDa	ARPC2	2q36.1	10109
208690_s_at	PDZ and LIM domain 1 (elfin)	PDLIM1	10q22-q26.3	9124
208756_at	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	EIF3S2	1p34.1	8668
208761_s_at	SMT3 suppressor of mif two 3 homolog 1 (yeast)	SUMO1	2q33	7341
208812_x_at	major histocompatibility complex, class I, C	HLA-C	6p21.3	3107
208813_at	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	GOT1	10q24.1-q25.1	2805
208846_s_at	voltage-dependent anion channel 3	VDAC3	8p11.2	7419
208848_at	alcohol dehydrogenase 5 (class III), chi polypeptide	ADH5	4q21-q25	128
208894_at	major histocompatibility complex, class II, DR alpha /// major histocompatibility complex, class II, DR alpha	HLA-DRA	6p21.3	3122
208905_at	cytochrome c, somatic	CYCS	7p15.3	54205
208906_at	Bernardinelli-Seip congenital lipodystrophy 2 (seipin) /// heterogeneous nuclear ribonucleoprotein U-like 2	BSCL2 /// HNRPUL2	11q12-q13.5 /// 11q12.3	221092 /// 26580
208910_s_at	complement component 1, q subcomponent binding protein	C1QBP	17p13.3	708
208924_at	ring finger protein 11	RNF11	1pter-p22.1	26994
208982_at	Platelet/endothelial cell adhesion molecule (CD31 antigen)	PECAM1	17q23	5175
208991_at	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3	17q21.31	6774
209003_at	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11	SLC25A11	17p13.3	8402
209026_x_at	tubulin, beta polypeptide	TUBB	6p21.33	203068
209064_x_at	poly(A) binding protein interacting protein 1	PAIP1	5p12	10605
209092_s_at	chromosome 17 open reading frame 25	C17orf25	17p13.3	51031
209094_at	dimethylarginine dimethylaminohydrolase 1	DDAH1	1p22	23576
209111_at	ring finger protein 5	RNF5	6p21.3	6048
209116_x_at	hemoglobin, beta /// hemoglobin, beta	HBB	11p15.5	3043
209140_x_at	major histocompatibility complex, class I, B	HLA-B	6p21.3	3106
209189_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	14q24.3	2353
209386_at	transmembrane 4 L six family member 1	TM4SF1	3q21-q25	4071
209392_at	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ENPP2	8q24.1	5168
209583_s_at	CD200 antigen	CD200	3q12-q13	4345
209609_s_at	mitochondrial ribosomal protein L9	MRPL9		65005
209685_s_at	protein kinase C, beta 1	PRKCB1	16p11.2	5579
209728_at	major histocompatibility complex, class II, DR beta 4 /// major histocompatibility complex, class II, DR beta 4	HLA-DRB4	6p21.3	3126
209956_s_at	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	CAMK2B	22q12|7p14.3-p14.1	816
210024_s_at	ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)	UBE2E3	2q32.1	10477
