FeatureNumber	ProbeUID	AgilentProbeID	GeneSymbol	SystematicName	Description	logFoldChange	AverageExpression	t.statistic	p.value	adjusted.p.value
280	159	A_23_P92842	SAR1B	NM_016103	Homo sapiens SAR1 gene homolog B (S. cerevisiae) (SAR1B), transcript variant 2, mRNA [NM_016103]	0.272207098	11.05914874	6.332584327	3.117E-06	0.002565195
38422	35166	A_24_P497235	BC013389	BC013389	Homo sapiens, clone IMAGE:3932143, mRNA. [BC013389]	0.479589931	9.530186997	6.324991345	3.16929E-06	0.002565195
38363	35059	A_23_P160869	LRIG2	NM_014813	Homo sapiens leucine-rich repeats and immunoglobulin-like domains 2 (LRIG2), mRNA [NM_014813]	0.318091187	9.334609941	6.203111952	4.14356E-06	0.002606827
10830	9860	A_24_P205074	AY033611	AY033611	Homo sapiens placenta immunoregulatory factor PLIF mRNA, complete cds. [AY033611]	0.817130081	15.19606988	6.040517769	5.9417E-06	0.002682354
32263	29499	A_32_P121855	THC2378865	THC2378865	Unknown	0.450466459	10.76548187	6.017297229	6.25719E-06	0.002711162
13694	12456	A_23_P300479	AY239294	AY239294	Homo sapiens proliferation-inducing protein 9 mRNA, complete cds. [AY239294]	1.388404142	8.615906704	6.014146456	6.30131E-06	0.002711162
14328	13154	A_32_P110485	THC2315024	THC2315024	Unknown	0.539456213	10.99518373	5.866273358	8.77383E-06	0.002843452
43208	39519	A_23_P52885	C11orf61	NM_024631	Homo sapiens chromosome 11 open reading frame 61 (C11orf61), mRNA [NM_024631]	0.375320796	9.228506163	5.761984627	1.10978E-05	0.003192666
2055	1750	A_32_P171386	THC2455681	THC2455681	Unknown	0.581168888	9.800470875	5.767047772	1.09716E-05	0.003192666
33259	30385	A_32_P199923	CD653123	CD653123	CD653123 AGENCOURT_14552349 NIA Human H1 Embryonic Stem Cell cDNA Library (Long) Homo sapiens cDNA clone IMAGE:30425925 5, mRNA sequence [CD653123]	0.747814431	8.132022166	5.753705732	1.13073E-05	0.003192666
451	293	A_32_P58029	A_32_P58029	A_32_P58029	Unknown	0.309468137	9.771800111	5.596375442	1.6157E-05	0.003220328
13241	12097	A_32_P224638	THC2407541	THC2407541	T47874 scarecrow-like protein - Arabidopsis thaliana {Arabidopsis thaliana;} , partial (3%) [THC2407541]	0.490967562	7.607323031	5.709040668	1.25096E-05	0.003220328
32240	29457	A_32_P211026	THC2342793	THC2342793	Unknown	0.514455362	7.783609665	5.595438371	1.61915E-05	0.003220328
13745	12553	A_32_P45297	THC2441058	THC2441058	Q81D10 (Q81D10) Phage protein, partial (21%) [THC2441058]	0.534033144	8.889343043	5.637498498	1.47141E-05	0.003220328
9807	8924	A_24_P551842	ENST00000361789	ENST00000361789	Human mitochondrial cytochrome b gene, partial cds. [M28016]	0.735943544	15.29778865	5.666718705	1.37694E-05	0.003220328
5630	5129	A_32_P223504	AA563626	AA563626	AA563626 ng47f01.s1 NCI_CGAP_Co3 Homo sapiens cDNA clone IMAGE:937945 3, mRNA sequence [AA563626]	0.946098716	7.77246385	5.589952262	1.63951E-05	0.003220328
7915	7156	A_32_P46817	THC2280638	THC2280638	RL2A_HUMAN (P46776) 60S ribosomal protein L27a, partial (24%) [THC2280638]	0.385241307	10.47119583	5.582125434	1.669E-05	0.003235307
16462	15016	A_24_P350196	CR600908	CR600908	full-length cDNA clone CS0DL005YJ22 of B cells (Ramos cell line) Cot 25-normalized of Homo sapiens (human). [CR600908]	0.808189078	13.90377869	5.57451463	1.6982E-05	0.003264646
15952	14554	A_23_P73264	AJ005814	AJ005814	Homo sapiens mRNA for hoxA7 protein. [AJ005814]	0.364528417	8.703958419	5.549072447	1.79965E-05	0.00330259
35810	32721	A_24_P316939	LRRFIP1	BC010662	Homo sapiens leucine rich repeat (in FLII) interacting protein 1, mRNA (cDNA clone IMAGE:3855382), complete cds. [BC010662]	0.469746496	11.19477045	5.503351662	1.99778E-05	0.00335408
44317	40376	A_32_P18034	THC2460959	THC2460959	Unknown	0.487946446	7.456014298	5.511461877	1.96108E-05	0.00335408
