Description	GenBank	Additional Functional Information	Swiss-Prot	ln(ratio)	SD	Function
Ketohexokinase	AI043767	i.e., hepatic fructokinase: primary metabolism of dietary fructose	Q02974	?0.45	0.06	Mitochondrial/energy metabolism
Hexokinase 1	AI535490	Mitochondrial metabolism	P05708	?0.21	0.08	Mitochondrial/energy metabolism
3-Hydroxybutyrate dehydrogenase (heart, mitochondrial)	AA817846	Mitochondrial metabolism	P29147	?0.18	0.08	Mitochondrial/energy metabolism
ATP synthase, H+transporting, mitochondrial F1 complex, gamma polypeptide 1	AI044995	Mitochondrial metabolism		0.14	0.06	Mitochondrial/energy metabolism
ESTs, similar to rat succinate dehydrogenase cytochrome b560 subunit	AA817748	Mitochondrial electron transport	Q9CZB0	0.23	0.08	Mitochondrial/energy metabolism
Branched chain keto acid dehydrogenase kinase	AA819287	Mitochondrial aa catabolism	Q00972	0.41	0.17	Mitochondrial/energy metabolism
Brain acyl-CoA hydrolase	AA955288	Fatty acid metabolism; transcription	Q64559	0.43	0.15	Mitochondrial/energy metabolism
ESTs, similar to mouse NAD(P) transhydrogenase	AA874799	Mitochondrial metabolism	Q61941	0.48	0.09	Mitochondrial/energy metabolism
Fatty acid synthase	AA875158	Synthesis of long-chain fatty acids	P12785	0.5	0.16	Mitochondrial/energy metabolism
Solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10	AA859666	Mitochondrial transporter		0.52	0.19	Mitochondrial/energy metabolism
ESTs, similar to rat protein phosphatase 1, regulatory subunit 3D	AI710557	Glycogen metabolism	O95685	0.76	0.23	Mitochondrial/energy metabolism
ATP citrate lyase	AA859689	Acetyl-CoA and lipid synthesis	P16638	0.77	0.24	Mitochondrial/energy metabolism
4-Aminobutyrate aminotransferase	AA996705	Mitochondrial function	P50554	1.13	0.24	Mitochondrial/energy metabolism
Uncoupling protein 2, mitochondrial	AA998366	Uncoupling oxidative Pi from ATP synthesis	P56500	1.21	0.39	Mitochondrial/energy metabolism
Aldolase A, fructose-bisphosphate	AA924326	Glycolysis	P05065	1.49	0.53	Mitochondrial/energy metabolism
Glutathione peroxidase 1	AA859104	Thiol anti-oxidation	P04041	0.47	0.12	Oxidative stress
Thioredoxin 2	AA817683	Thiol anti-oxidation		0.51	0.19	Oxidative stress
ESTs, similar to rat glutathione alcohol dehydrogenase class III	AA998218		P12711	0.52	0.17	Oxidative stress
ESTs, similar to mouse oxidative stress protein A170	AI502045			0.71	0.21	Oxidative stress
Peroxiredoxin 6	AA859664	Thiol anti-oxidation	O35244	0.86	0.24	Oxidative stress
