Probeset	Genbank	Gene Symbol	Nevi-Mean	Nevi-StdErr	Melanoma-Mean	Melanoma-StdErr	p-value	Description
1555167_s_at	BC020691	PBEF1	143.35	27.54	475.57	66.14	2.11E-05	pre-B-cell colony enhancing factor 1
1555505_a_at	BC027179	TYR	59.07	18.39	359.59	53.14	7.13E-06	tyrosinase (oculocutaneous albinism IA)
1555579_s_at	BC029442	PTPRM	65.71	17.99	430.62	47.44	2.36E-07	protein tyrosine phosphatase, receptor type, M
1556988_s_at	BE220618	CHD1L	45.24	4.32	82.79	8.32	8.59E-05	chromodomain helicase DNA binding protein 1-like
1557292_a_at	AW665790	MCOLN3	53.73	13.95	203.04	26.96	3.86E-05	mucolipin 3
1557797_a_at	AW611486	ZFHX1B	119.29	32.81	736.29	83.12	3.73E-07	Zinc finger homeobox 1b
1559397_s_at	BE788667	MGC3121	222.18	27.01	64.5	14.35	4.04E-07	hypothetical protein MGC3121
1559759_at	BE407830	KIFC3	33.77	3.75	16.91	1.41	5.30E-05	Kinesin family member C3
200601_at	U48734	ACTN4	507.22	37.69	126.67	14.8	3.05E-07	actinin, alpha 4
200645_at	NM_007278	GABARAP	1207.88	52.96	609.53	68.45	3.50E-05	GABA(A) receptor-associated protein
200665_s_at	NM_003118	SPARC	161.23	24.84	840.08	107.62	1.31E-07	secreted protein, acidic, cysteine-rich (osteonectin)
200747_s_at	NM_006185	NUMA1	117.66	6.55	61.99	4.79	1.67E-04	nuclear mitotic apparatus protein 1
200755_s_at	BF939365	CALU	215.37	18.31	480.09	61.73	9.97E-05	calumenin
200782_at	NM_001154	ANXA5	168.01	24.87	602.76	64.31	3.14E-05	annexin A5
200819_s_at	NM_001018	RPS15	3484.7	171.23	1321.29	108.41	4.04E-07	ribosomal protein S15
200914_x_at	BF589024	KTN1	401.66	22.08	258.91	24.14	5.80E-05	kinectin 1 (kinesin receptor)
200958_s_at	NM_005625	SDCBP	531.24	85.85	2685.15	190.75	3.11E-07	syndecan binding protein (syntenin)
201245_s_at	AL523776	OTUB1	253.01	40	65.66	8.6	9.45E-05	OTU domain, ubiquitin aldehyde binding 1
201299_s_at	NM_018221	MOBK1B	663.01	27.96	397.14	33.55	2.04E-04	MOB1, Mps One Binder kinase activator-like 1B (yeast)
201423_s_at	AL037208	CUL4A	67.56	4.63	92.51	8.24	1.74E-04	cullin 4A
201470_at	NM_004832	GSTO1	330.19	26.44	820.41	79.07	1.98E-04	glutathione S-transferase omega 1
201556_s_at	BC002737	VAMP2	816.64	46.55	374.33	37.79	2.46E-06	vesicle-associated membrane protein 2 (synaptobrevin 2)
201565_s_at	NM_002166	ID2	302.26	41.96	63.72	9.93	6.36E-05	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
201603_at	AI817061	PPP1R12A	243.4	16.62	388.04	25.47	3.85E-05	protein phosphatase 1, regulatory (inhibitor) subunit 12A
201605_x_at	NM_004368	CNN2	335.6	19.03	173.58	10.47	1.51E-05	calponin 2
201739_at	NM_005627	SGK	2806.1	150.55	5196.49	323.88	1.23E-04	serum/glucocorticoid regulated kinase
201745_at	NM_002822	PTK9	93.82	7.82	202.86	20.72	3.29E-05	PTK9 protein tyrosine kinase 9
201945_at	NM_002569	FURIN	534.63	53.88	197.37	32.99	4.31E-05	furin (paired basic amino acid cleaving enzyme)
201976_s_at	NM_012334	MYO10	548.2	30.76	1083.45	83.87	1.54E-04	myosin X
202088_at	AI635449	SLC39A6	433.84	35.97	1152.25	84.2	6.31E-05	solute carrier family 39 (zinc transporter), member 6
202158_s_at	NM_006561	CUGBP2	44.46	9.61	176.72	19.61	7.89E-05	CUG triplet repeat, RNA binding protein 2
202370_s_at	NM_001755	CBFB	144.37	13.05	198.16	20.44	9.97E-05	core-binding factor, beta subunit
202450_s_at	NM_000396	CTSK	72.84	9.69	286.3	43.78	4.40E-06	cathepsin K (pycnodysostosis)
202478_at	NM_021643	TRIB2	181.01	49.12	888.22	91.35	2.22E-08	tribbles homolog 2 (Drosophila)
202479_s_at	BC002637	TRIB2	120.79	28.52	531.08	66.94	1.54E-04	tribbles homolog 2 (Drosophila)
202572_s_at	NM_014902	DLGAP4	386.81	26.15	220.17	26.8	4.89E-05	discs, large (Drosophila) homolog-associated protein 4
202589_at	NM_001071	TYMS	45.64	5.55	101.47	15.82	5.65E-05	thymidylate synthetase
202984_s_at	AA457021	BAG5	101.97	6.07	49.21	4.78	2.90E-05	BCL2-associated athanogene 5
203004_s_at	NM_005920	MEF2D	24.9	3.15	12.75	2.12	2.69E-04	MADS box transcription enhancer factor 2, polypeptide D
203217_s_at	NM_003896	ST3GAL5	47.73	11.12	253.5	31.94	1.78E-05	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
203455_s_at	NM_002970	SAT	867.3	117.46	3602.58	239.9	3.59E-05	spermidine/spermine N1-acetyltransferase
203603_s_at	NM_014795	ZFHX1B	61.21	15.9	311.12	35.03	8.53E-06	zinc finger homeobox 1b
203735_x_at	N35896	PPFIBP1	1051.06	53.76	720.76	25.77	8.66E-06	PTPRF interacting protein, binding protein 1 (liprin beta 1)
204014_at	NM_001394	DUSP4	104.15	35.6	604.41	111.04	9.18E-05	dual specificity phosphatase 4
204086_at	NM_006115	PRAME	7.54	1.8	40.93	6.11	1.44E-06	preferentially expressed antigen in melanoma
204271_s_at	M74921	EDNRB	385.4	106.32	2757.37	286.01	1.25E-09	endothelin receptor type B
204470_at	NM_001511	CXCL1	29.15	15.59	326.34	60.65	3.33E-06	chemokine (C-X-C motif) ligand 1
204527_at	NM_000259	MYO5A	43.13	6.08	141.26	15.81	4.04E-07	myosin VA (heavy polypeptide 12, myoxin)
205051_s_at	NM_000222	KIT	111.95	24.27	926.32	91.49	8.58E-09	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
205260_s_at	NM_001107	ACYP1	87.4	13.65	126.82	16.15	4.51E-05	acylphosphatase 1, erythrocyte (common) type
205681_at	NM_004049	BCL2A1	23.59	6.12	191.78	28.24	1.56E-05	BCL2-related protein A1
205853_at	NM_015872	ZBTB7B	23.55	1.34	15.92	0.81	2.06E-05	zinc finger and BTB domain containing 7B
206180_x_at	NM_023931	MGC2474	374.29	27.72	203.26	10.6	2.17E-05	hypothetical protein MGC2474
206376_at	NM_018057	SLC6A15	15.83	3.47	118.09	16.25	2.51E-06	solute carrier family 6, member 15
206701_x_at	NM_003991	EDNRB	97.32	30.82	622.88	90.02	1.06E-08	endothelin receptor type B
208073_x_at	NM_003316	TTC3	829.04	46.89	2365.96	180.22	3.50E-05	tetratricopeptide repeat domain 3
208738_x_at	AK024823	SUMO2	1255.22	48.09	958.83	63.14	1.26E-05	SMT3 suppressor of mif two 3 homolog 2 (yeast)
209000_s_at	BC001329	8-Sep	400.44	31.3	204.32	28.57	3.45E-05	septin 8
209023_s_at	BC001765	STAG2	225.77	14.59	139.32	11.13	2.19E-04	stromal antigen 2
