# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_012809|NM_012809	mgi_symbol|Cnp|Cnp
refseq_dna|XM_217233|XM_217233	mgi_symbol|Xrn1|Xrn1
refseq_dna|NM_053904|NM_053904	mgi_symbol|Oplah|Oplah
refseq_dna|XM_347223|XM_347223	mgi_symbol|Akap9|Akap9
refseq_dna|XM_343176|XM_343176	mgi_symbol|Akap8|Akap8
refseq_dna|XM_217063|XM_217063	mgi_symbol|Aaas|Aaas
refseq_dna|NM_022402|NM_022402	mgi_symbol|Arbp|Arbp
refseq_dna|NM_001025717|NM_001025717	mgi_symbol|Arpc5|Arpc5
refseq_dna|XM_216047|XM_216047	mgi_symbol|Arpc5l|Arpc5l
refseq_dna|XM_232488|XM_232488	mgi_symbol|Atf7ip|Atf7ip
refseq_dna|NM_134389|NM_134389	mgi_symbol|Acsbg1|Acsbg1
refseq_dna|NM_001011906|NM_001011906	mgi_symbol|Acbd6|Acbd6
refseq_dna|XM_343190|XM_343190	mgi_symbol|Appl2|Appl2
refseq_dna|XM_234908|XM_234908	mgi_symbol|Ap3d1|Ap3d1
refseq_dna|NM_145090|NM_145090	mgi_symbol|Arfgap1|Arfgap1
refseq_dna|XM_232614|XM_232614	mgi_symbol|Arfgef1|Arfgef1
refseq_dna|NM_024401|NM_024401	mgi_symbol|Avil|Avil
refseq_dna|XM_343559|XM_343559	mgi_symbol|Aff3|Aff3
refseq_dna|NM_053350|NM_053350	mgi_symbol|Agps|Agps
entrezgene|BF562870|246284	mgi_symbol|Atrx|Atrx
refseq_dna|NM_012488|NM_012488	mgi_symbol|A2m|A2m
refseq_dna|NM_053957|NM_053957	mgi_symbol|Apbb3|Apbb3
refseq_dna|NM_001009676|NM_001009676	mgi_symbol|Anks3|Anks3
refseq_dna|NM_012824|NM_012824	mgi_symbol|Apoc1|Apoc1
refseq_dna|NM_138828|NM_138828	mgi_symbol|Apoe|Apoe
refseq_dna|NM_019373|NM_019373	mgi_symbol|Apom|Apom
refseq_dna|NM_012911|NM_012911	mgi_symbol|Arrb2|Arrb2
refseq_dna|NM_053397|NM_053397	mgi_symbol|Artn|Artn
refseq_dna|XM_216340|XM_216340	mgi_symbol|Arid1a|Arid1a
refseq_dna|XM_228114|XM_228114	mgi_symbol|Arid5b|Arid5b
refseq_dna|NM_021702|NM_021702	mgi_symbol|Atxn3|Atxn3
entrezgene|BF557691|363278	mgi_symbol|Atg16l1|Atg16l1
refseq_dna|NM_001007796|NM_001007796	mgi_symbol|Abcb8|Abcb8
refseq_dna|NM_023987|NM_023987	mgi_symbol|Birc3|Birc3
refseq_dna|XM_216745|XM_216745	mgi_symbol|Batf|Batf
refseq_dna|XM_341141|XM_341141	mgi_symbol|Bat2d1|Bat2d1
refseq_dna|NM_022261|NM_022261	mgi_symbol|Bspry|Bspry
refseq_dna|XM_215076|XM_215076	mgi_symbol|Bcl7c|Bcl7c
refseq_dna|NM_133416|NM_133416	mgi_symbol|Bcl2a1d|Bcl2a1d
refseq_dna|NM_001025767|NM_001025767	mgi_symbol|Blnk|Blnk
refseq_dna|XM_342529|XM_342529	mgi_symbol|Bfsp1|Bfsp1
refseq_dna|XM_342746|XM_342746	mgi_symbol|Bms1|Bms1
refseq_dna|NM_198134|NM_198134	mgi_symbol|Bst2|Bst2
refseq_dna|NM_017253|NM_017253	mgi_symbol|Bcat1|Bcat1
refseq_dna|NM_001012223|NM_001012223	mgi_symbol|Bin2|Bin2
refseq_dna|XM_215404|XM_215404	mgi_symbol|Bxdc1|Bxdc1
refseq_dna|XM_221627|XM_221627	mgi_symbol|Brwd1|Brwd1
refseq_dna|NM_212495|NM_212495	mgi_symbol|Brd2|Brd2
refseq_dna|NM_001008509|NM_001008509	mgi_symbol|Brd8|Brd8
refseq_dna|NM_053556|NM_053556	mgi_symbol|Bud31|Bud31
refseq_dna|XM_226833|XM_226833	mgi_symbol|C1qtnf3|C1qtnf3
refseq_dna|NM_001008306|NM_001008306	mgi_symbol|Calhm2|Calhm2
entrezgene|U53858|29153	mgi_symbol|Capn1|Capn1
refseq_dna|NM_031747|NM_031747	mgi_symbol|Cnn1|Cnn1
refseq_dna|NM_001011955|NM_001011955	mgi_symbol|Chst1|Chst1
refseq_dna|XM_215840|XM_215840	mgi_symbol|Cpxm1|Cpxm1
refseq_dna|XM_214856|XM_214856	mgi_symbol|Ceacam16|Ceacam16
refseq_dna|XM_341197|XM_341197	mgi_symbol|Csn1s2a|Csn1s2a
refseq_dna|NM_001024870|NM_001024870	mgi_symbol|Ctnnbl1|Ctnnbl1
refseq_dna|NM_012938|NM_012938	mgi_symbol|Ctse|Ctse
refseq_dna|XM_342935|XM_342935	mgi_symbol|Cd164l2|Cd164l2
refseq_dna|NM_031518|NM_031518	mgi_symbol|Cd200|Cd200
refseq_dna|XM_217136|XM_217136	mgi_symbol|Cd3g|Cd3g
refseq_dna|NM_019295|NM_019295	mgi_symbol|Cd5|Cd5
refseq_dna|NM_012523|NM_012523	mgi_symbol|Cd53|Cd53
refseq_dna|XM_221216|XM_221216	mgi_symbol|Cd7|Cd7
refseq_dna|XM_341509|XM_341509	mgi_symbol|Cd83|Cd83
refseq_dna|XM_213587|XM_213587	mgi_symbol|Cdc45l|Cdc45l
refseq_dna|NM_053527|NM_053527	mgi_symbol|Cdc5l|Cdc5l
refseq_dna|NM_134340|NM_134340	mgi_symbol|Clk3|Clk3
refseq_dna|NM_031242|NM_031242	mgi_symbol|Cds1|Cds1
entrezgene|BC088328|361617	mgi_symbol|Centd2|Centd2
refseq_dna|XM_223060|XM_223060	mgi_symbol|Cenpf|Cenpf
refseq_dna|NM_057151|NM_057151	mgi_symbol|Ccl17|Ccl17
refseq_dna|XM_342824|XM_342824	mgi_symbol|Ccl19|Ccl19
refseq_dna|NM_001008513|NM_001008513	mgi_symbol|Ccl21b|Ccl21b
refseq_dna|XM_220602|XM_220602	mgi_symbol|Chd3|Chd3
refseq_dna|XM_232671|XM_232671	mgi_symbol|Chd7|Chd7
refseq_dna|XM_214640|XM_214640	mgi_symbol|Cpsf5|Cpsf5
entrezgene|CB546636|683927	mgi_symbol|Cstf2|Cstf2
entrezgene|AW917690|309338	mgi_symbol|Cstf2t|Cstf2t
refseq_dna|NM_053021|NM_053021	mgi_symbol|Clu|Clu
refseq_dna|NM_001012061|NM_001012061	mgi_symbol|Cnksr3|Cnksr3
refseq_dna|XM_341700|XM_341700	mgi_symbol|Cotl1|Cotl1
entrezgene|CB544960|313496	mgi_symbol|Ccdc107|Ccdc107
refseq_dna|XM_219510|XM_219510	mgi_symbol|Ccdc85b|Ccdc85b
refseq_dna|NM_031147|NM_031147	mgi_symbol|Cirbp|Cirbp
refseq_dna|NM_012929|NM_012929	mgi_symbol|Col2a1|Col2a1
refseq_dna|XM_235308|XM_235308	mgi_symbol|Col14a1|Col14a1
refseq_dna|NM_133622|NM_133622	mgi_symbol|LOC171161|LOC171161
refseq_dna|XM_240182|XM_240182	mgi_symbol|Cpne6|Cpne6
