U133a ID	Gene Symbol	Weight
205174 s at	QPCT	-7.893
205590 at	RASGRP1	-7.89
213831 at	HLA-DQA1	-7.591
212122 at	RHOQ	-7.303
210587 at	INHBE	-7.032
39248 at	AQP3	-6.988
205990 s at	WNT5A	-6.854
202609 at	EPS8	-6.797
219159 s at	SLAMF7	-6.793
213938 at	ERC2	-6.724
204118 at	CD48	-6.706
207191 s at	ISLR	-6.422
205801 s at	RASGRP3	-6.387
212998 x at	HLA-DQB1	-6.351
212063 at	CD44	-6.321
220132 s at	CLEC2D	-6.251
221558 s at	LEF1	-6.186
219073 s at	OSBPL10	-6.165
219667 s at	BANK1	-6.147
204971 at	CSTA	-6.137
219049 at	CSGALNACT1	-6.13
201998 at	ST6GAL1	-5.816
206150 at	CD27	-5.799
211990 at	HLA-DPA1	-5.789
219926 at	POPDC3	-5.752
208683 at	CAPN2	-5.736
207734 at	LAX1	-5.673
220129 at	SOHLH2	-5.534
202252 at	RAB13	-5.527
205671 s at	HLA-DOB	-5.512
200999 s at	CKAP4	-5.435
213638 at	PHACTR1	-5.405
202746 at	ITM2A	-5.381
209942 x at	MAGEA3	-5.351
203708 at	PDE4B	-5.323
209366 x at	CYB5A	-5.277
203895 at	PLCB4	-5.25
213170 at	GPX7	-5.208
221297 at	GPRC5D	-5.158
201925 s at	CD55	-5.155
221571 at	TRAF3	-5.155
219371 s at	KLF2	-5.132
205884 at	ITGA4	-5.09
201952 at	ALCAM	-5.018
206609 at	MAGEC1	-5.014
203397 s at	GALNT3	-4.979
202947 s at	GYPC	-4.966
205632 s at	PIP5K1B	-4.953
210889 s at	FCGR2B	-4.935
209619 at	CD74	-4.926
210942 s at	ST3GAL6	5.596
215189 at	KRT86	5.599
212473 s at	MICAL2	5.687
209735 at	ABCG2	5.69
218502 s at	TRPS1	5.717
214023 x at	TUBB2B	5.721
212724 at	RND3	5.752
203474 at	IQGAP2	5.767
204014 at	DUSP4	5.772
213524 s at	G0S2	5.774
217996 at	PHLDA1	5.797
206897 at	PAGE1	5.824
218736 s at	PALMD	5.835
204734 at	KRT15	5.978
214039 s at	LAPTM4B	6.004
204533 at	CXCL10	6.053
205098 at	CCR1	6.107
221698 s at	CLEC7A	6.122
202551 s at	CRIM1	6.174
203666 at	CXCL12	6.201
204066 s at	AGAP1	6.228
44790 s at	C13orf18	6.246
204105 s at	NRCAM	6.259
220415 at	TNNI3K	6.366
209803 s at	PHLDA2	6.427
202350 s at	MATN2	6.463
203917 at	CXADR	6.479
207979 s at	CD8B	6.512
200606 at	DSP	6.739
212599 at	AUTS2	6.791
202677 at	RASA1	6.806
201445 at	CNN3	6.812
204151 x at	AKR1C1	6.908
204485 s at	TOM1L1	6.909
219181 at	LIPG	6.931
212192 at	KCTD12	7.011
221210 s at	NPL	7.063
205549 at	PCP4	7.135
209699 x at	AKR1C2	7.169
201667 at	GJA1	7.485
210095 s at	IGFBP3	7.581
206336 at	CXCL6	7.688
205898 at	CX3CR1	7.769
212094 at	PEG10	7.778
201427 s at	SEPP1	8.534
209348 s at	MAF	8.855
209395 at	CHI3L1	9.056
209160 at	AKR1C3	9.105
205336 at	PVALB	9.142
211719 x at	FN1	9.776
