GenBank accession no.	Genes coding for	OGD vs. CA (fold change)	Category
L15618	casein kinase 2 (CK2), alpha 1 polypeptide	-1.71E+00	Cell growth and protection
BC078871	Bcl-2-related ovarian killer protein (Bok)	1.81E+00	Apoptosis- or death-related genes
BC062017	heat shock protein 5 (BiP)	-1.83E+00	Signal transduction and regulation
AJ430860	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	-1.68E+00	Metabolic pathways
BC087033	cytochrome P450, subfamily 51	-1.54	Metabolic pathways
L35317	isocitrate dehydrogenase 1 (NADP+), soluble	-1.53	Metabolic pathways
AY040223	crystallin, lambda 1	-1.8	Structural proteins
D78588	diacylglycerol kinase zeta	-1.57	Others
BC086357	similar to F-box protein FBL2	-1.55	Others
BC089961	ATPase, H+ transporting, V1 subunit C1	-1.51	Others
