Probe Set	Fold	Direction	Gene Name	P Value	Function
D83004	3	Up	Ubiquitin-conjugating enzyme E2	0.05	Protein metabolism
U49869	2.1	Up	Ubiquitin	0.01	Protein metabolism
M58028	2	Up	Ubiquitin-activating enzyme E1	0.01	Protein metabolism
D32050	2.1	Down	Alanyl-tRNA synthetase	0.01	Protein metabolism
Z28407	2.2	Down	Ribosomal protein L8	0.01	Protein metabolism
X03689	2.6	Down	Elongation factor TU	0.01	Protein metabolism
L18960	2.9	Down	Protein synthesis factor (elF-4C)	0.01	Protein metabolism
X51466	2.9	Down	Elongation factor 2	0.05	Protein metabolism
D13748	3.2	Down	Eukaryotic initiation factor 4AI	0.01	Protein metabolism
J04617	3.6	Down	Elongation factor EF-1-alpha	0.05	Protein metabolism
U07550	2.3	Down	Chaperonin 10	0.01	Protein metabolism
Z49835	2.7	Down	Protein disulfide isomerase	0.01	Protein metabolism
S70004	2.8	Up	Glycogen synthase	0.01	Glucose metabolism
L05144	2.2	Up	Phosphoenolpyruvate carboxykinase	0.01	Glucose metabolism
J03810	2.3	Down	GLUT2	0.01	Glucose metabolism
X52142	4.3	Up	CTP synthetase	0.01	Glucose metabolism
M91432	3	Up	Medium-chain acyl-CoA dehydrogenase	0.05	Fatty acid metabolism
M29194	2.4	Up	Triglyceride lipase	0.01	Fatty acid metabolism
D43682	2.3	Down	Very-long-chain acyl-CoA dehydrogense	0.01	Fatty acid metabolism
D13705	2.3	Down	Fatty acids omega-hydroxylase	0.01	Fatty acid metabolism
X76717	4.1	Down	MT-1	0.01	DNA/nicotinamide metabolism
D00632	5.3	Down	Glutathione peroxidase	0.01	DNA/nicotinamide metabolism
