Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
XM_864851	Bos taurus similar to Homo sapiens similar to mouse 2310016A09Rik gene (LOC134147)	-6.538407629	-11826.86717	1808.829892	0.553990057	0
XM_864863	Bos taurus similar to Homo sapiens cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4) (CDKN2C), transcript variant 2	-5.7618093	-2407.080825	417.7647506	0.658171232	0
XM_870457	Bos taurus similar to Homo sapiens lectin, mannose-binding 2 (LMAN2)	-5.435535108	-4032.295885	741.8397279	0.751502534	0
XM_591625	Bos taurus similar to Homo sapiens PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae) (PRPF19)	-5.122187694	-3076.344634	600.5919381	0.659761918	2.376451023
XM_587330	PREDICTED: Bos taurus nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha, transcript variant 1 (NFKBIA)	-4.7736801	-7842.473636	1642.856972	0.345129197	6.398137369
XM_587872	Bos taurus similar to Homo sapiens interferon-induced protein 35 (IFI35)	-4.70942739	-919.284911	195.2009947	0.685008599	6.398137369
NM_174770	Bos taurus glutathione peroxidase 4 (phospholipid hydroperoxidase) (GPX4)	-4.57835298	-4243.74077	926.9142829	0.571820059	6.398137369
NM_001014856	Bos taurus similar to hypothetical protein HSPC111 (HSPC111)	-4.511506296	-2746.632128	608.8060058	0.658969181	6.398137369
XM_593388	Bos taurus similar to Homo sapiens caspase recruitment domain family, member 11 (CARD11)	-4.496331137	-523.8922172	116.5154881	0.481736996	6.398137369
XM_588967	PREDICTED: Bos taurus hypothetical LOC511599 (LOC511599)	-4.376371757	-273.7249281	62.54608687	0.499568066	6.398137369
XM_869942	Bos taurus similar to Homo sapiens KIAA1160 protein (KIAA1160)	-4.361858032	-1850.27266	424.1936915	0.740017096	6.398137369
