Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
CB167599	Bos taurus similar to Homo sapiens hypothetical protein Ells1 (Ells1)	9.692335033	9124.226048	941.3857463	5.439151484	0
XM_582814	Bos taurus similar to Homo sapiens glyceronephosphate O-acyltransferase (GNPAT)	9.20968975	3306.309122	359.003312	1.340755313	0
XM_592159	Bos taurus similar to Homo sapiens hypothetical protein MGC34821 (MGC34821)	8.673883916	5856.28696	675.1631699	3.953466072	0
XM_865378	Bos taurus similar to Homo sapiens polymerase (DNA-directed), epsilon 4 (p12 subunit) (POLE4)	8.662395468	4297.69722	496.1326502	2.503183047	0
NM_001014944	Bos taurus NEFA-interacting nuclear protein NIP30 (NIP30)	7.916817657	3591.68019	453.677266	1.520291268	0
BM287143	Bos taurus similar to Homo sapiens erythrocyte membrane protein band 4.1 like 4B (EPB41L4B), transcript variant 2	7.840419616	77.39433589	9.871198185	5.712527657	0
BM104989	Unidentified transcripts on BTA24 position 33768876-33769819	7.806003432	604.1256733	77.3924427	6.284280263	0
AV592965	Bos taurus similar to Homo sapiens potassium voltage-gated channel, KQT-like subfamily, member 1 (KCNQ1), transcript variant 3	7.718022544	331.8292389	42.99407484	5.320890529	0
XM_614487	Bos taurus similar to Homo sapiens R-spondin 3 homolog (Xenopus laevis) (RSPO3)	7.699112131	3173.137172	412.1432599	7.511437831	0
XM_582930	Bos taurus similar to Homo sapiens keratin 18 (KRT18), transcript variant 1	7.376352281	204.5314011	27.72798712	4.918729677	0
XM_880207	PREDICTED: Bos taurus similar to CG8580-PA, isoform A, transcript variant 2 (LOC615039)	7.190307531	1707.389263	237.4570567	1.615775278	0
CB225944	Unidentified transcripts	7.161255684	1017.526811	142.0877645	2.581078973	0
XM_582906	Bos taurus similar to Homo sapiens acyl-CoA synthetase short-chain family member 2 (ACSS2), transcript variant 1	7.154463536	12099.32314	1691.157287	2.715495908	0
XM_584354	Bos taurus similar to Homo sapiens family with sequence similarity 101, member A (FAM101A)	7.107408081	21898.905	3081.137983	4.773617865	0
XM_583004	Bos taurus similar to Homo sapiens solute carrier family 25, member 13 (citrin) (SLC25A13)	7.096544202	289.0361504	40.72914114	2.686797206	0
AV597868	Bos taurus similar to Homo sapiens ring finger protein 41 (RNF41), transcript variant 3	7.008234966	2565.830356	366.1164857	2.502208313	0
XM_584391	Bos taurus similar to Homo sapiens profilin 2 (PFN2), transcript variant 2	6.986507056	51847.30939	7421.063054	2.750648259	0
XM_615057	Bos taurus similar to Homo sapiens anaphase promoting complex subunit 7 (ANAPC7)	6.926613795	10189.39341	1471.049739	2.337007103	0
XM_616552	Bos taurus similar to Homo sapiens cylindromatosis (turban tumor syndrome) (CYLD), transcript variant 1	6.847488393	2393.902385	349.6029854	3.24215017	0
NM_001035087	Bos taurus similar to Homo sapiens heme oxygenase (decycling) 2 (HMOX2)	6.820251806	10454.72119	1532.893724	1.733580338	0
XM_869490	Bos taurus similar to Homo sapiens methylthioadenosine phosphorylase (MTAP)	6.781508246	531.8157924	78.42146217	2.604540197	0
XM_606964	Bos taurus similar to Homo sapiens cytosolic ovarian carcinoma antigen 1 (COVA1), transcript variant 2	6.772297853	95.20326961	14.05774992	3.95357717	0
NM_174602	Bos taurus solute carrier family 2 (facilitated glucose transporter), member 1 (SLC2A1)	6.750046661	1792.837683	265.6037466	3.497037947	0
XM_613938	Bos taurus similar to Homo sapiens RAB40B, member RAS oncogene family (RAB40B)	6.718895412	276.1740794	41.10408965	6.880250624	0
NM_001040541	Bos taurus similar to Homo sapiens ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) (UCHL3)	6.702706569	9414.656854	1404.605253	1.898464765	0
XM_867284	PREDICTED: Bos taurus similar to Calcium-binding mitochondrial carrier protein Aralar2 (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13) (Citrin) (LOC615470)	6.685867435	106.506164	15.93004423	3.582415856	0
XM_613436	Bos taurus similar to Homo sapiens sterile alpha motif domain containing 4A (SAMD4A)	6.677512704	872.0328942	130.5924725	2.56849653	0
CB166839	Bos taurus similar to Homo sapiens MAP/microtubule affinity-regulating kinase 1 (MARK1)	6.639897742	70.45088944	10.61023711	1.766580921	0
BE808461	Unidentified transcripts on BTA15 position 19028022-19030294	6.612082525	687.1473955	103.9229914	2.347341913	0
NM_173959	Bos taurus stearoyl-coenzyme A desaturase (SCD)	6.554700985	6353.56943	969.3149154	1.897200774	0
XM_615586	Bos taurus similar to Homo sapiens cytochrome P450, family 2, subfamily R, polypeptide 1 (CYP2R1)	6.538566139	175.9419735	26.90834195	3.801733534	0
XM_587526	Bos taurus similar to Homo sapiens guanylate cyclase 1, soluble, beta 2 (GUCY1B2)	6.528374734	12.42184899	1.902747543	2.442286816	0
CB424687	Bos taurus similar to Homo sapiens hypothetical protein DKFZp566J091 (LBH)	6.522426908	1289.886196	197.7616942	3.580042802	0
BM030567	Unidentified transcripts	6.51803796	33150.4217	5085.951003	4.03037438	0
AW464927	Bos taurus similar to Homo sapiens WD repeat domain 26 (WDR26)	6.503633244	1870.518468	287.6113086	1.685303986	0
BM105504	Bos taurus similar to Homo sapiens glucocorticoid receptor DNA binding factor 1 (GRLF1)	6.425326492	1936.893851	301.4467596	1.473668242	0
XM_587336	Bos taurus similar to Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 14 (ADAMTS14), transcript variant 2	6.410249915	23.57487331	3.677683963	2.340513213	0
XM_584597	Bos taurus similar to Homo sapiens G-2 and S-phase expressed 1 (GTSE1)	6.404289011	211.321525	32.99687516	4.049495507	0
NM_001015516	Bos taurus coiled-coil domain containing 98 (CCDC98)	6.398999679	254.7334666	39.80832621	2.374223541	0
NM_001014910	Bos taurus hemoglobin, beta, epsilon 4 (HBE4)	6.347112831	59.94330714	9.444184898	3.996895815	0
BM289321	Unidentified transcripts on BTA7 position 13126819-13127802	6.340700557	2998.927124	472.9646349	2.80457868	0
BE476952	Unidentified transcripts	6.32606747	7083.662543	1119.757666	2.294879382	0
XM_599490	PREDICTED: Bos taurus similar to ankyrin repeat and SOCS box-containing 18 (LOC521230)	6.308375948	2383.327448	377.8036483	3.148263206	0
XM_864090	PREDICTED: Bos taurus similar to forkhead box I2 (LOC613373)	6.299877462	35.13043636	5.576368203	2.763421193	0
XM_867290	Bos taurus similar to Homo sapiens acyl-CoA synthetase long-chain family member 3 (ACSL3), transcript variant 1	6.296921017	143.7134433	22.8228118	2.178613946	0
XM_878203	Bos taurus similar to Homo sapiens actin binding LIM protein 1 (ABLIM1), transcript variant 1	6.2564186	28490.121	4553.742776	4.748242505	0
CB461969	Bos taurus similar to Homo sapiens phosphodiesterase 7B (PDE7B)	6.235149549	2703.415795	433.5767369	2.699952623	0
