Transcript ID	Rat Ortholog	Rat Gene Name	Human Ortholog	ICC	ICC	TCDD 100 ng/kg/day	PCB126 1000 ng/kg/day	PCB153 1000 ìg/kg/day
NM_144755	Trib3	Tribbles homolog 3 (Drosophila)	TRIB3	18	N/C	16	13	N/C
NM_016988	Acp2	Acid phosphatase 2, lysosomal	ACP2	2	N/C	3	2	N/C
NM_021261	Tmsb10	Thymosin, beta 10	TMSB10	2	N/C	2	N/C	N/C
NM_017059	Bax	Bcl2-associated X protein	BAX	4	N/C	2	N/C	N/C
NM_019287	Apob	Apolipoprotein B	APOB	N/C	-3	-9	N/C	N/C
NM_019185	Gata6	GATA binding protein 6	GATA6	-4	-5	-3	-4	N/C
NM_013219	Cadps	Ca2+-dependent secretion activator	CADPS	N/C	-16	-3	-3	N/C
NM_012886	Timp3	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	TIMP3	-11	-3	-2	N/C	N/C
NM_017158	Cyp2c7	Cytochrome P450, family 2, subfamily c, polypeptide 7	CYP2C9	N/C	-3	-2	-2	N/C
NM_134432	Agt	Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	AGT	N/C	-6	-2	N/C	N/C
NM_053598	Nudt4	Nudix (nucleoside diphosphate linked moiety X)-type motif 4	NUDT4	-3	N/C	-2	N/C	N/C
NM_013029	St8sia3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	ST8SIA3	-2	N/C	-2	N/C	N/C
NM_012596	Lepr	Leptin receptor	LEPR	-8	N/C	-2	N/C	N/C
NM_022501	Crip2	Cysteine-rich protein 2	CRIP	-9	N/C	-3	-3	N/C
NM_031132	Tgfbr2	Transforming growth factor, beta receptor II	TGFBR2	-4	N/C	-3	N/C	N/C
NM_001025271	Sfpq	Splicing factor proline/ glutamine rich (polypyrimidine tract binding protein associated)	SFPQ	-5	N/C	-3	N/C	N/C
NM_001007235	Itpr1	Inositol 1,4,5-triphosphate receptor 1	ITPR1	-3	N/C	-3	-3	N/C
NM_053328	Bhlhb2	Basic helix-loop-helix domain containing, class B2	BHLHB2	-4	N/C	-4	N/C	N/C
NM_001013137	Cxcl14	Chemokine (C-X-C motif) ligand 14	CXCL14	-11	N/C	-4	-10	N/C
NM_031561	Cd36	Cd36 antigen	CD36	-5	N/C	-6	-4	N/C
NM_031135	Klf10	Kruppel-like factor 10	KLF10	-4	N/C	-10	N/C	N/C
NM_022251	Enpep	Glutamyl aminopeptidase	ENPEP	-2	N/C	-12	-5	N/C
NM_031648	Fxyd1	FXYD domain-containing ion transport regulator 1	FXYD1	-14	N/C	N/C	-2	N/C
NM_053698	Cited2	Cbp/p300-interacting transactivator, with Glu/ Asp-rich carboxy-terminal domain, 2	CITED2	-4	N/C	N/C	-4	N/C
