Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location
203861_s_at	actinin, alpha 2	ACTN2	1q42-q43
208212_s_at	anaplastic lymphoma kinase (Ki-1)	ALK	2p23
212970_at	Amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	APBB2	4p14
209047_at	aquaporin 1 (channel-forming integral protein, 28kDa)	AQP1	7p14
212614_at	AT rich interactive domain 5B (MRF1-like)	ARID5B	10q21.2
209988_s_at	achaete-scute complex-like 1 (Drosophila)	ASCL1	12q22-q23
202672_s_at	activating transcription factor 3	ATF3	1q32.3
208758_at	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	ATIC	2q35
203685_at	B-cell CLL/lymphoma 2	BCL2	18q21.33|18q21.3
201084_s_at	BCL2-associated transcription factor 1	BCLAF1	6q22-q23
202094_at	baculoviral IAP repeat-containing 5 (survivin)	BIRC5	17q25
202095_s_at	baculoviral IAP repeat-containing 5 (survivin)	BIRC5	17q25
201950_x_at	capping protein (actin filament) muscle Z-line, beta	CAPZB	1p36.1
212097_at	caveolin 1, caveolae protein, 22kDa	CAV1	7q31.1
216598_s_at	chemokine (C-C motif) ligand 2	CCL2	17q11.2-q21.1
214710_s_at	cyclin B1	CCNB1	5q12
208796_s_at	cyclin G1	CCNG1	5q32-q34
201327_s_at	chaperonin containing TCP1, subunit 6A (zeta 1)	CCT6A	7p11.2
205831_at	CD2 antigen (p50), sheep red blood cell receptor /// CD2 antigen (p50), sheep red blood cell receptor	CD2	1p13
209619_at	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	CD74	5q32
205758_at	CD8 antigen, alpha polypeptide (p32) /// CD8 antigen, alpha polypeptide (p32)	CD8A	2p12
204695_at	cell division cycle 25A	CDC25A	3p21
210232_at	cell division cycle 42 (GTP binding protein, 25kDa)	CDC42	1p36.1
204126_s_at	CDC45 cell division cycle 45-like (S. cerevisiae)	CDC45L	22q11.21
202246_s_at	cyclin-dependent kinase 4	CDK4	12q14
204995_at	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	CDK5R1	17q11.2
208424_s_at	cytokine induced apoptosis inhibitor 1	CIAPIN1	16q13-q21
218250_s_at	CCR4-NOT transcription complex, subunit 7	CNOT7	8p22-p21.3
201200_at	cellular repressor of E1A-stimulated genes 1	CREG1	1q24
202224_at	v-crk sarcoma virus CT10 oncogene homolog (avian)	CRK	17p13.3
204620_s_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	5q14.3
202157_s_at	CUG triplet repeat, RNA binding protein 2	CUGBP2	10p13
213920_at	cut-like 2 (Drosophila)	CUTL2	12q24.11-q24.12
209201_x_at	chemokine (C-X-C motif) receptor 4	CXCR4	2q21
211919_s_at	chemokine (C-X-C motif) receptor 4 /// chemokine (C-X-C motif) receptor 4	CXCR4	2q21
217028_at	chemokine (C-X-C motif) receptor 4	CXCR4	2q21
208905_at	cytochrome c, somatic	CYCS	7p15.3
201241_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	DDX1	2p24
202810_at	developmentally regulated GTP binding protein 1	DRG1	22q12.2
204892_x_at	eukaryotic translation elongation factor 1 alpha 1	EEF1A1	6q14.1
204767_s_at	flap structure-specific endonuclease 1	FEN1	11q12
204768_s_at	flap structure-specific endonuclease 1	FEN1	11q12
207260_at	FEV (ETS oncogene family)	FEV	2q36
203562_at	fasciculation and elongation protein zeta 1 (zygin I)	FEZ1	11q24.2
210495_x_at	fibronectin 1	FN1	2q34
211719_x_at	fibronectin 1 /// fibronectin 1	FN1	2q34
212464_s_at	fibronectin 1	FN1	2q34
216442_x_at	fibronectin 1	FN1	2q34
209189_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	14q24.3
202768_at	FBJ murine osteosarcoma viral oncogene homolog B	FOSB	19q13.32
213260_at	Forkhead box C1	FOXC1	6p25
202838_at	fucosidase, alpha-L- 1, tissue	FUCA1	1p34
202419_at	follicular lymphoma variant translocation 1	FVT1	18q21.3
208308_s_at	glucose phosphate isomerase	GPI	19q13.1
201338_x_at	general transcription factor IIIA	GTF3A	13q12.3-q13.1
215091_s_at	general transcription factor IIIA	GTF3A	13q12.3-q13.1
218345_at	hepatocellular carcinoma-associated antigen 112	HCA112	7q36.1
202957_at	hematopoietic cell-specific Lyn substrate 1	HCLS1	3q13
208812_x_at	major histocompatibility complex, class I, C	HLA-C	6p21.3
