Gene	Description	Chromosome	FPKM N	FPKM AD	Fold change	p-value	Ensembl Gene ID
PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	chr20	0.121441	3.186619	26.24005896	5.87E-06	ENSG00000124253
CD163	CD163 molecule	chr12	0.264139	4.435869	16.79369196	0.000108665	ENSG00000177575
AC_012317.1	Bac clone	chr16	0.295506	3.913347	13.24286817	0.0128902	not annotated
NUPR1	nuclear protein, transcriptional regulator, 1	chr16	7.93458	94.488709	11.90847014	0	ENSG00000176046
GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	chr16	0.262915	3.104517	11.80806344	2.23E-06	ENSG00000102886
STAB1	stabilin 1	chr3	0.407594	4.278127	10.49604999	0.00152394	ENSG00000010327
MOV10	Mov10, Moloney leukemia virus 10, homolog (mouse)	chr1	0.584517	5.521605	9.446440394	0.00022429	ENSG00000155363
MLKL	mixed lineage kinase domain-like	chr16	0.268134	2.53291	9.4464335	0.00258816	ENSG00000168404
LY6G5C	lymphocyte antigen 6 complex, locus G5C	chr6	0.275959	2.462004	8.921629662	0.00341639	ENSG00000111971
ITPR3	inositol 1,4,5-triphosphate receptor, type 3	chr6	0.27173	2.281668	8.396820373	0.00455198	ENSG00000096433
SLIT1	slit homolog 1 (Drosophila)	chr10	9.63131	0.367602	-26.20037432	5.71E-06	ENSG00000187122
PTPRO	protein tyrosine phosphatase, receptor type, O	chr12	8.77741	0.368512	-23.8185188	1.10E-05	ENSG00000151490
LPIN2	lipin 2	chr18	7.50745	0.335313	-22.38937948	1.67E-05	ENSG00000101577
ATRN	attractin	chr20	7.2984	0.333062	-21.91303721	1.92E-05	ENSG00000088812
NAG (NBAS)	neuroblastoma amplified sequence	chr2	6.54659	0.327206	-20.00754876	3.48E-05	ENSG00000151779
GPR107	G protein-coupled receptor 107	chr9	7.31149	0.383708	-19.05482815	4.75E-05	ENSG00000148358
ACOX1	acyl-CoA oxidase 1, palmitoyl	chr17	8.28587	0.442214	-18.73724034	7.37E-07	ENSG00000161533
EDEM3	ER degradation enhancer, mannosidase alpha-like 3	chr1	5.64477	0.303834	-18.57846719	5.57E-05	ENSG00000116406
ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	chr4	7.66187	0.412407	-18.57841889	5.57E-05	ENSG00000124406
VWF	von Willebrand factor	chr12	6.0129	0.32365	-18.5784026	5.57E-05	ENSG00000110799
