Probe Set ID	UniGene ID	Gene Title	Gene Symbol	Chromosomal Location
225054_x_at	Hs.293560	Archaemetzincins-2	AMZ2	chr17q24.2
209870_s_at	Hs.525718	amyloid beta (A4) precursor protein-binding A2	APBA2	chr15q11-q12
1560851_at	Hs.351856	chromosome 10 open reading frame 136	C10orf136	chr10q11.21
234457_at	Hs.512758	chromosome 6 open reading frame 12	C6orf12	chr6p21.33
1561271_at	Hs.328147	coiled-coil domain containing 144C	CCDC144C	chr17p11.2
211156_at	Hs.512599	cyclin-dependent kinase inhibitor 2A (p16)	CDKN2A	chr9p21
220335_x_at	Hs.268700	esterase 31	CES3	chr16q22.1
204373_s_at	Hs.557659	centrosomal protein 350kDa	CEP350	chr1p36.13-q41
233502_at	Hs.12723	Contactin 3 (plasmacytoma associated)	CNTN3	chr3p26
244187_at	Hs.512181	Chromosome X open reading frame 33	CXorf33	chrXq21.1
229738_at	Hs.577398	dynein, axonemal, heavy polypeptide 10	DNAH10	chr12q24.31
219651_at	Hs.317659	developmental pluripotency associated 4	DPPA4	chr3q13.13
1555118_at	Hs.441145	ectonucleoside tri-P diphosphohydrolase 3	ENTPD3	chr3p21.3
206794_at	Hs.390729	v-erb-a erythroblastic leukemia viral oncogene	ERBB4	chr2q33.3-q34
241252_at	Hs.99480	establishment of cohesion 1 homolog 2	ESCO2	chr8p21.1
209631_s_at	Hs.406094	G protein-coupled receptor 37	GPR37	chr7q31
229714_at	Hs.171001	heparan sulfate 6-O-sulfotransferase 3	HS6ST3	chr13q32.1
213598_at	Hs.533222	Dimethyladenosine transferase	HSA9761	chr5q11-q14
231500_s_at	Hs.444600	SLC7A5 pseudogene	LAT1-3TM	chr16p11.2
232953_at	Hs.566209	hypothetical LOC400723	LOC400723	chr11p15.5
239076_at	Hs.520804	Similar to cell division cycle 10 homolog	LOC441220	chr7p13
1558579_at	Hs.587089	hypothetical protein LOC642691	LOC642691	chr2p11.1
222159_at	Hs.497626	Plexin A2	PLXNA2	chr1q32.2
226766_at	Hs.13305	roundabout, axon guidance receptor, 2	ROBO2	chr3p12.3
1569124_at	Hs.267765	similar to Leucine-rich repeat protein SHOC-2	RP11-139H14.4	chr13q14.12
220232_at	Hs.379191	stearoyl-CoA desaturase 5	SCD5	chr4q21.22
214257_s_at	Hs.534212	SEC22 vesicle trafficking protein homolog B	SEC22B	chr1q21.1
242536_at	Hs.205816	Solute carrier family 17, member 1	SLC17A1	chr6p23-p21.3
220551_at	Hs.242821	solute carrier family 17, member 6	SLC17A6	chr11p14.3
1559208_at	Hs.437696	ST7 overlapping transcript 4 (non-coding RNA)	ST7OT4	chr7q31.1-7q31.2
233251_at	Hs.21379	Spermatid perinuclear RNA binding protein	STRBP	chr9q33.3
223751_x_at	Hs.120551	toll-like receptor 10	TLR10	chr4p14
217797_at	Hs.301412	ubiquitin-fold modifier conjugating enzyme 1	UFC1	chr1q23.3
229997_at	Hs.515130	vang-like 1 (van gogh, Drosophila)	VANGL1	chr1p11-p13.1
204590_x_at	Hs.592009	vacuolar protein sorting 33 homolog A	VPS33A	chr12q24.31
232964_at	Hs.488157	Williams Beuren syndrome region 19	WBSCR19	chr7p13
227621_at	Hs.446091	Wilms tumor 1 associated protein	WTAP	chr6q25-q27
240296_at	Hs.98322	Zinc finger, A20 domain containing 1	ZA20D1	chr1q21.2
226208_at	Hs.593643	zinc finger, SWIM-type containing 6	ZSWIM6	chr5q12.1
