Growth factor	probe set
VEGFA	212171_x_at
VEGFB	203683_s_at
VEGFC	209946_at
VEGFD/FIGF	NA
FGF1	1552721_a_at
FGF2	204422_s_at
FGF3	214571_at
FGF4	206783_at
FGF5	210311_at
FGF6	208417_at
FGF7	230918_at
FGF8	NA
FGF9	206404_at
FGF10	NA
FGF11	227271_at
FGF12	1562794_at
FGF13	205110_s_at
FGF14	231523_at
FGF16	NA
FGF17	NA
FGF18	231382_at
FGF19	NA
FGF20	NA
FGF21	NA
FGF22	NA
FGF23	NA
WNT1	NA
WNT2	205648_at
Wnt2B	NA
WNT3	229103_at
Wnt3A	NA
WNT4	208606_s_at
Wnt5A	205990_s_at
Wnt5B	221029_s_at
Wnt6	71933_at
Wnt7A	210248_at
Wnt7B	NA
Wnt8A	224259_at
Wnt8B	NA
Wnt9A	NA
Wnt9B	NA
Wnt10A	223709_s_at
Wnt10B	NA
WNT10	206737_at
Wnt16	224022_x_at
