SYMBOL	DESCRIPTION	LOCUS	Entrez GeneID	Affymetrix PID
ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	2q12	7535	1555613_a_at
PTK2B	PTK2B protein tyrosine kinase 2 beta	8p21.1	2185	203110_at
CD4	CD4 molecule	12pter-p12	920	203547_at
CCL4	chemokine (C-C motif) ligand 4	17q12	6351	204103_at
GMFG	glia maturation factor, gamma	19q13.2	9535	204220_at
PIM2	pim-2 oncogene	Xp11.23	11040	204269_at
LCK	lymphocyte-specific protein tyrosine kinase	1p34.3	3932	204891_s_at
LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	5q33.1-qter	3937	205269_at
CD3E	CD3e molecule, epsilon (CD3-TCR complex)	11q23	916	205456_at
BTK	Bruton agammaglobulinemia tyrosine kinase	Xq21.33-q22	695	205504_at
BLK	B lymphoid tyrosine kinase	8p23-p22	640	206255_at
TTN	titin	2q31	7273	208195_at
FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	1p36.2-p36.1	2268	208438_s_at
TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	3p22	7048	208944_at
PRKCB	protein kinase C, beta	16p11.2	5579	209685_s_at
PRKCQ	protein kinase C, theta	10p15	5588	210038_at
ITK	IL2-inducible T-cell kinase	5q31-q32	3702	211339_s_at
FYN	FYN oncogene related to SRC, FGR, YES	6q21	2534	212486_s_at
PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	10p12.2	5305	212829_at
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	19q13.1-q13.4	11184	214339_s_at
CD7	CD7 molecule	17q25.2-q25.3	924	214551_s_at
TRAT1	T cell receptor associated transmembrane adaptor 1	3q13	50852	217147_s_at
PRKCH	protein kinase C, eta	14q22-q23	5583	218764_at
FYB	FYN binding protein (FYB-120/130)	5p13.1	2533	227266_s_at
JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	19p13.1	3718	227677_at
MLKL	mixed lineage kinase domain-like	16q22.3	197259	238025_at
SYK	spleen tyrosine kinase	9q22	6850	244023_at
STK10	serine/threonine kinase 10	5q35.1	6793	40420_at
