Rank	Accession no.	Gene name	HEK-TLR2 + Hp Fold	HEK + HP Fold
1	NM_004591	Small inducible cytokine subfamily A (Cys-Cys), member 20	71.4	1.3
2	NM_002090	GRO3 oncogene	28.2	1.1
3	AF043337	Interleukin 8	26.6	3.7
4	NM_000584	Interleukin 8	25.2	1.7
5	NM_001511	GRO1 oncogene (melanoma growth stimulating activity, alpha)	24	2
6	M57731	GRO2 oncogene	12.4	1.4
7	NM_003897	Immediate early response 3	12.1	3
8	AI078167	IkB alpha	9.3	1.6
9	NM_002852	Pentaxin-related gene, rapidly induced by IL-1 beta	8	1.4
10	NM_013332	Hypoxia-inducible protein 2	7.7	3.3
11	NM_006290	Tumor necrosis factor, alpha-induced protein 3	6.8	1.5
12	AI738896	Tumor necrosis factor, alpha-induced protein 3	6.3	1.8
13	AL574096	Tissue factor pathway inhibitor 2	6.3	2.1
14	AJ224869	Chemokine (C-X-C motif), receptor 4 (fusin)	5.9	2.1
15	L27624	Tissue factor pathway inhibitor 2	5.9	2.1
16	L01639	Chemokine (C-X-C motif), receptor 4 (fusin)	5.2	2.3
17	NM_002317	Lysyl oxidase	5.1	2
18	NM_005391	Pyruvate dehydrogenase kinase, isoenzyme 3	4.2	1.4
19	NM_000963	COX2	3.9	2.8
20	BE503425	Lysyl oxidase	3.3	1.6
21	L16895	Lysyl oxidase	3.2	1.9
22	NM_002502	NF-kB 2 (p49/p100)	3	1.4
23	NM_002993	Small inducible cytokine subfamily B (Cys-X-Cys), member 6	2.9	1.2
24	NM_006058	Nef-associated factor 1	2.8	1.6
25	AF348491	Chemokine (C-X-C motif), receptor 4 (fusin)	2.6	2
26	NM_006509	NF-kB 3 (avian)	2.6	1.7
27	AL080184	Insulin-induced protein 2	2.5	1.8
28	BG292233	Insulin-induced gene 1	2.3	1.4
29	AF180519	GABA(A) receptors associated protein like 3	2.2	1.5
30	BF059313	Kinesin family member 5C	2.2	1.8
31	NM_005542	Insulin-induced gene 1	2.2	1.4
32	BE300521	Insulin-induced gene 1	2.2	1.4
33	AF132818	Kruppel-like factor 5 (intestinal)	2.1	1.8
34	NM_003082	Small nuclear RNA activating complex, polypeptide 1, 43 kDa	2.1	1.3
35	AL023584	Contains STSs and GSS	2	1.3
36	NM_030817	Hypothetical protein DKFZp434F0318	2	1.2
37	NM_018357	Hypothetical protein FLJ11196	2	1.4
