Probeset ID	Gene Symbol	Entrez ID	Gene Name
1552257_a_at	TTLL12	23170	tubulin tyrosine ligase-like family, member 12
1552631_a_at	MAP3K6	9064	mitogen-activated protein kinase kinase kinase 6
1553540_a_at	SLC29A2	3177	solute carrier family 29 (nucleoside transporters), member 2
1555952_at	SLC19A1	6573	solute carrier family 19 (folate transporter), member 1
1558021_at	RABEPK	10244	Rab9 effector protein with kelch motifs
1560303_at	FKBP4	2288	FK506 binding protein 4, 59kDa
200658_s_at	PHB	5245	prohibitin
200903_s_at	AHCY	191	adenosylhomocysteinase
201478_s_at	DKC1	1736	dyskeratosis congenita 1, dyskerin
201489_at	PPIF	10105	peptidylprolyl isomerase F
201562_s_at	SORD	6652	sorbitol dehydrogenase
202212_at	PES1	23481	pescadillo homolog 1, containing BRCT domain (zebrafish)
202246_s_at	CDK4	1019	cyclin-dependent kinase 4
202345_s_at	FABP5	2171	fatty acid binding protein 5 (psoriasis-associated)
202384_s_at	TCOF1	6949	Treacher Collins-Franceschetti syndrome 1
202431_s_at	MYC	4609	v-myc myelocytomatosis viral oncogene homolog (avian)
202509_s_at	TNFAIP2	7127	tumor necrosis factor, alpha-induced protein 2
202934_at	HK2	3099	hexokinase 2
203119_at	CCDC86	79080	coiled-coil domain containing 86
203201_at	PMM2	5373	phosphomannomutase 2
203701_s_at	TRMT1	55621	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)
203784_s_at	DDX28	55794	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
203866_at	NLE1	54475	notchless homolog 1 (Drosophila)
204027_s_at	METTL1	4234	methyltransferase like 1
204493_at	BID	637	BH3 interacting domain death agonist
205179_s_at	ADAM8	101	ADAM metallopeptidase domain 8
207396_s_at	ALG3	10195	asparagine-linked glycosylation 3
208676_s_at	PA2G4	5036	proliferation-associated 2G4, 38kDa
208910_s_at	C1QBP	708	complement component 1, q subcomponent binding protein
209302_at	POLR2H	5437	polymerase (RNA) II (DNA directed) polypeptide H
212279_at	TMEM97	27346	transmembrane protein 97
212411_at	IMP4	92856	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)
212432_at	GRPEL1	80273	GrpE-like 1, mitochondrial (E. coli)
216226_at	TAF4B	6875	TAF4b RNA polymerase II
218096_at	AGPAT5	55326	1-acylglycerol-3-phosphate O-acyltransferase 5
218199_s_at	NOL6	65083	nucleolar protein family 6 (RNA-associated)
218305_at	IPO4	79711	importin 4
218481_at	EXOSC5	56915	exosome component 5
218837_s_at	UBE2D4	51619	ubiquitin-conjugating enzyme E2D 4 (putative)
219098_at	MYBBP1A	10514	MYB binding protein (P160) 1a
221098_x_at	UTP14A	10813	UTP14, U3 small nucleolar ribonucleoprotein, homolog A
221900_at	COL8A2	1296	collagen, type VIII, alpha 2
223055_s_at	XPO5	57510	exportin 5
224500_s_at	MON1A	84315	MON1 homolog A (yeast)
224903_at	CIRH1A	84916	cirrhosis, autosomal recessive 1A (cirhin)
226923_at	SCFD2	152579	sec1 family domain containing 2
