Symbol	Synonym(s)	Entrez Gene Name	Affymetrix
ADAM15	MDC15, METARGIDIN, tMDCVI	ADAM metallopeptidase domain 15	217007_s_at
ARAF	1200013E08Rik, ARAF1, AW495444, PKS, PKS2, RAFA1	v-raf murine sarcoma 3611 viral oncogene homolog	201895_at
ASNS	AS, ASPARAGINE SYNTHETASE, MGC93148, TS11	asparagine synthetase	205047_s_at
B4GALT5	9430078I07Rik, AW049941, AW539721, BETA4-GALT-IV, beta4Gal-T5, beta4GalT-V, gt-V, MGC138470	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	221485_at
CEACAM1	bb-1, BGP, BGP1, BGPA, Bgpd, BGPI, BGPR, C-CAM, C-CAM1, CCAM105, CD66, CD66A, Cea-1, Cea-7, CEACAM1-4L, ECTO ATPASE, HV2, mCEA1, Mhv-1, MHVR, MHVR1, mmCGM1, mmCGM1a, mmCGM2, Pp120	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	211889_x_at
CXCL3	Cinc-2, CINC-2a, CINC-2b, Cinc3, Cxcl2, Dcip1, Gm1960, GRO ALPHA, GRO BETA, GRO GAMMA, GRO1, Gro2, GRO3, GROA, GROb, GROg, KC, MGSA, Mgsa-b, MIP-2, MIP-2a, MIP-2b, Mip2 alpha, N51, Scyb, Scyb2, SCYB3	chemokine (C-X-C motif) ligand 3	207850_at
CYCS (includes EG:54205)	CYC, CYCS, CYCSA, CYCT, CYCTA, CYTC, CYTOCHROME C, HCS, MGC93634, T-Cc	cytochrome c, somatic	208905_at
DRD2	D2, D2 DOPAMINE RECEPTOR, D2a dopamine receptor, D2DR, D2R, D2S, DOPAMINE D2 RECEPTOR, Dr2	dopamine receptor D2	216924_s_at
EGFR	9030024J15RIK, AI552599, EGF RECEPTOR, EGF-TK, EGFR1, EGFRec, ER2, ERBB, ERBB1, Errp, HER1, MENA, PIG61, wa-2, Wa5	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	201983_s_at
FBLN1	FBLN, FIBULIN 1	fibulin 1	207834_at
FIS1	2010003O14Rik, CGI-135, Riken cDNA 2010003o14, TTC11	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	218034_at
FOXC1	ARA, ch, fkh-1, FKHL7, FLJ11796, FLJ11796 FIS, FREAC-3, frkhda, IGDA, IHG1, IRID1, Mf1, Mf4, rCG 44068, rCG_44068	forkhead box C1	213260_at
FTL	FERRITIN LIGHT CHAIN, FTL1, Ftl2, L-FERRITIN, MGC102130, MGC102131, MGC118079, MGC118080, MGC71996, RGD1560687, RGD1561055, RGD1566189, YB24D08	ferritin, light polypeptide	201265_at
GFRA1	AU042498, GDNFR, Gdnfr alpha, GDNFRA, GFR-ALPHA-1, GRFA1, MGC23045, Ret, RET1L, RETL1, TRNR1	GDNF family receptor alpha 1	205696_s_at
ITGB4	AA407042, C230078O20, CD104, INTEGRIN-BETA 4	integrin, beta 4	204989_s_at
KL	ALPHA KLOTHO, alpha-kl, KLOTHO	klotho	205978_at
LEF1	3000002B05, AI451430, DKFZp586H0919, LEF, TCF/LEF, TCF1ALPHA	lymphoid enhancer-binding factor 1	221557_s_at
LMO4	A730077C12Rik, Crp3, Etohi4, MGC105593	LIM domain only 4	209205_s_at
LPAR2	EDG-4, FLJ93869, IPA2, LPA receptor 2, LPA2, LPA2 RECEPTOR, Pbx4, RGD1561336	lysophosphatidic acid receptor 2	206723_s_at
MKI67	D630048A14Rik, KI-67, KIA, MIB1, MIKI67A, MKI67A	antigen identified by monoclonal antibody Ki-67	212022_s_at
NAIP	AV364616, BIRC1, BIRC1A, Birc1b, Birc1e, BIRC1F, D13Lsd1, FLJ18088, FLJ42520, FLJ58811, LGN1, LOC652755, Naip-rs1, Naip-rs3, Naip-rs4, Naip-rs4A, Naip1, Naip2, Naip5, Naip6, NLRB1, psiNAIP, RGD1559914	NLR family, apoptosis inhibitory protein	204861_s_at
PPP1R15A (includes EG:23645)	9630030H21, GADD34, MYD116, Myeloid Differentiation, Peg-3, PP1 REGULATORY SUBUNIT, Ppp1r15a	protein phosphatase 1, regulatory (inhibitor) subunit 15A	202014_at
RARB	A830025K23, BETA RAR, HAP, LOC51036, NR1B2, RAR BETA, RAR-EPSILON, RRB2	retinoic acid receptor, beta	208530_s_at
TEK	AA517024, CD202B, Hyk, MGC139569, TIE-2, VMCM, VMCM1	TEK tyrosine kinase, endothelial	206702_at
TTF1	AV245725, RGD1565673, Ttf-I	transcription termination factor, RNA polymerase I	204772_s_at
USF2	bHLHb12, FIP, MGC91056	upstream transcription factor 2, c-fos interacting	202152_x_at
