mouse_unigeneid	mouse_mean_by_grade	human_unigeneid	human mean_by_grade	differ_by_grade_human_mouse_NB	mouse_genetitle	human_genetitle	mouse_genesymbol	human_gene_symbol
Mm.214682	1	Hs.4988	4	3	mannoside acetylglucosaminyltransferase 5	hypothetical LOC151162	Mgat5	LOC151162
Mm.322186	1	Hs.10842	4	3	similar to RAN, member RAS oncogene family /// similar to RAN, member RAS oncogene family /// RAN, member RAS oncogene family /// RAS-like, family 2, locus 9	RAN, member RAS oncogene family	LOC100045999 /// LOC640204 /// Ran /// Rasl2-9	RAN
Mm.96	1	Hs.513867	4	3	integrin alpha E, epithelial-associated	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	Itgae	ITGAE
Mm.422673	1	Hs.356050	4	3	RIKEN cDNA 1700034I23 gene	FUN14 domain containing 2	1700034I23Rik	FUNDC2
Mm.29405	1	Hs.474949	4	3	predicted gene, ENSMUSG00000049832 /// ring-box 1	ring-box 1	ENSMUSG00000049832 /// Rbx1	RBX1
Mm.297482	1	Hs.374596	4	3	predicted gene, EG627798 /// similar to tumor protein, translationally-controlled 1 /// tumor protein, translationally-controlled 1	tumor protein, translationally-controlled 1	EG627798 /// LOC632454 /// Tpt1	TPT1
Mm.398306	1	Hs.5308	4	3	RIKEN cDNA 2810422J05 gene /// predicted gene, EG383341 /// predicted gene, EG665823 /// predicted gene, OTTMUSG00000004411 /// ubiquitin A-52 residue ribosomal protein fusion product 1	ubiquitin A-52 residue ribosomal protein fusion product 1	2810422J05Rik /// EG383341 /// EG665823 /// OTTMUSG00000004411 /// Uba52	UBA52
Mm.477808	1	Hs.130838	4	3	histocompatibility 2, blastocyst	major histocompatibility complex, class I, B /// MHC class I polypeptide-related sequence A	H2-Bl	HLA-B /// MICA
Mm.477808	1	Hs.181244	3.949735	2.949735	histocompatibility 2, blastocyst	major histocompatibility complex, class I, A /// major histocompatibility complex class I HLA-A29.1 /// major histocompatibility complex, class I, B /// major histocompatibility complex, class I, G /// major histocompatibility complex, class I,	H2-Bl	HLA-A /// HLA-A29.1 /// HLA-B /// HLA-G /// HLA-H /// HLA-J
Mm.477808	1	Hs.654404	3.948413	2.948413	histocompatibility 2, blastocyst	major histocompatibility complex, class I, B	H2-Bl	HLA-B
Mm.446687	1	Hs.159492	3.936508	2.936508	sacsin	spastic ataxia of Charlevoix-Saguenay (sacsin)	Sacs	SACS
Mm.2477	1.058824	Hs.37044	3.960317	2.901494	peripherin	peripherin	Prph	PRPH
Mm.88795	1.058824	Hs.181244	3.949735	2.890912	histocompatibility 2, Q region locus 10	major histocompatibility complex, class I, A	H2-Q10	HLA-A
Mm.444348	1.117647	Hs.194709	4	2.882353	paraneoplastic antigen MA1	paraneoplastic antigen MA1	Pnma1	PNMA1
Mm.426290	1	Hs.214043	3.825397	2.825397	coiled-coil domain containing 90A	Coiled-coil domain containing 90A, mRNA (cDNA clone MGC:16830 IMAGE:3886144)	Ccdc90a	CCDC90A
Mm.40679	1	Hs.90790	3.809524	2.809524	RIKEN cDNA 1810010H24 gene	chromosome 17 open reading frame 58	1810010H24Rik	C17orf58
Mm.158150	1	Hs.185910	3.722222	2.722222	haloacid dehalogenase-like hydrolase domain containing 1A	haloacid dehalogenase-like hydrolase domain containing 1A	Hdhd1a	HDHD1A
Mm.466882	1.235294	Hs.654404	3.948413	2.713119	histocompatibility 2, K1, K region	major histocompatibility complex, class I, C	H2-K1	HLA-C
Mm.458319	1	Hs.437647	3.555556	2.555556	ankyrin repeat and zinc finger domain containing 1 /// galactosidase, beta 1-like	ankyrin repeat and zinc finger domain containing 1	Ankzf1 /// Glb1l	ANKZF1
Mm.474527	1	Hs.408730	3.515873	2.515873	contactin associated protein-like 1	contactin associated protein 1	Cntnap1	CNTNAP1
