Fold Increase	Map	Gene	Gene Identity
2.02	17q	CBX1	chromobox homolog 1 (HP1 beta homolog Drosophila )
2.2	3p21.31	SPCS1	signal peptidase complex subunit 1 homolog (S. cerevisiae)
2.34	17q23.1?q23.3	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
2.4	Xq26.1?q27.2	HTATSF1	HIV?1 Tat specific factor 1
2.5	22q12.3	YWHAH	tyrosine 3?monooxygenase/tryptophan 5?monooxygenase activation protein, eta polypeptide
2.54	20p11.22?p11.21	C20orf3	chromosome 20 open reading frame 3
2.55	2q33?q34	EEF1B2	eukaryotic translation elongation factor 1 beta 2
2.71	8p21.2	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4
2.73	7p15?p12	ACTB	actin, beta
2.79	15q13?q14	SCG5	secretogranin V (7B2 protein)
2.85	6p21.1	SRF	serum response factor (c?fos serum response element?binding transcription factor)
2.86	17q21.3	NME1	non?metastatic cells 1, protein (NM23A) expressed in
2.91	8p21?p12	EPHX2	epoxide hydrolase 2, cytoplasmic
2.93	9q22?q31	ZNF189	zinc finger protein 189
2.98	13q14.3	ITM2B	integral membrane protein 2B
3	8q21	TPD52	tumor protein D52
3.02	14q24.3	FOS	FBJ murine osteosarcoma viral oncogene homolog
3.11	1q21	MLLT11	myeloid/lymphoid or mixed?lineage leukemia (trithorax homolog, Drosophila); translocated to, 11
3.12	9q34.11	RABEPK	Rab9 effector protein with kelch motifs
3.34	9q21.13	RFK	riboflavin kinase
3.34	1p36.1	DDOST	dolichyl?diphosphooligosaccharide?protein glycosyltransferase
3.4	Xp11.2	RBM3	RNA binding motif (RNP1, RRM) protein 3
3.42	7q21Å]q22	SGCE	sarcoglycan, epsilon
3.43	11p13	RCN1	reticulocalbin 1, EF?hand calcium binding domain
3.44	10pterÅ]q22.1	KIF5B	kinesin family member 5B
3.47	12q22Å]q23	DUSP6	dual specificity phosphatase 6
3.51	20q13.2Å]q13.3	GNAS	GNAS complex locus
3.66	10q11.21	BMS1	BMS1 homolog, ribosome assembly protein (yeast)
3.68	9q34.11	ARPC5L	actin related protein 2/3 complex, subunit 5?like
3.7	19p13.2	ZNF177	zinc finger protein 177
3.74	10p13	CELF2	CUGBP, Elav?like family member 2
3.76	19q13.1	SPINT2	serine peptidase inhibitor, Kunitz type, 2
3.9	18p11.2	IMPA2	inositol(myo)?1(or 4)?monophosphatase 2
3.91	14q24.1Å]q24.3	ARG2	arginase, type II
3.92	14q11.2	IRF9	interferon regulatory factor 9
3.95	1q21	SHC1	SHC (Src homology 2 domain containing) transforming protein 1
4.21	19p13.3	MIDN	midnolin
4.3	12q12Å]q13	CD63	CD63 molecule
4.33	1p31.3	LEPROT	leptin receptor overlapping transcript
4.47	12q12	SLC38A1	solute carrier family 38, member 1
4.51	11p11	GNG3	guanine nucleotide binding protein (G protein), gamma 3
4.59	5q13	THBS4	thrombospondin 4
5.05	1q21.3	PBXIP1	pre?B?cell leukemia homeobox interacting protein 1
5.06	15q21Å]q22.2	B2M	beta?2?microglobulin
5.53	1p31.2Å]p31.1	GADD45A	growth arrest and DNA?damage?inducible, alpha
5.91	Xq13.1Å]q28	IL13RA2	interleukin 13 receptor, alpha 2
6.02	9q13	PIP5K1B	phosphatidylinositol?4?phosphate 5?kinase, type I, beta
6.05	3q13.33	SLC15A2	solute carrier family 15 (H+/peptide transporter), member 2
6.74	6q23	SGK1	serum/glucocorticoid regulated kinase 1
6.8	19q13.32	FOSB	FBJ murine osteosarcoma viral oncogene homolog B
7.09	12q24.13	ERP29	endoplasmic reticulum protein 29
7.15	15q24Å]q25	CTSH	cathepsin H
7.73	13q13	DCLK1	DoublecortinÅ]like kinase 1
8.72	12q21	NTS	neurotensin
9.1	6p21.3	HLAÅ]B	major histocompatibility complex, class I, B
9.58	6q27	THBS2	thrombospondin 2
10.57	10q25	DUSP5	dual specificity phosphatase 5
11.08	7q22	VGF	VGF nerve growth factor inducible
11.78	8q23Å]q24	PENK	proenkephalin
