Description	GenBank	Additional Functional Information	Swiss-Prot	ln(ratio)	SD	Function
ESTs, similar to human cAMP-specific phosphodiesterase (PDE4D) mRNA	AI029492		Q08499	?0.45	0.08	Signal transduction
ESTs, similar to mouse Tnf receptor-associated factor 3 (Traf3) gene	AA965179	TNF signaling	Q60803	?0.30	0.15	Signal transduction
Receptor-like tyrosine kinase	AI030581		Q9QW24	0.21	0.09	Signal transduction
Guanine nucleotide-binding protein G-s, alpha subunit, GenBank no. U51565	AA859005			0.29	0.11	Signal transduction
ESTs, similar to mouse QKI protein	AA997832	RNA binding, nerve myelination, embryo survival	Q61110	0.32	0.15	Signal transduction
ESTs, similar to mouse chimerin 2	AA866393	GTPase activating protein	Q03070	0.32	0.1	Signal transduction
ESTs, similar to mouse SrcSH3 binding protein	AI059117		Q9QWY8	0.33	0.14	Signal transduction
ESTs, similar to mouse diacylglycerol kinase, delta	AA963250		Q16760	0.34	0.16	Signal transduction
2?,3?-Cyclic nucleotide 3?-phosphodiesterase	AA963596			0.38	0.07	Signal transduction
ESTs, similar to mouse hematopoietic cell specific Lyn substrate 1	AA925692	Tyrosine kinase substrate	P49710	0.41	0.14	Signal transduction
Serine threonine kinase pim3	AA998554		O70444	0.42	0.11	Signal transduction
ESTs, similar to mouse COP9 homolog, subunit 4	AA900596			0.59	0.26	Signal transduction
Serine/threonine protein kinase TAO2	AI716111		Q9JLS3	0.71	0.05	Signal transduction
Zipper (leucine) protein kinase	AA874981	MAPKKK12	Q12852	0.73	0.16	Signal transduction
PCTAIRE-1 protein kinase, alternatively spliced	AA956259	ser/thr kinase		1	0.21	Signal transduction
Nuclear transcription factor-Y beta	AA817843	Transcription activator of collagen I, etc	P25208	?0.39	0.1	Transcription
Matrin 3	AI072656		P43244	?0.36	0.15	Transcription
ESTs, similar to mouse Msx-interacting-zinc finger (Miz1)	AA819514	Transcription factor interacting with Msx2	Q54987	?0.28	0.13	Transcription
ESTs, similar to mouse transcription factor AP-2 gamma	AI045183		Q61312	?0.27	0.1	Transcription
ESTs, similar to mouse heat shock factor 2	AA859671	Transcription activator binding heat shock promoter	P38533	?0.26	0.1	Transcription
ESTs, similar to mouse DNA-directed RNA polymerase I	AI059293	Transcription of rRNA	P97304	?0.24	0.05	Transcription
ESTs, similar to rat general transcription factor II I	AA819652			?0.23	0.1	Transcription
ESTs, similar to mouse transcription factor Sp1	AA818466		O89090	?0.22	0.1	Transcription
ESTs, similar to human mRNA for pur alpha	AI713633	Transcription activator	Q00577	0.24	0.1	Transcription
General transcription factor IIB	AA925106		P29053	0.26	0.09	Transcription
NonO/p54nrb homolog	AA818542	Transcription, mRNA splicing	O54725	0.28	0.08	Transcription
ESTs, similar to human transcription factor IIE	AI059059			0.3	0.14	Transcription
Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	AA963458		Q99967	0.3	0.13	Transcription
ESTs, similar to mouse Suv39h histone methyltransferase	AA997899	Transcriptional repression	O43463	0.31	0.11	Transcription
CCCTC-binding factor (zinc finger protein)	AI030850	Transcription repressor or activator	Q9R1D1	0.37	0.17	Transcription
ESTs, similar to rat general transcription factor II I	AA900046	Transcription repressor involved in cell cycle	Q9JI57	0.37	0.14	Transcription
ESTs, similar to mouse MYC-associated zinc finger protein	AA997064	Transcription activator	P56671	0.38	0.1	Transcription
Aryl hydrocarbon receptor	AA859478	Transcriptional factor	P41738	0.39	0.18	Transcription
ESTs, similar to mouse cAMP-dependent transcription factor ATF-1	AA957629			0.43	0.18	Transcription
ESTs, similar mouse to thyroid hormone receptor-associated protein	AA957565	Transcription coactivation	O09000	0.47	0.23	Transcription
ESTs, similar to mouse E2F transcription factor 4	AA819041	Activation of cell cycle progression genes	Q16254	0.53	0.2	Transcription
Histone deacetylase 3	AI044356		O15379	0.56	0.11	Transcription
ESTs, similar to mouse suppressor of variegation 3–9 homolog 1	AA963141	Histone methyltransferase, transcription repression	O54864	0.59	0.26	Transcription
ESTs, similar to rat retinoic acid receptor RXR-alpha	AA925720	Retinoic acid regulation of transcription	Q05343	0.86	0.4	Transcription
