parent probe ID	parent OGS	number of children in A375 network	number of A375 network children with abs cor in Bogonovic data of ?0.4	percentage of A375 network children with abs cor in Bogonovic data of ?0.4
222680_s_at	DTL	56	27	48.21428571
219158_s_at	NAA15	84	38	45.23809524
216971_s_at	PLEC	95	39	41.05263158
223381_at	NUF2	55	20	36.36363636
212016_s_at	PTBP1	81	28	34.56790123
224753_at	CDCA5	61	21	34.42622951
209421_at	MSH2	64	19	29.6875
205053_at	PRIM1	56	16	28.57142857
204033_at	TRIP13	55	15	27.27272727
218979_at	RMI1	64	17	26.5625
221521_s_at	GINS2	73	19	26.02739726
218349_s_at	ZWILCH	64	16	25
218726_at	HJURP	56	14	25
218602_s_at	HAUS6	68	16	23.52941176
222843_at	FIGNL1	79	18	22.78481013
200646_s_at	NUCB1	75	14	18.66666667
203976_s_at	CHAF1A	50	8	16
209832_s_at	CDT1	50	8	16
218662_s_at	NCAPG	50	8	16
203968_s_at	CDC6	51	5	9.803921569
221755_at	EHBP1L1	67	6	8.955223881
218585_s_at	DTL	51	4	7.843137255
204768_s_at	FEN1	52	4	7.692307692
203967_at	CDC6	56	4	7.142857143
204825_at	MELK	59	4	6.779661017
219787_s_at	ECT2	75	5	6.666666667
224060_s_at	DPH5	56	3	5.357142857
202362_at	RAP1A	75	4	5.333333333
202589_at	TYMS	103	4	3.883495146
215071_s_at	HIST1H2AC	58	2	3.448275862
221677_s_at	NA	50	1	2
218883_s_at	MLF1IP	102	2	1.960784314
201890_at	RRM2	73	1	1.369863014
1554696_s_at	TYMS	54	0	0
201202_at	PCNA	54	0	0
201267_s_at	PSMC3	52	0	0
202107_s_at	MCM2	52	0	0
202413_s_at	USP1	70	0	0
202779_s_at	UBE2S	66	0	0
203213_at	CDK1	54	0	0
204023_at	RFC4	58	0	0
204026_s_at	ZWINT	67	0	0
205339_at	STIL	55	0	0
206445_s_at	PRMT1	70	0	0
209229_s_at	SAPS1	50	0	0
209773_s_at	RRM2	63	0	0
216237_s_at	MCM5	56	0	0
218039_at	NUSAP1	50	0	0
219148_at	PBK	90	0	0
