GeneBank ID	Gene title	Gene symbol	Experiment 1	Experiment 2
NM_005214	Cytotoxic T-lymphocyte-associated protein 4	CTLA4	4.29	4
AB046817	Synaptotagmin-like 2	SYTL2	4.29	4
BF196943	Ubiquitin-specific peptidase 53	USP53	3.03	2.64
NM_016235	G protein-coupled receptor, family C, group 5, member B	GPRC5B	2.83	2.64
BG034972	Melanocortin 1 receptor	MC1R	2.83	2.83
AI967987	Melanoma-associated antigen (mutated) 1-like 1	MUM1L1	2.83	2.64
D14826	cAMP-responsive element modulator	CREM	2.64	2.64
AB007941	Receptor-interacting protein kinase 5	RIPK5	2.64	1.74
BE881590	ets variant gene 1	ETV1	2.64	1.62
AU151107	CDNA FLJ12909 fis, clone NT2RP2004400	—	2.64	1.87
AW163148	Myristoylated alanine-rich protein kinase C substrate	MARCKS	2.46	1.74
NM_014705	Dedicator of cytokinesis 4	DOCK4	2.46	2
NM_002852	Pentraxin-related gene, rapidly induced by IL-1 â	PTX3	2.46	2.64
R61374	Hairy/enhancer-of-split related with YRPW motif 1	HEY1	2.46	2.14
NM_006379	Semaphorin 3C	SEMA3C	2.3	1.74
AY014180	SMAD-specific E3 ubiquitin protein ligase 2	SMURF2	2.3	2
AI754416	CDC42 effector protein (Rho GTPase binding) 3	CDC42EP3	2.3	2.14
BF978541	Protein kinase D3	PRKD3	2.3	2.46
AI277662	Transient receptor potential cation channel, M, member 1	TRPM1	2.3	1.74
AI949392	Semaphorin 4C	SEMA4C	2.3	1.62
AI857639	Phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1	2.14	1.62
AW006123	F-box protein 32	FBXO32	2.14	2.14
AI744591	Chromosome 21 open reading frame 63	C21orf63	2.14	2.83
NM_005195	CCAAT/enhancer binding protein (C/EBP), delta	CEBPD	2	2.14
NM_002514	Nephroblastoma-overexpressed gene	NOV	2	2.3
NM_016629	Tumor necrosis factor receptor superfamily, member 21	TNFRSF21	2	2.3
BF432648	Tumor necrosis factor receptor superfamily, member 19	TNFRSF19	2	1.74
AI870144	Pleckstrin homology, Sec7 and coiled-coil domains 3	PSCD3	2	2
BG491844	v-jun sarcoma virus 17 oncogene homolog	JUN	1.87	1.87
NM_000222	v-kit Hardy–Zuckerman 4 feline sarcoma viral oncogene homolog	KIT	1.87	1.87
AA541479	Mitogen-activated protein kinase 1	MAP3K1	1.87	1.62
AW043602	KIAA1946	KIAA1946	1.87	1.62
BE302305	Transducin-like enhancer of split 1	TLE1	1.87	1.62
W22625	PR domain containing 4	PRDM4	1.87	2
NM_004417	Dual specificity phosphatase 1	DUSP1	1.74	1.87
AI738896	Tumor necrosis factor, á-induced protein 3	TNFAIP3	1.74	1.62
NM_004226	Serine/threonine kinase 17b (apoptosis-inducing)	STK17B	1.74	1.74
NM_000024	Adrenergic, â-2-receptor, surface	ADRB2	1.74	1.87
NM_001321	Cysteine and glycine-rich protein 2	CSRP2	1.74	1.74
AF294627	Lymphoid enhancer-binding factor 1	LEF1	1.74	1.74
AF255647	Transmembrane protein 163	TMEM163	1.74	1.41
NM_001554	Cysteine-rich, angiogenic inducer, 61	CYR61	1.62	1.52
U64317	Neural precursor cell expressed, developmentally downregulated 9	NEDD9	1.62	1.52
NM_003165	Syntaxin-binding protein 1	STXBP1	1.62	1.62
N25732	Forkhead box O3A	FOXO3A	1.62	1.52
NM_004694	Solute carrier family 16, member 6	SLC16A6	1.62	2
BF674052	MicroRNA 21	MIRN21	1.62	1.74
NM_012342	BMP and activin membrane-bound inhibitor homolog	BAMBI	1.52	1.62
NM_001995	Acyl-CoA synthetase long-chain family member 1	ACSL1	1.52	1.41
BG054916	Patched homolog 1 (Drosophila)	PTCH1	1.52	1.52
AF015043	SH3-domain-binding protein 4	SH3BP4	1.52	1.62
AW021102	Hypothetical LOC401328	—	1.52	1.87
BE967118	Transducin-like enhancer of split 3	TLE3	1.52	1.52
AI880633	Coiled-coil domain containing 75	CCDC75	1.52	1.52
W87901	Small nuclear ribonucleoprotein polypeptide E	—	1.41	2
BG537255	DNAJ (Hsp40) homolog, subfamily B, member 1	DNAJB1	1.32	1.52
NM_000248	Microphthalmia-associated transcription factor	MITF	1.32	1.52
N20927	RAP2B, member of RAS oncogene family	RAP2B	1.23	1.62
BC002670	SERTA domain containing 1	SERTAD1	-1.41	-1.52
D13891	Inhibitor of DNA binding 2///inhibitor of DNA binding 2B	ID2///ID2B	-1.62	-1.87
NM_014575	Schwannomin-interacting protein 1	SCHIP1	-1.62	-1.74
NM_004430	Early growth response 3	EGR3	-1.62	-1.87
NM_000475	Nuclear receptor subfamily 0, group B, member 1	NR0B1	-1.62	-1.41
M57731	Chemokine (C-X-C motif) ligand 2	CXCL2	-1.62	-2
N71923	Fibronectin leucine-rich transmembrane protein 3	FLRT3	-1.62	-1.87
AI474448	Zinc finger protein 689	ZNF689	-1.62	-1.32
NM_000362	TIMP metallopeptidase inhibitor 3	TIMP3	-1.74	-1.74
NM_019058	DNA-damage-inducible transcript 4	DDIT4	-1.74	-2.14
NM_021106	Regulator of G-protein signaling 3	RGS3	-1.74	-1.52
NM_000376	Vitamin D3 (1,25-dihydroxyvitamin) receptor	VDR	-1.74	-1.74
NM_003236	Transforming growth factor, á	TGFA	-1.74	-2
AV725664	Phosphatidic acid phosphatase type 2B	PPAP2B	-1.74	-2
AL049369	Down syndrome critical region gene 1	DSCR1	-1.74	-1.32
AF284225	Doublesex and mab-3-related transcription factor 2	DMRT2	-1.74	-1.74
AF101051	Claudin 1	CLDN1	-1.87	-1.41
BC006428	CXXC finger 5///CXXC finger 5	CXXC5	-1.87	-1.74
NM_001511	Chemokine (C-X-C motif) ligand 1	CXCL1	-2	-2
BF528433	Hairless homolog (mouse)	HR	-2	-1.74
D13889	Inhibitor of DNA binding 1 ID1		-2.14	-2.3
