TargetID	Signal_X	Signal_Y	Detection_X	Detection_Y	Diff_Score	Symbol	Accession	Synonyms	Definition	GO Molecular Function	GO Cellular Component	GO Biological Process	Fold change	Function
scl19838.8.1_22-S	1316.4	15227	1	1	69.4383	Tcfap2c	NM_009335.1	Ap-2.2	Mus musculus transcription factor AP-2, gamma (Tcfap2c), mRNA.	DNA binding [goid 0003677] [evidence IDA] [pmid 9765260]; transcription factor activity [goid 0003700] [evidence IMP] [pmid 9765260]; translation regulator activity [goid 0045182] [evidence IEA]	nucleus [goid 0005634] [evidence IDA] [pmid 9765260]; transcription factor complex [goid 0005667] [evidence IEA]	regulation of transcription, DNA-dependent [goid 0006355] [evidence IMP] [pmid 9765260]; embryonic development (sensu Mammalia) [goid 0001701] [evidence IMP] [pmid 11940672]	4.143345863	cell differentiation, transcription
scl39079.4_283-S	2369.4	4757.9	1	1	183.7393	Ctgf	NM_010217	Fisp12;Hcs24	Mus musculus connective tissue growth factor (Ctgf), mRNA.	insulin-like growth factor binding [goid 0005520] [evidence IEA]; integrin binding [goid 0005178] [evidence IDA] [pmid 10446209]; heparin binding [goid 0008201] [evidence IDA] [pmid 9184077]; cell adhesion molecule activity [goid 0005194] [evidence IEA]	extracellular [goid 0005576] [evidence IDA] [pmid 1888698]; extracellular matrix [goid 0005578] [evidence IDA] [pmid 9184077]; extracellular space [goid 0005615] [evidence TAS] [pmid 12466851]	FGF receptor signaling pathway [goid 0008543] [evidence IDA] [pmid 9184077]; ossification [goid 0001503] [evidence IMP] [pmid 12736220]; angiogenesis [goid 0001525] [evidence IDA] [pmid 12736220]; regulation of cell growth [goid 0001558] [evidence IEA]; DNA metabolism [goid 0006259] [evidence IEA]; cell adhesion [goid 0007155] [evidence IEA]; cell-matrix adhesion [goid 0007160] [evidence IDA] [pmid 9184077]; integrin-mediated signaling pathway [goid 0007229] [evidence IDA] [pmid 10446209]; cell migration [goid 0016477] [evidence IDA] [pmid 10082563]	3.378125246	cell death, cell migration, cell adhesion, regulation of cell growth, angiogenesis
scl0018186.1_241-S	2112.9	4083.3	1	1	73.1568	Nrp	NM_008737.1	NP-1	Mus musculus neuropilin (Nrp), mRNA.	semaphorin receptor activity [goid 0017154] [evidence IGI] [pmid 12591607]; cell adhesion molecule activity [goid 0005194] [evidence IEA]; receptor activity [goid 0004872] [evidence IEA]	membrane [goid 0016020] [evidence IEA]; integral to membrane [goid 0016021] [evidence TAS] [pmid 12466851]; extracellular space [goid 0005615] [evidence TAS] [pmid 12466851]	cell adhesion [goid 0007155] [evidence IEA]; angiogenesis [goid 0001525] [evidence IEA]	3.294554399	cell death, cell migration, cell adhesion
scl39819.5_328-S	934.2	2825.3	1	1	88.2632	Ccl9	NM_011338	CCF18;MRP-2;Scya10;Scya9	Mus musculus chemokine (C-C motif) ligand 9 (Ccl9), mRNA.	chemokine activity [goid 0008009] [evidence IEA]; cytokine activity [goid 0005125] [evidence IEA]	extracellular [goid 0005576] [evidence IEA]; extracellular space [goid 0005615] [evidence TAS] [pmid 12466851]	chemotaxis [goid 0006935] [evidence IEA]; immune response [goid 0006955] [evidence IEA]; signal transduction [goid 0007165] [evidence IEA]	3.276714495	cell death, chemotaxis
scl44991.2.1_21-S	3096.3	4778.2	1	1	36.6113	Hist1h2bc	NM_023422	2610022J01Rik;H2bfs	Mus musculus histone 1, H2bc (Hist1h2bc), mRNA.	DNA binding [goid 0003677] [evidence ISS] [pmid 12466851]	nucleosome [goid 0000786] [evidence ISS] [pmid 12466851]; nucleus [goid 0005634] [evidence ISS] [pmid 12466851]; nucleosome [goid 0005718] [evidence ISS]; chromosome [goid 0005694] [evidence ISS] [pmid 12466851]	nucleosome assembly [goid 0006334] [evidence ISS] [pmid 12466851]; chromosome organization and biogenesis (sensu Eukarya) [goid 0007001] [evidence ISS] [pmid 12466851]	3.225800171	nucleosome assembly
scl18353.6.1_69-S	944.5	2151.3	1	1	32.642	1700127F16Rik	XM_355365.1		Mus musculus WAP four-disulfide core domain 3				3.081635302	biological process
scl44989.1_487-S	1641.1	2806	1	1	40.8162	Hist1h1c	NM_015786	0610008C09Rik;H1.2;H1c;H1f2;H1var1;His1a	Mus musculus histone 1, H1c (Hist1h1c), mRNA.	DNA binding [goid 0003677] [evidence ISS] [pmid 12466851]	chromosome [goid 0005694] [evidence ISS] [pmid 12466851]; nucleus [goid 0005634] [evidence ISS] [pmid 12466851]; nucleosome [goid 0005718] [evidence IEA]; nucleosome [goid 0000786] [evidence ISS] [pmid 12466851]	nucleosome assembly [goid 0006334] [evidence ISS] [pmid 12466851]; chromosome organization and biogenesis (sensu Eukarya) [goid 0007001] [evidence ISS] [pmid 12466851]	3.066288645	cell death
scl0014980.1_39-S	2177.5	3300.2	1	1	78.9034	H2-L			Mus musculus H-2 class I histocompatibility antigen, D-B alpha chain Precursor (H-2D(B))				3.050263723	immune response
scl50176.16.1_35-S	1961.1	3044.6	1	1	64.834	Msln	NM_018857.1	MPF	Mus musculus mesothelin (Msln), mRNA.		extracellular space [goid 0005615] [evidence TAS] [pmid 12466851]		3.034828916	cell adhesion
ri|E430003D02|PX00096C07|AK088068|2838-S	1747.7	2758.1	1	1	54.1668	E430003D02Rik	AK088068						3.004493338	unknown
