GenBank Acc. No.	Gene Description
D31716_at	(BTEB1) basic transcription element binding protein
J04101_at	(ETS1)
J04513_at	(FGF2) fibroblast growth factor 2
L05072_s_at	(IRF1) interferon regulatory factor 1
L11672_r_at	(ZNF91) zinc finger protein 91 (HPF7, HTF10)
L39059_at	transcription factor SL1
M83233_at	(TCF12) transcription factor 12
M87503_at	ISGF-3-gamma
M97935_s_at	ISGF-3
M97936_at	transcription factor
M98833_at	(FL1) Friend leukemia virus integration 1
M99701_at	(TCEAL1) transcription elongation factor A (SII)-like1
U22431_s_at	(HIF1A) hypoxia-inducible factor 1
U31556_at	transcription factor
U48213_at	(DBP) D site of albumin promoter binding protein
U49020_cds2_at	(MEF2A)
U71598_at	(zf2) zinc finger protein
U73843_at	E74-like factor 3 (ELF3)	up
U75276_s_at	(TAF3C) TATA box binding protein (TBP)-associated factor
U77413_at	O-linked N-acetylglucosamine (GLcNAc) transferase
U85430_at	isoform of NFATx
U87269_at	E4F transcription factor 1
X15949_at	(IRF2) interferon regulatory factor 2
X52611_s_at	transcription factor AP-2 (AA1-437)
X53390_s_at	upstream binding factor (AA 1-764)
X59871_at	(TCF7) transcription factor 7 (T-cell specific, HMG-box)
X60787_s_at	interleukin enhancer binding factor 1
X63741_s_at	(EGR3) early growth response 3
X66867_cds1_at	(MAX) MAX protein
X90824_s_at	USF2 upstream transcription factor 2, c-fos interacting
X96506_s_at	(NC2) alpha subunit; forms heterodimer with NC2 alpha/Dr1
Z22951_rna1_at	(p65)
Z36715_at	(ELK3)
Z47087_at	(TCEB1L) transcription elongation factor B (SIII)
Z56281_at	(IRF3) interferon regulatory factor 3
D00749_s_at	(CD7)
D10995_at	(HTR1B) 5-hydroxytryptamine (serotonin) receptor 1B
D38305 _at	(TOB) transducer of ERBB2
D50683_at	(TGFBR2) transforming growth factor, beta receptor II
J03925_at	(ITGAM) integrin, alpha M
J04809_rna1_at	(AK1) adenylate kinase 1
K02545_cds2_at	(TCRB) +/- 1 bp both ends
L09753_at	(CD30L) TNSF8
L14542_at	(KLRC4) killer cell lectin-like receptor subfamily C, member 4
L16862_at	(GPRK6) G protein-coupled receptor kinase 6
L20688_at	(ARHGDIB) GDP dissociation inhibitor	up
L25851_at	(ITGAE) integrin alpha E
L29376_at	MHC class I cell surface antigen
L42324_at	(GPCR)
L48728_cds1_at	(TCRBV10S1) alternative splice product
M12886_at	(TCRB) T-cell receptor, beta cluster
M12959_at	(TCRA) T-cell receptor alpha chain	up
M15395_at	(ITGB2) integrin, beta 2 (antigen CD18)
M21624_at	(TCRD) T-cell receptor, delta (V,D,J,C)
M25280_at	(LNHR) lymph node homing receptor precursor
M28170_at	(CD19)
M28879_at	granzyme B
M29696_at	(IL7R) interleukin 7 receptor up
M31210_at	(EDG1) endothelial differentiation
M33195_at	(FCER1G) Fc fragment of IgE, high affinity I
M36118_s_at	(GZMB) granzyme B
M37271_s_at	(CD7)
M54992_at	(CD72)
M58286_s_at	(TNFRSF1A) tumor necrosis factor receptor down superfamily
M59829	HSP70-HOM
M61906_at	P13-kinase, tyrosine
M63928_at	(TNFRSF7) tumor necrosis factor receptor superfamily down
M68941_at	(PTPN4) protein tyrosine phosphatase, non-receptor type 4
M69238_at	(ARNT) aryl hydrocarbon receptor nuclear translocator
M81695_s_at	(ITGAX) integrin alpha X
M88282_at	tactile protein, T-cell activation
M89957_at	(CD79B) CD79B antigen (immunoglobulin-associated beta)
M93221_at	(MRC1) mannose receptor, C type 1
M93425_at	(PTPN12) protein tyrosine phosphatase
U00672_at	(IL10RA) interleukin 10 receptor, alpha down
U04806_s_at	FLT3/FLK2 ligand
U04898_at	(RORA) RAR-related orphan receptor A
U05875_at	second chain of the receptor
U12255_at	(FCGRT) Fc fragment of IgG, receptor, transporter, alpha
U19487_at	(PTGER2) prostaglandin E receptor 2 (subtype EP2), 53kD
U32324_at	(IL11RA) interleukin 11 receptor, alpha
U32674_s_at	(GPR9) orphan receptor similar to the interleukin 8 receptors
U35735 _at	(RACH1)	up
U42031_at	(FKBP5) FK506-binding protein 5
U60975_at	(SORL1) sortilin-related receptor, L(DLR class) A
U64871_at	(GPR19) intronless gene; putative G protein-coupled receptor
U66059_cds7_at	(TRY3) putative
U68019_ at	(MADH3) SMAD3
U89922_ at	(LTB) Lymphotoxin beta	down
U95626_rna1_at	(ccr2)
X00437_s_at	T-cell receptor beta-chain
X03066_at	(HLA-DOB) MHC, class II, DO beta
X03663_at	(CSF1R) colony stimulating factor 1 receptor
X03934_at	(CD3D) CD3D antigen, delta polypeptide (TiT3 complex)
X04145_at	(CD3G) CD3G antigen, gamma polypeptide (TiT3 complex)
X07203_at	CD20 receptor (AA 1 - 297)
X07979_at	(ITGB1) integrin beta 1	down
X12530_s_at	(CD20) CD20 (AA1-297)
X13444_at	(CD8B1) CD 8 beta
X14046_at	(CD37)
X16983_at	(ITGA4) integrin, alpha 4 (antigen CD49D)	up
X54870_at	(NKG2-D gene) Type II integral membrane protein
X56841_at	(HLA-E)
X59303_s_at	(G7a) MHC, valyl-tRNA synthetase
X60922_at	(CD6)
X62055_at	(PTPN6) protein tyrosine phosphatase, non-receptor type 6
X62466_at	(CDW52)
X64072_at	(CD18)
X66945_at	(N-sam)
X69398_at	(CD47) CD47 antigen
X69819_at	(ICAM3)
X76223_at	(MAL) T-cell differentiation protein	up
X76648_at	(GLRX) glutaredoxin	up
X76732_at	(NUCB2) nucleobindin 2	down
X81882_at	(CUL5) cullin 5
X84373_at	(NRIP1) nuclear receptor interacting protein 1
X94232_at	(RP1) T-cell activation protein
X95876_at	(GPR9) G protein-coupled receptor 9
X97267_rna1_at	(CD45)
