# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_022552|NM_022552	hgnc_symbol|DNMT3A|DNMT3A
refseq_dna|NM_012421|NM_012421	hgnc_symbol|RLF|RLF
refseq_dna|NM_018904|NM_018904	hgnc_symbol|PCDHA13|PCDHA13
refseq_dna|NM_018905|NM_018905	hgnc_symbol|PCDHA2|PCDHA2
refseq_dna|NM_018906|NM_018906	hgnc_symbol|PCDHA3|PCDHA3
refseq_dna|NM_018907|NM_018907	hgnc_symbol|PCDHA4|PCDHA4
refseq_dna|NM_018908|NM_018908	hgnc_symbol|PCDHA5|PCDHA5
refseq_dna|NM_018909|NM_018909	hgnc_symbol|PCDHA6|PCDHA6
refseq_dna|NM_018911|NM_018911	hgnc_symbol|PCDHA8|PCDHA8
refseq_dna|NM_018992|NM_018992	hgnc_symbol|KCTD5|KCTD5
refseq_dna|NM_019063|NM_019063	hgnc_symbol|EML4|EML4
refseq_dna|NM_018901|NM_018901	hgnc_symbol|PCDHA10|PCDHA10
refseq_dna|NM_018899|NM_018899	hgnc_symbol|PCDHAC2|PCDHAC2
refseq_dna|NM_014035|NM_014035	hgnc_symbol|SNX24|SNX24
refseq_dna|NM_014871|NM_014871	hgnc_symbol|PAN2|PAN2
refseq_dna|NM_014903|NM_014903	hgnc_symbol|NAV3|NAV3
refseq_dna|NM_014918|NM_014918	hgnc_symbol|CHSY1|CHSY1
refseq_dna|NM_015316|NM_015316	hgnc_symbol|PPP1R13B|PPP1R13B
refseq_dna|NM_015435|NM_015435	hgnc_symbol|RNF19A|RNF19A
refseq_dna|NM_017544|NM_017544	hgnc_symbol|NKRF|NKRF
refseq_dna|NM_018416|NM_018416	hgnc_symbol|FOXJ2|FOXJ2
refseq_dna|NM_018667|NM_018667	hgnc_symbol|SMPD3|SMPD3
refseq_dna|NM_018898|NM_018898	hgnc_symbol|PCDHAC1|PCDHAC1
refseq_dna|NM_020443|NM_020443	hgnc_symbol|NAV1|NAV1
refseq_dna|NM_020801|NM_020801	hgnc_symbol|ARRDC3|ARRDC3
refseq_dna|NM_021159|NM_021159	hgnc_symbol|RAP1GDS1|RAP1GDS1
refseq_dna|NM_152678|NM_152678	hgnc_symbol|FAM116A|FAM116A
refseq_dna|NM_152835|NM_152835	hgnc_symbol|PDIK1L|PDIK1L
refseq_dna|NM_152910|NM_152910	hgnc_symbol|DGKH|DGKH
refseq_dna|NM_153252|NM_153252	hgnc_symbol|BRWD3|BRWD3
refseq_dna|NM_173683|NM_173683	hgnc_symbol|XKR6|XKR6
refseq_dna|NM_178123|NM_178123	hgnc_symbol|SESTD1|SESTD1
refseq_dna|NM_181354|NM_181354	hgnc_symbol|OXR1|OXR1
refseq_dna|NM_198337|NM_198337	hgnc_symbol|INSIG1|INSIG1
refseq_dna|NM_198935|NM_198935	hgnc_symbol|SS18L1|SS18L1
refseq_dna|NM_152624|NM_152624	hgnc_symbol|DCP2|DCP2
refseq_dna|NM_152527|NM_152527	hgnc_symbol|SLC16A14|SLC16A14
refseq_dna|NM_152523|NM_152523	hgnc_symbol|CCNYL1|CCNYL1
refseq_dna|NM_021643|NM_021643	hgnc_symbol|TRIB2|TRIB2
refseq_dna|NM_022443|NM_022443	hgnc_symbol|MLF1|MLF1
refseq_dna|NM_022780|NM_022780	hgnc_symbol|RMND5A|RMND5A
refseq_dna|NM_022893|NM_022893	hgnc_symbol|BCL11A|BCL11A
refseq_dna|NM_030816|NM_030816	hgnc_symbol|ANKRD13C|ANKRD13C
refseq_dna|NM_032701|NM_032701	hgnc_symbol|SUV420H2|SUV420H2
refseq_dna|NM_138390|NM_138390	hgnc_symbol|TMEM169|TMEM169
refseq_dna|NM_138391|NM_138391	hgnc_symbol|TMEM183A|TMEM183A
refseq_dna|NM_138973|NM_138973	hgnc_symbol|BACE1|BACE1
refseq_dna|NM_199324|NM_199324	hgnc_symbol|OTUD4|OTUD4
refseq_dna|NM_012257|NM_012257	hgnc_symbol|HBP1|HBP1
refseq_dna|NM_000089|NM_000089	hgnc_symbol|COL1A2|COL1A2
refseq_dna|NM_001003940|NM_001003940	hgnc_symbol|BMF|BMF
refseq_dna|NM_001069|NM_001069	hgnc_symbol|TUBB2A|TUBB2A
refseq_dna|NM_001222|NM_001222	hgnc_symbol|CAMK2G|CAMK2G
refseq_dna|NM_001621|NM_001621	hgnc_symbol|AHR|AHR
refseq_dna|NM_001844|NM_001844	hgnc_symbol|COL2A1|COL2A1
refseq_dna|NM_001845|NM_001845	hgnc_symbol|COL4A1|COL4A1
refseq_dna|NM_001846|NM_001846	hgnc_symbol|COL4A2|COL4A2
refseq_dna|NM_001851|NM_001851	hgnc_symbol|COL9A1|COL9A1
refseq_dna|NM_001854|NM_001854	hgnc_symbol|COL11A1|COL11A1
refseq_dna|NM_001858|NM_001858	hgnc_symbol|COL19A1|COL19A1
refseq_dna|NM_000943|NM_000943	hgnc_symbol|PPIC|PPIC
refseq_dna|NM_000859|NM_000859	hgnc_symbol|HMGCR|HMGCR
refseq_dna|NM_000090|NM_000090	hgnc_symbol|COL3A1|COL3A1
refseq_dna|NM_000091|NM_000091	hgnc_symbol|COL4A3|COL4A3
refseq_dna|NM_000092|NM_000092	hgnc_symbol|COL4A4|COL4A4
refseq_dna|NM_000094|NM_000094	hgnc_symbol|COL7A1|COL7A1
refseq_dna|NM_000138|NM_000138	hgnc_symbol|FBN1|FBN1
refseq_dna|NM_000304|NM_000304	hgnc_symbol|PMP22|PMP22
refseq_dna|NM_000314|NM_000314	hgnc_symbol|PTEN|PTEN
refseq_dna|NM_000393|NM_000393	hgnc_symbol|COL5A2|COL5A2
refseq_dna|NM_000555|NM_000555	hgnc_symbol|DCX|DCX
refseq_dna|NM_000793|NM_000793	hgnc_symbol|DIO2|DIO2
refseq_dna|NM_002202|NM_002202	hgnc_symbol|ISL1|ISL1
refseq_dna|NM_002482|NM_002482	hgnc_symbol|NASP|NASP
refseq_dna|NM_005302|NM_005302	hgnc_symbol|GPR37|GPR37
refseq_dna|NM_005329|NM_005329	hgnc_symbol|HAS3|HAS3
refseq_dna|NM_005399|NM_005399	hgnc_symbol|PRKAB2|PRKAB2
refseq_dna|NM_005627|NM_005627	hgnc_symbol|SGK1|SGK1
refseq_dna|NM_005841|NM_005841	hgnc_symbol|SPRY1|SPRY1
refseq_dna|NM_005927|NM_005927	hgnc_symbol|MFAP3|MFAP3
refseq_dna|NM_006332|NM_006332	hgnc_symbol|IFI30|IFI30
refseq_dna|NM_006791|NM_006791	hgnc_symbol|MORF4L1|MORF4L1
refseq_dna|NM_006874|NM_006874	hgnc_symbol|ELF2|ELF2
refseq_dna|NM_006892|NM_006892	hgnc_symbol|DNMT3B|DNMT3B
refseq_dna|NM_004926|NM_004926	hgnc_symbol|ZFP36L1|ZFP36L1
refseq_dna|NM_004772|NM_004772	hgnc_symbol|C5orf13|C5orf13
refseq_dna|NM_003074|NM_003074	hgnc_symbol|SMARCC1|SMARCC1
refseq_dna|NM_003127|NM_003127	hgnc_symbol|SPTAN1|SPTAN1
refseq_dna|NM_003211|NM_003211	hgnc_symbol|TDG|TDG
refseq_dna|NM_003222|NM_003222	hgnc_symbol|TFAP2C|TFAP2C
refseq_dna|NM_003463|NM_003463	hgnc_symbol|PTP4A1|PTP4A1
refseq_dna|NM_003620|NM_003620	hgnc_symbol|PPM1D|PPM1D
refseq_dna|NM_003794|NM_003794	hgnc_symbol|SNX4|SNX4
refseq_dna|NM_004136|NM_004136	hgnc_symbol|IREB2|IREB2
refseq_dna|NM_004242|NM_004242	hgnc_symbol|HMGN3|HMGN3
refseq_dna|NM_004369|NM_004369	hgnc_symbol|COL6A3|COL6A3
refseq_dna|NM_007162|NM_007162	hgnc_symbol|TFEB|TFEB
