Direction	Entrez Gene ID	Gene Symbol	Gene Description
Up	55742	PARVA	parvin, alpha
Up	1000	CDH2	cadherin 2, type 1, N-cadherin (neuronal)
Up	2044	EPHA5	EPH receptor A5
Up	7456	WIPF1	WAS/WASL interacting protein family, member 1
Up	6529	SLC6A1	solute carrier family 6 (neurotransmitter transporter, GABA), member 1
Up	1007	CDH9	cadherin 9, type 2 (T1-cadherin)
Up	6863	TAC1	tachykinin, precursor 1
Up	79679	VTCN1	V-set domain containing T cell activation inhibitor 1
Up	3676	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)
Up	7168	TPM1	tropomyosin 1 (alpha)
Up	1734	DIO2	deiodinase, iodothyronine, type II
Up	5920	RARRES3	retinoic acid receptor responder (tazarotene induced) 3
Up	1479	CSTF3	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa
Up	8878	SQSTM1	sequestosome 1
Up	5918	RARRES1	retinoic acid receptor responder (tazarotene induced) 1
Up	25928	SOSTDC1	sclerostin domain containing 1
Up	10631	POSTN	periostin, osteoblast specific factor
Up	3688	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)
Up	55786	ZNF415	zinc finger protein 415
Up	633	BGN	biglycan
Up	10407	SPAG11B	sperm associated antigen 11B
Up	8076	MFAP5	microfibrillar associated protein 5
Up	3488	IGFBP5	insulin-like growth factor binding protein 5
Up	10398	MYL9	myosin, light chain 9, regulatory
Up	56937	PMEPA1	prostate transmembrane protein, androgen induced 1
Up	684	BST2	bone marrow stromal cell antigen 2
Up	1289	COL5A1	collagen, type V, alpha 1
Up	2200	FBN1	fibrillin 1
Up	64581	CLEC7A	C-type lectin domain family 7, member A
Up	4303	FOXO4	forkhead box O4
Up	4162	MCAM	melanoma cell adhesion molecule
Up	5629	PROX1	prospero homeobox 1
Up	22915	MMRN1	multimerin 1
Up	4060	LUM	lumican
Up	7474	WNT5A	wingless-type MMTV integration site family, member 5A
Up	3897	L1CAM	L1 cell adhesion molecule
Up	9060	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2
Up	18	ABAT	4-aminobutyrate aminotransferase
Up	6853	SYN1	synapsin I
Up	23526	HMHA1	histocompatibility (minor) HA-1
Up	477	ATP1A2	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide
Up	376267	RAB15	RAB15, member RAS onocogene family
Up	9659	PDE4DIP	phosphodiesterase 4D interacting protein
Up	8532	CPZ	carboxypeptidase Z
Up	1290	COL5A2	collagen, type V, alpha 2
Up	274	BIN1	bridging integrator 1
Up	57326	PBXIP1	pre-B-cell leukemia homeobox interacting protein 1
Up	2358	FPR2	formyl peptide receptor 2
Up	8001	GLRA3	glycine receptor, alpha 3
Up	2009	EML1	echinoderm microtubule associated protein like 1
Up	5087	PBX1	pre-B-cell leukemia homeobox 1
Down	2252	FGF7	fibroblast growth factor 7 (keratinocyte growth factor)
Down	3817	KLK2	kallikrein-related peptidase 2
Down	12	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
Down	9518	GDF15	growth differentiation factor 15
Down	1288	COL4A6	collagen, type IV, alpha 6
Down	1475	CSTA	cystatin A (stefin A)
Down	79148	MMP28	matrix metallopeptidase 28
Down	5266	PI3	peptidase inhibitor 3, skin-derived
Down	10468	FST	follistatin
Down	3853	KRT6A	keratin 6A
Down	6698	SPRR1A	small proline-rich protein 1A
Down	3851	KRT4	keratin 4
Down	3909	LAMA3	laminin, alpha 3
Down	8626	TP63	tumor protein p63
Down	218	ALDH3A1	aldehyde dehydrogenase 3 family, memberA1
Down	3552	IL1A	interleukin 1, alpha
Down	6280	S100A9	S100 calcium binding protein A9
Down	9635	CLCA2	chloride channel accessory 2
Down	2312	FLG	filaggrin
Down	5803	PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1
Down	1672	DEFB1	defensin, beta 1
Down	5275	SERPINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13
Down	6279	S100A8	S100 calcium binding protein A8
Down	54361	WNT4	wingless-type MMTV integration site family, member 4
Down	4585	MUC4	mucin 4, cell surface associated
Down	6707	SPRR3	small proline-rich protein 3
