Gene ID	Fold Change	Gene Symbol	Gene Title
Gga.9143.1.S1_x_at	17.80053619	---	---
Gga.16444.1.S1_at	12.08495822	PDK4	pyruvate dehydrogenase kinase, isozyme 4
GgaAffx.4192.1.S1_at	11.42503098	---	---
Gga.5946.3.S1_a_at	10.38110749	CPA2	carboxypeptidase A2 (pancreatic)
GgaAffx.7403.1.S1_at	9.620991254	SLC5A8	solute carrier family 5 (iodide transporter), member 8
Gga.4217.2.S1_at	9.427966102	MYH2 /// MYH8	myosin, heavy chain 2, skeletal muscle, adult /// myosin, heavy chain 8, skeletal muscle, perinatal
Gga.18923.1.S1_at	9.171388102	MMP15	Matrix metallopeptidase 15 (membrane-inserted)
Gga.686.1.S1_at	8.396593674	BMP4	bone morphogenetic protein 4
Gga.11937.1.S1_at	8.294250282	---	---
Gga.5954.1.S1_at	8.177631579	---	---
Gga.14494.1.S1_at	8.093350384	---	---
Gga.3652.1.S1_at	7.981651376	CLEC3B	C-type lectin domain family 3, member B
Gga.10069.1.A1_at	7.905180841	CBFA2T3	Core-binding factor, runt domain, alpha subunit 2; translocated to, 3
GgaAffx.20323.1.S1_at	7.316015625	DAG1	dystroglycan
Gga.12998.1.S1_at	7.258064516	LOC420209	similar to carbonic anhydrase III
Gga.5255.1.S1_at	7.071190211	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1
GgaAffx.11738.1.S1_s_at	6.968146718	EGR1	early growth response 1
GgaAffx.12834.1.S1_at	6.659765355	HNRPK	heterogeneous nuclear ribonucleoprotein K
GgaAffx.5126.1.S1_at	6.496411483	TLR15	toll-like receptor 15
GgaAffx.22081.2.S1_s_at	6.083044983	RASSF7	Ras association (RalGDS/AF-6) domain family 7
GgaAffx.26656.1.S1_at	6.072680789	SQSTM1	sequestosome 1
Gga.19763.1.S1_at	5.731374607	LOC418495	similar to Fat cell-specific low molecular weight protein (Fat tissue-specific low MW protein) (B27)
Gga.9086.1.S2_at	5.700301554	RHAG	Rh-associated glycoprotein
Gga.6808.1.A1_at	5.677192982	---	---
Gga.7198.1.S1_at	5.675531915	---	---
GgaAffx.20483.1.S1_at	5.564191134	---	---
Gga.8710.1.S1_at	5.555506413	SCNN1B	Sodium channel, nonvoltage-gated 1, beta (Liddle syndrome)
Gga.9475.1.S1_at	5.508714175	UBA7	ubiquitin-like modifier activating enzyme 7
GgaAffx.26414.1.S1_s_at	5.474025974	CES1 /// LOC769704	carboxylesterase 1 (monocyte/macrophage serine esterase 1) /// similar to thioesterase B
GgaAffx.5901.1.S1_at	5.420997921	GUCY1A3	guanylate cyclase 1, soluble, alpha 3
Gga.2219.1.S1_at	5.349056604	SHC1	SHC (Src homology 2 domain containing) transforming protein 1
GgaAffx.25470.1.S1_s_at	5.340473506	LOC417374	similar to integrin beta 4
Gga.6020.1.S1_s_at	5.339343504	LOC425131	hypothetical LOC425131
Gga.16197.1.S1_at	5.31963001	---	---
Gga.6383.1.S1_at	5.317204301	PPP2R1B	Protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform
Gga.17979.1.S1_at	5.280163599	---	---
GgaAffx.21482.1.S1_at	5.155603141	SLC36A1	Solute carrier family 36 (proton/amino acid symporter), member 1
GgaAffx.20907.1.S1_at	5.141426783	---	---
Gga.7471.1.S1_at	5.112580536	SDC2	syndecan 2
Gga.5588.1.S1_at	5.111418833	PDZK1IP1	PDZK1 interacting protein 1
Gga.16664.1.S1_at	5.076152305	---	---
Gga.16916.1.S1_at	5.032338308	GLA	galactosidase, alpha
Gga.5951.1.S1_at	4.975951904	LOC425562	Similar to RNA binding motif protein 4B
Gga.6481.1.S1_at	4.950017851	---	---
Gga.9475.1.S1_x_at	4.906686381	UBA7	ubiquitin-like modifier activating enzyme 7
Gga.9086.1.S1_at	4.860602647	RHAG	Rh-associated glycoprotein
Gga.1335.1.S1_at	4.857036485	SLC4A2	solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)
Gga.12974.1.S1_at	4.847524752	LOC777495	Similar to Osbp protein
Gga.3619.1.S1_at	4.843507214	TFRC	transferrin receptor (p90, CD71)
Gga.11632.1.S1_s_at	4.718454755	---	---
GgaAffx.20383.1.S1_s_at	4.676174497	NGEF	neuronal guanine nucleotide exchange factor
GgaAffx.6568.1.S1_at	4.661327231	MMRN1	multimerin 1
Gga.1644.1.S1_a_at	4.643235072	MGLL	Monoglyceride lipase
Gga.10720.1.S1_at	4.614189837	---	---
Gga.2.1.S1_at	4.589232303	---	---
Gga.7807.1.S1_at	4.574560217	MFGE8	Milk fat globule-EGF factor 8 protein
GgaAffx.20684.1.S1_at	4.459064327	---	---
GgaAffx.8122.1.S1_at	4.442666667	SLC22A23	solute carrier family 22, member 23
Gga.423.1.S1_at	4.413839891	CLU	clusterin
Gga.14654.1.S1_at	4.395852969	---	---
Gga.8140.1.S1_at	4.370376893	FGFBP1	fibroblast growth factor binding protein 1
Gga.11348.2.S1_a_at	4.358414239	---	---
Gga.12676.1.S1_at	4.356989247	LOC422609	similar to hypothetical protein MGC11324
GgaAffx.24181.1.S1_at	4.353974895	SF3B4	splicing factor 3b, subunit 4, 49kDa
GgaAffx.13211.1.S1_s_at	4.335987261	RCJMB04_35f9	F-box protein 32
Gga.17403.1.S1_at	4.334821429	---	---
GgaAffx.22699.1.S1_at	4.307426598	ATP11B	ATPase, class VI, type 11B
GgaAffx.282.1.S1_s_at	4.262493136	TMPRSS9	transmembrane protease, serine 9
Gga.11674.1.S1_at	4.236077482	---	---
GgaAffx.21348.1.A1_s_at	4.212652068	LOC417031	similar to hypothetical protein LOC196463
Gga.6972.2.S1_at	4.207948244	ABI3	ABI gene family, member 3
GgaAffx.11936.1.S1_s_at	4.207715134	NEURL	neuralized homolog (Drosophila)
Gga.10646.1.S1_at	4.177358491	CLASP2	cytoplasmic linker associated protein 2
GgaAffx.7613.1.S1_s_at	4.119700748	TRIM7.2	Tripartite motif protein 7
GgaAffx.10023.1.S1_at	4.093717817	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
Gga.1108.1.S1_s_at	4.059106473	RCJMB04_3c23	limb bud and heart development homolog (mouse)
Gga.16099.1.S1_s_at	4.058465856	LOC426499	Similar to importin beta subunit
Gga.5662.1.S1_s_at	4.037292258	---	---
Gga.17034.1.S1_s_at	4.019467213	YPEL2	yippee-like 2 (Drosophila)
Gga.7631.1.S1_at	3.985790409	---	---
Gga.9338.1.S1_at	3.977068794	HINTW	Histidine triad nucleotide binding protein W
Gga.17583.1.S1_s_at	3.976019185	C11orf2	chromosome 11 open reading frame2
Gga.584.1.S1_at	3.966817496	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor
Gga.20055.1.S1_at	3.95371669	---	---
Gga.1972.1.S1_at	3.943221321	ACTN4	actinin, alpha 4
GgaAffx.23570.1.S1_at	3.929017604	CCNI	cyclin I
GgaAffx.3525.1.S1_at	3.922667758	F3	coagulation factor III (thromboplastin, tissue factor)
Gga.4579.1.S1_x_at	3.912251097	TUBB2A	tubulin, beta 2A
Gga.7457.1.S1_at	3.870993169	---	---
Gga.19461.1.S1_at	3.848866499	---	---
Gga.10379.1.S1_at	3.845052083	TRIM27	tripartite motif-containing 27
GgaAffx.11648.1.S1_at	3.839559094	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)
Gga.12405.2.S1_a_at	3.837000449	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2
GgaAffx.24999.1.S1_s_at	3.825822168	EPHX2	epoxide hydrolase 2, cytoplasmic
GgaAffx.7043.3.S1_s_at	3.816443595	RALGDS	ral guanine nucleotide dissociation stimulator
Gga.6265.1.S1_at	3.795293163	LOC769847	similar to Glutathione S-transferase theta 1
Gga.8030.1.S1_at	3.76738149	TFPI2	tissue factor pathway inhibitor 2
GgaAffx.23327.1.S1_s_at	3.765370138	RIN3	Ras and Rab interactor 3
Gga.6407.1.S1_at	3.761929353	---	---
GgaAffx.21776.1.S1_s_at	3.754544453	MSX1	msh homeobox 1
Gga.2341.2.S1_s_at	3.747380675	---	---
GgaAffx.21660.1.S1_at	3.741016109	PTPRR	Protein tyrosine phosphatase, receptor type, R
GgaAffx.282.3.S1_at	3.737723859	TMPRSS9	transmembrane protease, serine 9
Gga.5946.1.S1_at	3.695943563	CPA2	carboxypeptidase A2 (pancreatic)
Gga.603.1.S1_at	3.695097381	LOC396026	occludin
Gga.1669.1.S1_a_at	3.690690691	FGF12	fibroblast growth factor 12
GgaAffx.11225.1.S1_at	3.684860968	LOC427022	similar to DnaJ (Hsp40) homolog, subfamily B, member 2
Gga.714.1.S2_at	3.608814353	FMN1	formin 1
Gga.19025.1.S1_at	3.585736434	DUSP5	Dual specificity phosphatase 5
Gga.204.1.S1_at	3.585158695	TMOD4	tropomodulin 4 (muscle)
Gga.16196.1.S1_at	3.582400783	KRT14	keratin 14
Gga.7277.1.S1_at	3.576561163	---	---
Gga.1964.1.S1_at	3.550652174	MYO10	myosin X
Gga.7238.1.S1_s_at	3.542775276	RCJMB04_19j12	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
GgaAffx.24465.1.S1_at	3.531462585	FNBP4	formin binding protein 4
Gga.6164.1.S1_at	3.522875817	---	---
Gga.2906.1.S1_at	3.504077094	---	---
Gga.10907.1.S1_at	3.498202732	FKBP8	FK506 binding protein 8, 38kDa
Gga.4048.1.S1_at	3.486310592	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
Gga.11604.1.S1_x_at	3.485826503	LOC428877	hypothetical LOC428877
Gga.3317.1.S1_s_at	3.480505415	NCOA1	nuclear receptor coactivator 1
GgaAffx.25884.1.S1_at	3.466390041	ARRDC2	arrestin domain containing 2
Gga.4285.1.S1_at	3.465185003	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta
Gga.4579.1.S1_at	3.463056799	TUBB2A	tubulin, beta 2A
Gga.6381.1.S1_at	3.461760462	---	---
GgaAffx.25247.1.S1_at	3.459324155	ARFIP2	ADP-ribosylation factor interacting protein 2 (arfaptin 2)
Gga.4564.2.S1_a_at	3.427083333	FMO6P	flavin containing monooxygenase 6 pseudogene
Gga.16857.1.S1_at	3.420560748	---	---
Gga.19089.1.S1_at	3.403204272	---	---
Gga.7461.1.S1_at	3.386895476	LOC421988	hypothetical LOC421988
GgaAffx.8922.1.S1_x_at	3.383247275	---	---
Gga.6250.1.S1_at	3.375972342	SELENBP1	selenium binding protein 1
Gga.8853.3.S1_s_at	3.372979798	LOC422661 /// SULT1B1	similar to sulfotransferase 1B /// sulfotransferase family, cytosolic, 1B, member 1
Gga.17146.1.S1_at	3.368493151	MGLL	monoglyceride lipase
GgaAffx.23658.1.S1_at	3.364278507	---	---
GgaAffx.12290.1.S1_s_at	3.359606861	MVP	major vault protein
Gga.1902.1.S1_at	3.354300385	---	---
Gga.5695.1.A1_at	3.351123596	---	---
Gga.827.1.S1_at	3.351011863	LOC396450	erythroid-specific transcription factor eryf1
Gga.15318.1.S1_x_at	3.341414718	RPSA	Ribosomal protein SA
Gga.2875.2.S1_a_at	3.33744856	ACVR1	activin A receptor, type I
Gga.6119.1.S1_x_at	3.33107454	---	---
Gga.8750.1.S1_at	3.328827586	LOC426626	similar to Awp1-pending-prov protein
Gga.7316.1.S1_at	3.327315084	---	---
Gga.1964.1.S1_s_at	3.327219242	MYO10	myosin X
Gga.1259.1.S1_at	3.311495299	LOC395413	histone acetyltransferase MYST
Gga.4115.1.S1_at	3.307940905	ADH1B /// ADH1C	alcohol dehydrogenase 1B (class I), beta polypeptide /// alcohol dehydrogenase 1C (class I), gamma polypeptide
GgaAffx.8202.1.S1_at	3.30472103	RCJMB04_12m23	hypothetical protein LOC769855
Gga.4412.1.S1_a_at	3.291546392	TAPBP	TAP binding protein (tapasin)
Gga.29.1.S1_at	3.2875	B3GAT3	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)
Gga.6974.2.S1_at	3.274287801	---	---
GgaAffx.25130.1.S1_s_at	3.254590395	KLF5	Kruppel-like factor 5 (intestinal)
Gga.18916.1.S1_at	3.248091603	NOTCH2	Notch homolog 2 (Drosophila)
Gga.4087.1.S1_at	3.247406476	FZD1	frizzled homolog 1 (Drosophila)
GgaAffx.24468.2.S1_s_at	3.219130896	LOC426632 /// LOC769410	similar to spectrin beta chain, muscle /// hypothetical protein LOC769410
Gga.4223.1.S1_at	3.196629213	LOC395976	glutathione S-transferases CL2
Gga.7235.1.S1_at	3.192811681	DHRS3	dehydrogenase/reductase (SDR family) member 3
Gga.17614.1.S1_at	3.184283343	---	---
Gga.4290.1.S1_at	3.180876119	ARNT	aryl hydrocarbon receptor nuclear translocator
GgaAffx.7654.1.S1_s_at	3.166666667	LOC424265	Similar to Poly [ADP-ribose] polymerase 14 (PARP-14) (B aggressive lymphoma protein 2)
GgaAffx.21527.1.S1_at	3.165762508	---	---
Gga.7214.1.S1_at	3.163808397	---	---
Gga.6714.1.S1_at	3.15893386	RAD9A	RAD9 homolog A (S. pombe)
Gga.4922.1.S2_at	3.150052466	EGR1	early growth response 1
Gga.133.1.S1_at	3.144025157	LOC422661	similar to sulfotransferase 1B
Gga.11404.1.S1_at	3.137073171	---	---
Gga.10018.1.S1_at	3.127239488	RIN3	Ras and Rab interactor 3
GgaAffx.4077.1.S1_at	3.12283737	PROCR	protein C receptor, endothelial (EPCR)
Gga.889.1.S1_at	3.1183687	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)
Gga.4314.1.S1_at	3.117069486	P50	dynamitin
Gga.7457.2.S1_a_at	3.116555988	---	---
GgaAffx.21171.1.S1_s_at	3.109413635	BTG2	BTG family, member 2
Gga.4564.1.S1_a_at	3.107765197	FMO6P	flavin containing monooxygenase 6 pseudogene
GgaAffx.3750.1.S1_at	3.107546155	AXUD1	AXIN1 up-regulated 1
Gga.4992.1.S1_at	3.106517691	LOC396511	collagen alpha-1 chain
Gga.7598.1.S1_at	3.099886493	LOC425545	similar to Maltase-glucoamylase (alpha-glucosidase)
Gga.11791.1.S1_at	3.09731114	C1QTNF7	C1q and tumor necrosis factor related protein 7
Gga.7415.1.S1_at	3.066045381	TPP1	Tripeptidyl peptidase I
Gga.1128.2.S1_a_at	3.065407957	SOD3	superoxide dismutase 3, extracellular
Gga.17591.1.S1_at	3.053961749	DOPEY2	Dopey family member 2
Gga.1002.1.S1_at	3.052187665	LOC395566	T-protein
GgaAffx.26306.1.A1_s_at	3.051847051	---	---
GgaAffx.11702.1.S1_at	3.051015354	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2
Gga.7238.2.S1_s_at	3.043633126	RCJMB04_19j12	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
Gga.16436.1.S1_at	3.03297546	LOC424593	similar to selenoprotein Pb
Gga.5797.1.S1_at	3.019080235	---	---
Gga.17590.1.S1_s_at	3	RCJMB04_10k5	chloride intracellular channel 2
Gga.840.2.S1_a_at	2.989452333	---	---
GgaAffx.23840.1.S1_s_at	2.987580854	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
GgaAffx.11116.1.S1_at	2.987358616	LOC419074	similar to F-box-WD40 repeat protein 6
Gga.8168.2.S1_at	2.983809524	LOC417374	similar to integrin beta 4
GgaAffx.5421.1.S1_at	2.980504587	KLC4	kinesin light chain 4
Gga.728.1.S1_a_at	2.968540188	K-CAM	B-cadherin
Gga.12092.1.S1_at	2.968034993	FAM20C	family with sequence similarity 20, member C
Gga.1607.2.S1_s_at	2.953106682	---	---
Gga.10744.1.S1_at	2.944417593	SLC5A9	Solute carrier family 5 (sodium/glucose cotransporter), member 9
Gga.9637.2.S1_a_at	2.934991381	SAT1	Spermidine/spermine N1-acetyltransferase 1
Gga.2188.1.S1_s_at	2.926636569	CCNI	cyclin I
Gga.2105.2.S1_s_at	2.926224427	MPRIP	myosin phosphatase Rho interacting protein
Gga.7044.1.S1_s_at	2.923001364	SEPP1	selenoprotein P, plasma, 1
Gga.6134.1.S1_s_at	2.922361946	RCJMB04_17n19	similar to transcript expressed during hematopoiesis 2
Gga.6168.2.S1_a_at	2.920106525	---	---
Gga.125.1.S1_at	2.919030733	LOC396449	riboflavin-binding protein
GgaAffx.12362.1.S1_s_at	2.915057915	C1orf144	chromosome 1 open reading frame 144
GgaAffx.21050.1.S1_s_at	2.911908078	PORCN	porcupine
GgaAffx.22685.1.S1_at	2.906626506	SPRED2	sprouty-related, EVH1 domain containing 2
GgaAffx.21610.1.S1_s_at	2.904074703	---	---
Gga.2431.1.S1_at	2.900800986	LOC421341	hypothetical LOC421341
Gga.1094.1.S1_at	2.894390384	CTSD	cathepsin D
GgaAffx.6025.1.S1_at	2.891499654	---	---
Gga.12627.1.S1_at	2.887776387	---	---
Gga.18811.1.S1_at	2.887048193	---	---
Gga.5913.1.S1_a_at	2.884615385	LOC777194	hypothetical protein LOC777194
Gga.2424.2.S1_a_at	2.883021011	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2
Gga.13758.1.S1_at	2.87932796	---	---
GgaAffx.9549.1.S1_at	2.875542692	CDC2L6	cell division cycle 2-like 6 (CDK8-like)
Gga.15907.1.S1_at	2.875434531	---	---
Gga.7239.1.S1_at	2.841162333	---	---
Gga.2105.2.S1_a_at	2.839115133	MPRIP	myosin phosphatase Rho interacting protein
Gga.4570.1.S1_at	2.819581429	RCJMB04_16d21	cold shock domain containing E1, RNA-binding
Gga.6642.1.A1_at	2.816770186	LOC769242	similar to LOC443683 protein
Gga.7034.1.S1_at	2.812647815	---	---
GgaAffx.21150.1.S1_at	2.812231313	---	---
Gga.9901.1.S1_at	2.810105949	TLR15	toll-like receptor 15
Gga.13809.1.S1_at	2.809027778	---	---
GgaAffx.21204.1.S1_at	2.808888889	---	---
Gga.6020.1.S1_at	2.79589991	LOC425131	hypothetical LOC425131
GgaAffx.396.1.S1_at	2.781807714	LOC428321	hypothetical LOC428321
GgaAffx.2053.1.S1_at	2.77890625	---	---
GgaAffx.26025.1.S1_at	2.777114428	TRIT1	tRNA isopentenyltransferase 1
GgaAffx.22227.1.S1_s_at	2.774575018	ZDHHC5	zinc finger, DHHC-type containing 5
Gga.1951.1.S1_at	2.773841962	GJB6	gap junction protein, beta 6, 30kDa
GgaAffx.21324.1.S1_at	2.762680316	WBP4	WW domain binding protein 4 (formin binding protein 21)
Gga.13183.1.S1_at	2.761904762	ANK2	Ankyrin 2, neuronal
GgaAffx.21574.1.S1_at	2.758218452	---	---
Gga.18461.1.S1_s_at	2.756596906	PTPRF	protein tyrosine phosphatase, receptor type, F
GgaAffx.20618.1.S1_s_at	2.755991285	PHF12	PHD finger protein 12
Gga.7244.1.S1_at	2.7529274	LOC426184	Hypothetical LOC426184
GgaAffx.3073.1.S1_s_at	2.749760307	RCJMB04_31h7	zinc finger protein 777
Gga.8191.1.S1_at	2.747825021	---	---
GgaAffx.12895.1.S1_at	2.743654822	RCJMB04_25m4	mitochondrial ribosomal protein S6
